iter	Logloss
0	0.6704331178
1	0.6510641221
2	0.6342312462
3	0.6183802252
4	0.604415898
5	0.5917516211
6	0.5791723526
7	0.5684634627
8	0.5577397077
9	0.5490416362
10	0.5410666498
11	0.5350498139
12	0.528682692
13	0.5221415573
14	0.5171900464
15	0.5123294269
16	0.5081065925
17	0.5041056053
18	0.5008121195
19	0.4969187368
20	0.4936724574
21	0.4906713909
22	0.4880977843
23	0.4855488222
24	0.4833348392
25	0.4810541177
26	0.4788902801
27	0.4773474223
28	0.4749060787
29	0.4736391197
30	0.4726717282
31	0.47123432
32	0.4695669747
33	0.468083648
34	0.466648527
35	0.4656488757
36	0.4644731277
37	0.4633830903
38	0.4628023884
39	0.4619872479
40	0.4610662963
41	0.4605233336
42	0.4599895354
43	0.4592124885
44	0.4586295162
45	0.45774458
46	0.4573137096
47	0.4565594203
48	0.4559231179
49	0.4555200306
50	0.4549691214
51	0.4542355381
52	0.4535100328
53	0.4528930092
54	0.4525230065
55	0.4517900899
56	0.4511432188
