iter	Passed	Remaining
0	40	16311
1	91	18282
2	145	19272
3	195	19375
4	251	19881
5	305	20033
6	347	19485
7	397	19453
8	447	19434
9	489	19088
10	543	19210
11	593	19195
12	663	19740
13	719	19833
14	766	19684
15	821	19709
16	874	19706
17	925	19633
18	975	19568
19	1033	19637
20	1090	19681
21	1146	19698
22	1202	19712
23	1251	19614
24	1303	19546
25	1353	19472
26	1405	19412
27	1456	19354
28	1508	19300
29	1560	19243
30	1610	19168
31	1659	19083
32	1711	19038
33	1768	19041
34	1823	19021
35	1879	19004
36	1930	18942
37	1980	18867
38	2027	18771
39	2079	18715
40	2131	18659
41	2184	18616
42	2235	18562
43	2287	18510
44	2337	18442
45	2389	18388
46	2435	18291
47	2484	18218
48	2538	18181
49	2592	18145
50	2642	18083
51	2694	18031
52	2745	17973
53	2793	17898
54	2849	17873
55	2895	17783
56	2945	17726
