corridor,mu,alpha,beta,branching_ratio,current_intensity,fragility_raw,fragility_log
Airport New South Road,0.077803,0.22,0.860012,0.2558,0.297804,2.8276,1.2543675481496717
Bannerghata Road,0.091573,0.22,0.860012,0.2558,0.421574,3.6037,1.4466612388099442
Bellary Road 1,0.965406,3.324567,4.628288,0.7183,3.292603,2.4106,1.2196124298241275
Bellary Road 2,0.001053,3.308902,4.439621,0.7453,3.309955,3143.3812,5.705004623272989
CBD 1,0.029501,0.368615,2.666628,0.1382,0.398115,12.4951,2.3352230093911026
CBD 2,0.024645,0.406844,3.482975,0.1168,0.431489,16.5079,2.544999689591997
Hennur Main Road,0.078016,0.22,0.860012,0.2558,0.232016,1.974,1.0114852235405167
Hosur Road,0.13134,0.22,0.860012,0.2558,0.35135,1.6751,0.9386786824662816
IRR(Thanisandra road),0.000265,5.613315,15.327299,0.3662,5.61358,21173.9515,6.305983700287817
Magadi Road,0.106851,0.22,0.860012,0.2558,0.442839,3.1445,1.354637034993419
Mysore Road,0.002021,3.098761,38.897893,0.0797,3.100783,1532.9062,5.555974621651541
Non-corridor,0.31975,2.806697,1.48254,1.8932,1.255317,2.9259,1.3447431710564195
ORR East 1,0.014936,2.090426,1.935496,1.08,23.99458,1605.4548,6.869687381992016
ORR East 2,0.014936,2.090426,1.935496,1.08,1.478235,97.9689,4.089033590565881
ORR North 1,0.014936,2.090426,1.935496,1.08,1.478234,97.9689,4.089032918628764
ORR North 2,0.014936,2.090426,1.935496,1.08,3.813593,254.3229,5.032633292987463
ORR West 1,0.014936,2.090426,1.935496,1.08,2.105362,139.9555,4.440668692761851
Old Airport Road,0.144319,0.22,0.860012,0.2558,0.577589,3.0022,1.3370058353716556
Old Madras Road,0.144319,0.22,0.860012,0.2558,0.364319,1.5244,0.8860864865083798
Tumkur Road,0.001268,1.074768,21.644211,0.0497,1.076035,847.9116,4.56832187832139
Varthur Road,0.077878,0.22,0.860012,0.2558,0.65101,7.3594,2.0178194793796376
West of Chord Road,0.078497,0.22,0.860012,0.2558,0.298498,2.8026,1.2487467072080176
