event_cause,corridor,n,p50_min,p80_min,p95_min
accident,Bellary Road 1,20,230262.82495696665,230262.82495696665,230262.82495696665
accident,Bellary Road 2,42,233321.6099736333,233321.6099736333,233321.6099736333
accident,Hosur Road,18,115.2570139,225686.95070696663,225686.95070696663
accident,Mysore Road,15,232113.46579586668,232113.46579586668,232113.46579586668
accident,Non-corridor,197,233717.05593311664,233717.05593311664,233717.05593311664
accident,ORR North 1,19,216686.0762903,216686.0762903,216686.0762903
accident,Tumkur Road,16,49.68956086666667,220801.67195696663,220801.67195696663
congestion,Hennur Main Road,22,103753.0549403,103753.0549403,103753.0549403
congestion,Non-corridor,42,229170.57720696664,229170.57720696664,229170.57720696664
congestion,ORR North 2,40,220622.29285696667,220622.29285696667,220622.29285696667
construction,Airport New South Road,19,901.7059666666668,1897.86964235,182375.20404578332
construction,Bellary Road 2,17,134.01126233333332,12507.257595133333,50006.927484683336
construction,Non-corridor,144,1911.9671419166664,65096.484923816664,221681.48345696664
construction,ORR East 1,16,1576.6894166666668,230062.58580696667,230062.58580696667
construction,ORR East 2,96,727.5750499999999,785.0166333333333,31877.127884183337
construction,ORR North 1,32,1260.0396,226570.2162069667,226570.2162069667
others,Bellary Road 1,53,10351.729160066669,220291.3326403,220291.3326403
others,Bellary Road 2,23,1654.0888025333334,14632.123789016665,192167.35515696663
others,Hosur Road,19,1723.0274039166666,218071.65590696668,218071.65590696668
others,Magadi Road,27,222.83057628333333,123973.85654771668,192052.0080403
others,Mysore Road,61,1009.0097056333332,207891.19220696663,207891.19220696663
others,Non-corridor,257,19629.230423966663,229385.62180696664,229385.62180696664
others,ORR North 1,24,218042.0824569667,218042.0824569667,218042.0824569667
others,ORR North 2,21,112.90304878333332,7109.272537666667,59870.43972695
others,Tumkur Road,33,16269.432034,233774.72210696663,233774.72210696663
others,West of Chord Road,18,11636.469045233333,164810.89730696665,164810.89730696665
pot_holes,Bannerghata Road,45,217951.16347363332,217951.16347363332,217951.16347363332
pot_holes,Hosur Road,60,229484.37722363332,229484.37722363332,229484.37722363332
pot_holes,IRR(Thanisandra road),37,233814.40807363333,233814.40807363333,233814.40807363333
pot_holes,Non-corridor,243,226580.58825696667,226580.58825696667,226580.58825696667
pot_holes,ORR East 1,26,181684.30725696668,181684.30725696668,181684.30725696668
pot_holes,Old Madras Road,23,214994.14375696663,214994.14375696663,214994.14375696663
pot_holes,West of Chord Road,16,228822.2986403,228822.2986403,228822.2986403
procession,Non-corridor,43,170.39406666666667,229362.90220696665,229362.90220696665
public_event,Non-corridor,21,146.19324999999998,1440.0824833333331,12968.057916666668
road_conditions,Bellary Road 1,16,8165.740103133333,197309.2471403,197309.2471403
road_conditions,Non-corridor,76,86671.19320001667,224586.2998403,224586.2998403
tree_fall,Bellary Road 1,18,1823.1111353833332,96595.79427363334,96595.79427363334
tree_fall,Non-corridor,190,7741.090977233333,185792.31670696667,185792.31670696667
vehicle_breakdown,Airport New South Road,31,206457.44070696665,206457.44070696665,206457.44070696665
vehicle_breakdown,Bannerghata Road,93,231911.61732363337,231911.61732363337,231911.61732363337
vehicle_breakdown,Bellary Road 1,449,233699.37125696667,233699.37125696667,233699.37125696667
vehicle_breakdown,Bellary Road 2,269,231748.5440903,231748.5440903,231748.5440903
vehicle_breakdown,CBD 2,51,204964.54877363337,204964.54877363337,204964.54877363337
vehicle_breakdown,Hennur Main Road,34,227569.15327363333,227569.15327363333,227569.15327363333
vehicle_breakdown,Hosur Road,170,232351.5861903,232351.5861903,232351.5861903
vehicle_breakdown,IRR(Thanisandra road),24,226080.62322363333,226080.62322363333,226080.62322363333
vehicle_breakdown,Magadi Road,170,226564.20202363332,226564.20202363332,226564.20202363332
vehicle_breakdown,Mysore Road,561,232475.2387903,232475.2387903,232475.2387903
vehicle_breakdown,Non-corridor,1643,233927.61142363335,233927.61142363335,233927.61142363335
vehicle_breakdown,ORR East 1,154,230339.52385696667,230339.52385696667,230339.52385696667
vehicle_breakdown,ORR East 2,56,214808.25910696667,214808.25910696667,214808.25910696667
vehicle_breakdown,ORR North 1,153,229302.7347903,229302.7347903,229302.7347903
vehicle_breakdown,ORR North 2,147,231387.25825696663,231387.25825696663,231387.25825696663
vehicle_breakdown,ORR West 1,105,233635.5370736333,233635.5370736333,233635.5370736333
vehicle_breakdown,Old Airport Road,40,85.34070533333333,227589.30252363335,227589.30252363335
vehicle_breakdown,Old Madras Road,184,232432.5035403,232432.5035403,232432.5035403
vehicle_breakdown,Tumkur Road,383,233626.79040696667,233626.79040696667,233626.79040696667
vehicle_breakdown,Varthur Road,52,230997.63350696667,230997.63350696667,230997.63350696667
vehicle_breakdown,West of Chord Road,105,226237.4080903,226237.4080903,226237.4080903
water_logging,Bannerghata Road,35,223213.6384903,223213.6384903,223213.6384903
water_logging,Bellary Road 1,20,4022.929784933333,166145.79905696667,166145.79905696667
water_logging,Hosur Road,18,223724.27177363337,223724.27177363337,223724.27177363337
water_logging,Mysore Road,41,6867.212884783334,40590.64575138334,63339.20517363333
water_logging,Non-corridor,187,74990.63352199999,232343.79812363337,232343.79812363337
water_logging,ORR East 1,22,15338.187260316668,96965.54620696668,96965.54620696668
water_logging,ORR West 1,15,12971.988448166669,92170.49055696667,92170.49055696667
water_logging,Old Madras Road,15,38922.47945293333,474854.9204333333,474854.9204333333
