junction,sps,nhi,gi_star_h1,gi_star_h2,gi_star_h3,gi_star_h5
MekhriCircle,-0.1397621112747299,0.9982993197278912,-0.1397621112747299,-0.1397621112747299,-0.1397621112747299,-0.1397621112747299
AyyappaTempleJunc,-0.1497797031741755,0.9948979591836734,-0.1495736464477889,-0.1498483887496377,-0.1498483887496377,-0.1498483887496377
YeshwanthpuraCircle,-0.1611554703434297,0.9906462585034012,-0.1643013852801928,-0.1601068320311753,-0.1601068320311753,-0.1601068320311753
YelhankaCircle,-0.1602317302557756,0.9889455782312926,-0.1602317302557756,-0.1602317302557756,-0.1602317302557756,-0.1602317302557756
HebbalFlyoverJunc,-0.1643827077029165,0.9770408163265306,-0.1675437652338705,-0.1633290218592653,-0.1633290218592653,-0.1633290218592653
BagalurCrossJunc,-0.1646811341731061,0.9736394557823128,-0.1678444457193905,-0.1636266969910113,-0.1636266969910113,-0.1636266969910113
KIMCO Junction,-0.1672966297109247,0.960034013605442,-0.1702838510568972,-0.1663008892622672,-0.1663008892622672,-0.1663008892622672
SantheCircle,-0.1675738370748356,0.9566326530612246,-0.1707509616595773,-0.1665147955465884,-0.1665147955465884,-0.1665147955465884
PoliceCornerJunc,-0.1711519239409772,0.9481292517006804,-0.170960169019194,-0.1712158422482382,-0.1712158422482382,-0.1712158422482382
YelhankaBypass,-0.1722704604092031,0.9438775510204082,-0.1754707401759434,-0.1712037004869563,-0.1712037004869563,-0.1712037004869563
RajeshwariJunc,-0.1712868695914307,0.9421768707482994,-0.1710951793200453,-0.1713507663485592,-0.1713507663485592,-0.1713507663485592
MysoreRd-RingRdJunc(Nayandanahallii),-0.171675558497725,0.9387755102040816,-0.1714840956410262,-0.1717393794499579,-0.1717393794499579,-0.1717393794499579
ArakereGateJunc,-0.1717726612590842,0.935374149659864,-0.1715816262690195,-0.1718363395891057,-0.1718363395891057,-0.1718363395891057
IndianExpressJunction,-0.1726830338112366,0.9217687074829932,-0.1726830338112366,-0.1726830338112366,-0.1726830338112366,-0.1726830338112366
JakkurCrossJunction,-0.1736951556008467,0.91921768707483,-0.1769021245612677,-0.172626165947373,-0.172626165947373,-0.172626165947373
HesaraghattaJunction,-0.173181882689658,0.9158163265306122,-0.173181882689658,-0.173181882689658,-0.173181882689658,-0.173181882689658
KogilluCrossJunc,-0.1741802364313191,0.9124149659863946,-0.1773898563772341,-0.1731103631160141,-0.1731103631160141,-0.1731103631160141
Shivajinagar(BRV)Junction,-0.1736704607472287,0.9098639455782314,-0.1734805928937519,-0.1737337500317209,-0.1737337500317209,-0.1737337500317209
BigBazaarJunction(OldMadrasRd),-0.1746054040197774,0.8988095238095238,-0.1744157516137214,-0.1746686214884628,-0.1746686214884628,-0.1746686214884628
Batrayanapura(Amrutahalli)Junction,-0.1751623746576574,0.8954081632653061,-0.1783763871898121,-0.1740910371469392,-0.1740910371469392,-0.1740910371469392
PoliceTimmaiahCircle(GPO),-0.1752656720391095,0.8920068027210883,-0.178481080259592,-0.1741938692989486,-0.1741938692989486,-0.1741938692989486
KodigehalliCross,-0.1767363584941528,0.8843537414965986,-0.1767363584941528,-0.1767363584941528,-0.1767363584941528,-0.1767363584941528
Dr TCM RoyanRd near AmbedkarStatue,-0.1771761773077971,0.8724489795918368,-0.1769884432256779,-0.1772387553351702,-0.1772387553351702,-0.1772387553351702
K R Circle,-0.1776203454192365,0.8630952380952381,-0.1774328293424419,-0.1776828507781681,-0.1776828507781681,-0.1776828507781681
CoffeeBoardJunc,-0.1775946471462542,0.8571428571428572,-0.1808212822448886,-0.1765191021133761,-0.1765191021133761,-0.1765191021133761
MotherTeressaCircle,-0.1777968944526809,0.854591836734694,-0.1776095844756313,-0.1778593311116975,-0.1778593311116975,-0.1778593311116975
Marigowda-TavarkereRdJunc,-0.177948280375646,0.8486394557823129,-0.1777612111752561,-0.1780106367757759,-0.1780106367757759,-0.1780106367757759
BloodBankCircle,-0.1781340787925198,0.8375850340136054,-0.1779469449207,-0.178196456749793,-0.178196456749793,-0.178196456749793
Kadubeesanahalli-ORR Junc,-0.1782354056266711,0.8316326530612246,-0.1780478762521564,-0.178297915418176,-0.178297915418176,-0.178297915418176
Devasandra(k r puram),-0.1782377595871244,0.8282312925170068,-0.1780504879662012,-0.1783001834607655,-0.1783001834607655,-0.1783001834607655
TataInstituteCircle,-0.17835537083648,0.8248299319727891,-0.17835537083648,-0.17835537083648,-0.17835537083648,-0.17835537083648
SatteliteBusStandJunc,-0.170066853794172,0.8078231292517007,-0.1992921970768935,-0.1603250726999315,-0.1603250726999315,-0.1603250726999315
SilkBoardJunc,-0.1716670616010832,0.804421768707483,-0.1974835687480589,-0.1630615592187579,-0.1630615592187579,-0.1630615592187579
CMP GateJunc,-0.1723233074174243,0.7959183673469387,-0.1981657183398922,-0.1637091704432683,-0.1637091704432683,-0.1637091704432683
toll gate mysore road,-0.1741133243822823,0.7908163265306123,-0.2035306542300612,-0.164307547766356,-0.164307547766356,-0.164307547766356
KoramangalaWaterTankJunc,-0.1744077094261083,0.7874149659863946,-0.2038269562427056,-0.1646012938205758,-0.1646012938205758,-0.1646012938205758
KhodaysCircle(DV UrsCircle),-0.1793435840764194,0.7865646258503401,-0.1791571476441548,-0.1794057295538409,-0.1794057295538409,-0.1794057295538409
TownhallJunction,-0.1761140061693168,0.7840136054421768,-0.2056258947769446,-0.1662767099667743,-0.1662767099667743,-0.1662767099667743
