query_event_id,query_junction,query_start_date,temporal_mean_delta_t_days,temporal_top1_delta_t_days,top1_phi_time,n_rank_changes_in_top5,half_life_days_used
FKID000008,QueensStatueCircle,,0.0,0,1.0,0,1.0
FKID000241,,2024-02-02,27.4,0,1.0,4,1.0
FKID000361,,2024-03-09,16.0,9,0.002,4,1.0
FKID000378,,2024-03-09,8.2,0,1.0,4,1.0
FKID000433,,,0.0,0,1.0,0,1.0
FKID000437,,,0.0,0,1.0,0,1.0
FKID000439,QueensStatueCircle,,0.0,0,1.0,0,1.0
FKID000468,,2024-02-05,15.4,0,1.0,4,1.0
FKID000478,,2024-02-05,26.4,5,0.0293,4,1.0
FKID000502,,,0.0,0,1.0,0,1.0
FKID000717,,2024-03-11,16.2,7,0.008,2,1.0
FKID000737,,,0.0,0,1.0,0,1.0
FKID000878,,2024-02-10,25.4,10,0.001,5,1.0
FKID000920,,2024-02-11,8.4,0,1.0,2,1.0
FKID000921,,2024-02-11,0.2,0,0.999,2,1.0
FKID000922,,2024-02-11,0.2,0,0.998,2,1.0
FKID000946,,,0.0,0,1.0,0,1.0
FKID000949,,2024-02-11,21.2,1,0.4848,4,1.0
FKID000952,,2024-02-11,20.8,1,0.4837,4,1.0
FKID000956,,2024-02-11,20.8,1,0.4732,4,1.0
FKID000994,,,0.0,0,1.0,0,1.0
FKID001047,,2024-02-13,26.0,7,0.0065,3,1.0
FKID001064,,,0.0,0,1.0,0,1.0
FKID001104,,2024-02-13,19.8,3,0.1172,5,1.0
FKID001167,,,0.0,0,1.0,0,1.0
FKID001198,,2024-03-14,7.2,0,1.0,5,1.0
FKID001481,,,0.0,0,1.0,0,1.0
FKID001492,,2024-02-18,16.6,2,0.2042,5,1.0
FKID001569,,2024-02-19,31.0,1,0.474,2,1.0
FKID001573,,,0.0,0,1.0,0,1.0
FKID001578,,,0.0,0,1.0,0,1.0
FKID001581,,,0.0,0,1.0,0,1.0
FKID001641,,,0.0,0,1.0,0,1.0
FKID001647,,2024-02-20,17.4,8,0.0049,5,1.0
FKID001648,,2024-02-20,15.4,0,0.9866,3,1.0
FKID001676,,,0.0,0,1.0,4,1.0
FKID001680,,,0.0,0,1.0,0,1.0
FKID001683,,,0.0,0,1.0,0,1.0
FKID001685,,,0.0,0,1.0,4,1.0
FKID001687,,,0.0,0,1.0,4,1.0
FKID001691,,2024-02-21,2.0,0,1.0,2,1.0
FKID001734,,,0.0,0,1.0,0,1.0
FKID001801,,,0.0,0,1.0,0,1.0
FKID001857,,,0.0,0,1.0,2,1.0
FKID001865,,2024-03-18,42.8,5,0.0287,3,1.0
FKID001896,,,0.0,0,1.0,4,1.0
FKID001925,,,0.0,0,1.0,4,1.0
FKID001934,,,0.0,0,1.0,4,1.0
FKID001970,,,0.0,0,1.0,0,1.0
FKID001979,,,0.0,0,1.0,4,1.0
FKID001980,,2024-02-25,23.8,5,0.0333,0,1.0
FKID001988,,,0.0,0,1.0,0,1.0
FKID002005,,2024-02-26,51.0,28,0.0,0,1.0
