site_id,service_tier,e_current,best_intervention_label,best_delta_effectiveness,best_absolute_reduction_min,best_cost_per_pct,at_max_effectiveness
FKID004401,normal,0.428791,+5 officers,0.338973,32838.0061,0.084256,False
FKID000002,normal,0.428791,+5 officers,0.338973,22935.507,0.084256,False
FKID004492,normal,0.428791,+5 officers,0.338973,27950.8907,0.084256,False
FKID001592,normal,0.428791,+5 officers,0.338973,43186.8032,0.084256,False
FKID004531,normal,0.428791,+5 officers,0.338973,15086.9207,0.084256,False
FKID005996,elevated,0.522886,+5 officers,0.283134,11716.7121,0.084256,False
FKID006015,elevated,0.428791,+5 officers,0.338973,40793.8789,0.084256,False
FKID003897,elevated,0.522886,+5 officers,0.283134,20725.0347,0.084256,False
FKID004806,normal,0.428791,+5 officers,0.338973,28050.9914,0.084256,False
FKID004829,normal,0.428791,+5 officers,0.338973,32032.6895,0.084256,False
FKID005244,normal,0.428791,+5 officers,0.338973,10004.215,0.084256,False
FKID000923,elevated,0.628423,+5 officers,0.220505,30745.2461,0.084256,False
FKID006340,normal,0.428791,+5 officers,0.338973,433316.5408,0.084256,False
FKID006361,critical,0.724729,+5 officers,0.163354,16932.8789,0.084256,False
FKID006514,critical,0.724729,+5 officers,0.163354,5039.9774,0.084256,False
FKID000316,critical,0.724729,+5 officers,0.163354,23369.2934,0.084256,False
FKID003911,elevated,0.628423,+5 officers,0.220505,29667.8189,0.084256,False
FKID004711,normal,0.428791,+5 officers,0.338973,14406.7404,0.084256,False
FKID001133,elevated,0.522886,+5 officers,0.283134,35442.4476,0.084256,False
FKID005079,normal,0.428791,+5 officers,0.338973,34144.0974,0.084256,False
FKID000944,elevated,0.724729,+5 officers,0.163354,29234.8173,0.084256,False
FKID006955,critical,0.428791,+5 officers,0.338973,301424.2217,0.084256,False
FKID005137,normal,0.428791,+5 officers,0.338973,43301.2765,0.084256,False
FKID004125,emergency,0.724729,+5 officers,0.163354,15720.8744,0.084256,False
FKID001125,critical,0.724729,+5 officers,0.163354,25595.4437,0.084256,False
FKID007137,normal,0.522886,+5 officers,0.283134,16517.9035,0.084256,False
FKID007189,elevated,0.628423,+5 officers,0.220505,12487.6616,0.084256,False
FKID001646,normal,0.522886,+5 officers,0.283134,26438.8949,0.084256,False
FKID005593,normal,0.428791,+5 officers,0.338973,45836.2983,0.084256,False
FKID000129,elevated,0.628423,+5 officers,0.220505,30382.4461,0.084256,False
FKID005194,normal,0.428791,+5 officers,0.338973,31468.9101,0.084256,False
FKID001288,emergency,0.724729,+5 officers,0.163354,30771.1933,0.084256,False
FKID001693,emergency,0.724729,+5 officers,0.163354,14955.2767,0.084256,False
FKID000022,critical,0.724729,+5 officers,0.163354,18608.6563,0.084256,False
FKID004519,normal,0.428791,+5 officers,0.338973,32310.9919,0.084256,False
FKID007660,emergency,0.724729,+5 officers,0.163354,9886.6979,0.084256,False
FKID004408,normal,0.428791,+5 officers,0.338973,31377.0026,0.084256,False
FKID000842,elevated,0.628423,+5 officers,0.220505,20065.568,0.084256,False
FKID004694,normal,0.428791,+5 officers,0.338973,37356.5754,0.084256,False
FKID004967,normal,0.428791,+5 officers,0.338973,26907.9723,0.084256,False
FKID008103,normal,0.428791,+5 officers,0.338973,203038.1467,0.084256,False
FKID000164,normal,0.428791,+5 officers,0.338973,35447.2721,0.084256,False
FKID000346,normal,0.428791,+5 officers,0.338973,49523.3281,0.084256,False
FKID003103,normal,0.428791,+5 officers,0.338973,32731.5926,0.084256,False
FKID001931,normal,0.428791,+5 officers,0.338973,20362.7449,0.084256,False
FKID001932,normal,0.428791,+5 officers,0.338973,21756.5877,0.084256,False
FKID000528,normal,0.428791,+5 officers,0.338973,9146.2978,0.084256,False
FKID000968,normal,0.428791,+5 officers,0.338973,8863.4952,0.084256,False
FKID001489,normal,0.428791,+5 officers,0.338973,16474.729,0.084256,False
FKID003235,normal,0.428791,+5 officers,0.338973,10611.1551,0.084256,False
