priority_rank,l7_alert_id,priority,severity,alert_severity_score,affected_layer,affected_event_id,root_cause,description,generated_at
1,drift_report::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,0.5509168869508271,Layer4.5,,layer4.5::log_duration (affected=Layer4.5),RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,2026-06-20T01:47:22.843487+00:00
2,drift_report::DRIFT_PAGE_HINKLEY_LOG_DURATION,P1,critical,0.5509168869508271,Layer4.5,,layer4.5::log_duration (affected=Layer4.5),RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,2026-06-20T01:47:22.843487+00:00
3,active_alerts::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,0.4807681857024677,Layer4.5,,layer4.5::log_duration (affected=Layer4.5),RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,2026-06-20T01:47:22.843487+00:00
4,active_alerts::DRIFT_PAGE_HINKLEY_LOG_DURATION,P1,critical,0.4807681857024677,Layer4.5,,layer4.5::log_duration (affected=Layer4.5),RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,2026-06-20T01:47:22.843487+00:00
5,active_alerts::HEALTH_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,0.4807681857024677,drift,,layer4.5::log_duration (affected=drift),Health metric 'mean_shift_ztest_log_duration' is CRITICAL. Feedback value: 3.2097.,2026-06-20T01:47:22.843487+00:00
6,active_alerts::HEALTH_PAGE_HINKLEY_LOG_DURATION,P1,critical,0.4807681857024677,drift,,layer4.5::log_duration (affected=drift),Health metric 'page_hinkley_log_duration' is CRITICAL. Feedback value: 326.8316.,2026-06-20T01:47:22.843487+00:00
7,retrain_triggers::DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,P1,critical,0.4807681857024677,Layer4.5,,layer4.5::log_duration (affected=Layer4.5),RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,2026-06-20T01:47:22.843487+00:00
8,retrain_triggers::DRIFT_PAGE_HINKLEY_LOG_DURATION,P1,critical,0.4807681857024677,Layer4.5,,layer4.5::log_duration (affected=Layer4.5),RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,2026-06-20T01:47:22.843487+00:00
9,cc_violations::CCV_FKID006955,P1,critical,0.4369339941333625,Layer5,FKID006955,layer5::event:fkid006955 (affected=Layer5),Chance-constraint violation: tier=critical realized=0.76 required=0.9 margin=-0.14,2026-06-20T01:47:22.843487+00:00
10,active_alerts::DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::construction_orr_east_1 (affected=Layer4.5),Stratum 'construction × ORR East 1': posterior_mu shifted +6.766 log-units (15.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
11,active_alerts::DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::others_old_airport_road (affected=Layer4.5),Stratum 'others × Old Airport Road': posterior_mu shifted -3.610 log-units (5.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
12,active_alerts::DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::others_old_madras_road (affected=Layer4.5),Stratum 'others × Old Madras Road': posterior_mu shifted +2.243 log-units (5.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
13,active_alerts::DUR_SHIFT_POT_HOLES_CBD_1,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::pot_holes_cbd_1 (affected=Layer4.5),Stratum 'pot_holes × CBD 1': posterior_mu shifted -6.407 log-units (4.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
14,active_alerts::DUR_SHIFT_POT_HOLES_CBD_2,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::pot_holes_cbd_2 (affected=Layer4.5),Stratum 'pot_holes × CBD 2': posterior_mu shifted -7.750 log-units (3.6 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
15,retrain_triggers::DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::construction_orr_east_1 (affected=Layer4.5),Stratum 'construction × ORR East 1': posterior_mu shifted +6.766 log-units (15.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
16,retrain_triggers::DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::others_old_airport_road (affected=Layer4.5),Stratum 'others × Old Airport Road': posterior_mu shifted -3.610 log-units (5.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
17,retrain_triggers::DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::others_old_madras_road (affected=Layer4.5),Stratum 'others × Old Madras Road': posterior_mu shifted +2.243 log-units (5.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
18,retrain_triggers::DUR_SHIFT_POT_HOLES_CBD_1,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::pot_holes_cbd_1 (affected=Layer4.5),Stratum 'pot_holes × CBD 1': posterior_mu shifted -6.407 log-units (4.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
19,retrain_triggers::DUR_SHIFT_POT_HOLES_CBD_2,P2,critical,0.4310335458022125,Layer4.5,,dur_shift::pot_holes_cbd_2 (affected=Layer4.5),Stratum 'pot_holes × CBD 2': posterior_mu shifted -7.750 log-units (3.6 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
20,drift_report::DRIFT_PSI_HOUR_LOCAL,P2,moderate,0.3978844183533752,Layer4.5,,layer4.5::hour_local (affected=Layer4.5),RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,2026-06-20T01:47:22.843487+00:00
21,active_alerts::HEALTH_N_CRITICAL_TRIGGERS,P2,critical,0.3812989059019571,retrain_triggers,,retrain_triggers::general (affected=retrain_triggers),Health metric 'n_critical_triggers' is CRITICAL. Feedback value: 8.0.,2026-06-20T01:47:22.843487+00:00
22,active_alerts::L5_CHANCE_CONSTRAINT_VIOLATION,P2,critical,0.3812989059019571,Layer5,,layer5::general (affected=Layer5),1 event(s) violated chance constraints (mean margin=-0.140). Layer 5 epsilon parameters or risk tiers may need adjustment. Review duration quantile accuracy for critical-tier events.,2026-06-20T01:47:22.843487+00:00
23,retrain_triggers::L5_CHANCE_CONSTRAINT_VIOLATION,P2,critical,0.3812989059019571,Layer5,,layer5::chance_constraint_satisfaction (affected=Layer5),1 event(s) violated chance constraints (mean margin=-0.140). Layer 5 epsilon parameters or risk tiers may need adjustment. Review duration quantile accuracy for critical-tier events.,2026-06-20T01:47:22.843487+00:00
24,active_alerts::DRIFT_PSI_HOUR_LOCAL,P2,moderate,0.3472214674517823,Layer4.5,,layer4.5::hour_local (affected=Layer4.5),RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,2026-06-20T01:47:22.843487+00:00
25,retrain_triggers::DRIFT_PSI_HOUR_LOCAL,P2,moderate,0.3472214674517823,Layer4.5,,layer4.5::hour_local (affected=Layer4.5),RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,2026-06-20T01:47:22.843487+00:00
26,active_alerts::DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::accident_bellary_road_2 (affected=Layer4.5),Stratum 'accident × Bellary Road 2': posterior_mu shifted +0.809 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
27,active_alerts::DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::congestion_hennur_main_road (affected=Layer4.5),Stratum 'congestion × Hennur Main Road': posterior_mu shifted +0.578 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
28,active_alerts::DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::construction_bellary_road_1 (affected=Layer4.5),Stratum 'construction × Bellary Road 1': posterior_mu shifted +2.996 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
29,active_alerts::DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::construction_orr_west_1 (affected=Layer4.5),Stratum 'construction × ORR West 1': posterior_mu shifted -4.288 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
30,active_alerts::DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::construction_west_of_chord_road (affected=Layer4.5),Stratum 'construction × West of Chord Road': posterior_mu shifted -5.034 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
31,active_alerts::DUR_SHIFT_OTHERS_ORR_NORTH_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::others_orr_north_1 (affected=Layer4.5),Stratum 'others × ORR North 1': posterior_mu shifted -3.938 log-units (2.4 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
32,active_alerts::DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::pot_holes_old_madras_road (affected=Layer4.5),Stratum 'pot_holes × Old Madras Road': posterior_mu shifted -0.785 log-units (1.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
33,active_alerts::DUR_SHIFT_POT_HOLES_ORR_NORTH_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::pot_holes_orr_north_1 (affected=Layer4.5),Stratum 'pot_holes × ORR North 1': posterior_mu shifted -3.751 log-units (1.8 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
34,active_alerts::DUR_SHIFT_POT_HOLES_ORR_WEST_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::pot_holes_orr_west_1 (affected=Layer4.5),Stratum 'pot_holes × ORR West 1': posterior_mu shifted -3.964 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
35,active_alerts::DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::public_event_mysore_road (affected=Layer4.5),Stratum 'public_event × Mysore Road': posterior_mu shifted -3.563 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
36,active_alerts::DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::public_event_non-corridor (affected=Layer4.5),Stratum 'public_event × Non-corridor': posterior_mu shifted -4.171 log-units (3.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
37,active_alerts::DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::road_conditions_orr_west_1 (affected=Layer4.5),Stratum 'road_conditions × ORR West 1': posterior_mu shifted -5.343 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
38,active_alerts::DUR_SHIFT_TREE_FALL_MAGADI_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::tree_fall_magadi_road (affected=Layer4.5),Stratum 'tree_fall × Magadi Road': posterior_mu shifted -2.677 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
39,active_alerts::DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::vehicle_breakdown_cbd_2 (affected=Layer4.5),Stratum 'vehicle_breakdown × CBD 2': posterior_mu shifted -1.990 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
40,active_alerts::DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::water_logging_old_airport_road (affected=Layer4.5),Stratum 'water_logging × Old Airport Road': posterior_mu shifted -3.354 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
41,active_alerts::DUR_SHIFT_WATER_LOGGING_OLD_MADRAS_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::water_logging_old_madras_road (affected=Layer4.5),Stratum 'water_logging × Old Madras Road': posterior_mu shifted -3.925 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
42,retrain_triggers::DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::accident_bellary_road_2 (affected=Layer4.5),Stratum 'accident × Bellary Road 2': posterior_mu shifted +0.809 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
43,retrain_triggers::DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::congestion_hennur_main_road (affected=Layer4.5),Stratum 'congestion × Hennur Main Road': posterior_mu shifted +0.578 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
44,retrain_triggers::DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::construction_bellary_road_1 (affected=Layer4.5),Stratum 'construction × Bellary Road 1': posterior_mu shifted +2.996 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
45,retrain_triggers::DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::construction_orr_west_1 (affected=Layer4.5),Stratum 'construction × ORR West 1': posterior_mu shifted -4.288 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
46,retrain_triggers::DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::construction_west_of_chord_road (affected=Layer4.5),Stratum 'construction × West of Chord Road': posterior_mu shifted -5.034 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
47,retrain_triggers::DUR_SHIFT_OTHERS_ORR_NORTH_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::others_orr_north_1 (affected=Layer4.5),Stratum 'others × ORR North 1': posterior_mu shifted -3.938 log-units (2.4 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
48,retrain_triggers::DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::pot_holes_old_madras_road (affected=Layer4.5),Stratum 'pot_holes × Old Madras Road': posterior_mu shifted -0.785 log-units (1.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
49,retrain_triggers::DUR_SHIFT_POT_HOLES_ORR_NORTH_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::pot_holes_orr_north_1 (affected=Layer4.5),Stratum 'pot_holes × ORR North 1': posterior_mu shifted -3.751 log-units (1.8 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
50,retrain_triggers::DUR_SHIFT_POT_HOLES_ORR_WEST_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::pot_holes_orr_west_1 (affected=Layer4.5),Stratum 'pot_holes × ORR West 1': posterior_mu shifted -3.964 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
51,retrain_triggers::DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::public_event_mysore_road (affected=Layer4.5),Stratum 'public_event × Mysore Road': posterior_mu shifted -3.563 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
52,retrain_triggers::DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::public_event_non-corridor (affected=Layer4.5),Stratum 'public_event × Non-corridor': posterior_mu shifted -4.171 log-units (3.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
53,retrain_triggers::DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::road_conditions_orr_west_1 (affected=Layer4.5),Stratum 'road_conditions × ORR West 1': posterior_mu shifted -5.343 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
54,retrain_triggers::DUR_SHIFT_TREE_FALL_MAGADI_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::tree_fall_magadi_road (affected=Layer4.5),Stratum 'tree_fall × Magadi Road': posterior_mu shifted -2.677 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
55,retrain_triggers::DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::vehicle_breakdown_cbd_2 (affected=Layer4.5),Stratum 'vehicle_breakdown × CBD 2': posterior_mu shifted -1.990 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
56,retrain_triggers::DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::water_logging_old_airport_road (affected=Layer4.5),Stratum 'water_logging × Old Airport Road': posterior_mu shifted -3.354 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
57,retrain_triggers::DUR_SHIFT_WATER_LOGGING_OLD_MADRAS_ROAD,P3,moderate,0.3113020053015979,Layer4.5,,dur_shift::water_logging_old_madras_road (affected=Layer4.5),Stratum 'water_logging × Old Madras Road': posterior_mu shifted -3.925 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-20T01:47:22.843487+00:00
58,active_alerts::CALIB_BIN_1_SHIFT,P4,moderate,0.2753825431514135,Layer4.5,,layer4.5::general (affected=Layer4.5),"Bin [0.1,0.2]: posterior mean=0.500, raw pred=0.150 (shift=+0.350). Posterior updated; consider recalibration pass.",2026-06-20T01:47:22.843487+00:00
59,active_alerts::CALIB_BIN_3_SHIFT,P4,moderate,0.2753825431514135,Layer4.5,,layer4.5::general (affected=Layer4.5),"Bin [0.3,0.4]: posterior mean=0.500, raw pred=0.350 (shift=+0.150). Posterior updated; consider recalibration pass.",2026-06-20T01:47:22.843487+00:00
60,active_alerts::CALIB_BIN_6_SHIFT,P4,moderate,0.2753825431514135,Layer4.5,,layer4.5::general (affected=Layer4.5),"Bin [0.6,0.7]: posterior mean=0.500, raw pred=0.650 (shift=-0.150). Posterior updated; consider recalibration pass.",2026-06-20T01:47:22.843487+00:00
61,active_alerts::CALIB_BIN_7_SHIFT,P4,moderate,0.2753825431514135,Layer4.5,,layer4.5::general (affected=Layer4.5),"Bin [0.7,0.8]: posterior mean=0.500, raw pred=0.750 (shift=-0.250). Posterior updated; consider recalibration pass.",2026-06-20T01:47:22.843487+00:00
62,active_alerts::TRUST_DEGRADED_P32,P4,moderate,0.2753825431514135,Layer4,,layer4::general (affected=Layer4),Prototype 32 (public_event / Non-corridor): trust degraded from 0.490 to 0.495. Review prototype representativeness; consider refreshing with recent events.,2026-06-20T01:47:22.843487+00:00
63,active_alerts::TRUST_DEGRADED_P8,P4,moderate,0.2753825431514135,Layer4,,layer4::general (affected=Layer4),Prototype 8 (public_event / Non-corridor): trust degraded from 0.490 to 0.495. Review prototype representativeness; consider refreshing with recent events.,2026-06-20T01:47:22.843487+00:00
64,retrain_triggers::CALIB_BIN_1_SHIFT,P4,moderate,0.2753825431514135,Layer4.5,,"layer4.5::bin_1 [0.1,0.2] (affected=Layer4.5)","Bin [0.1,0.2]: posterior mean=0.500, raw pred=0.150 (shift=+0.350). Posterior updated; consider recalibration pass.",2026-06-20T01:47:22.843487+00:00
65,retrain_triggers::CALIB_BIN_3_SHIFT,P4,moderate,0.2753825431514135,Layer4.5,,"layer4.5::bin_3 [0.3,0.4] (affected=Layer4.5)","Bin [0.3,0.4]: posterior mean=0.500, raw pred=0.350 (shift=+0.150). Posterior updated; consider recalibration pass.",2026-06-20T01:47:22.843487+00:00
