event_id,active_operational_tier,scenario_type,expected_delay_delta,expected_risk_delta,expected_alert_delta,counterfactual_score,generated_at
FKID004401,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004401,Normal,B_no_action,41539.1437,11.0455,0.0,0.058055,2026-06-20T01:47:21.593060+00:00
FKID004401,Normal,C_reduced_resources,20769.5718,5.5228,0.0,0.029028,2026-06-20T01:47:21.593060+00:00
FKID004401,Normal,D_increased_resources,-157663.5723,-5.1519,-0.0,0.09165,2026-06-20T01:47:21.593060+00:00
FKID004401,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000002,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000002,Normal,B_no_action,29012.764,10.3743,0.0,0.049857,2026-06-20T01:47:21.593060+00:00
FKID000002,Normal,C_reduced_resources,14506.382,5.1871,0.0,0.024928,2026-06-20T01:47:21.593060+00:00
FKID000002,Normal,D_increased_resources,-157663.5723,-4.8388,-0.0,0.090554,2026-06-20T01:47:21.593060+00:00
FKID000002,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004492,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004492,Normal,B_no_action,35357.0816,11.601,0.0,0.057113,2026-06-20T01:47:21.593060+00:00
FKID004492,Normal,C_reduced_resources,17678.5408,5.8005,0.0,0.028556,2026-06-20T01:47:21.593060+00:00
FKID004492,Normal,D_increased_resources,-157663.5723,-5.411,-0.0,0.092557,2026-06-20T01:47:21.593060+00:00
FKID004492,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001592,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID001592,Normal,B_no_action,54630.0776,12.1395,0.0,0.067997,2026-06-20T01:47:21.593060+00:00
FKID001592,Normal,C_reduced_resources,27315.0388,6.0697,0.0,0.033998,2026-06-20T01:47:21.593060+00:00
FKID001592,Normal,D_increased_resources,-157663.5723,-5.6622,-0.0,0.093436,2026-06-20T01:47:21.593060+00:00
FKID001592,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004531,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004531,Elevated,B_no_action,19084.5256,12.4377,0.0,0.052443,2026-06-20T01:47:21.593060+00:00
FKID004531,Elevated,C_reduced_resources,9542.2628,6.2188,0.0,0.026222,2026-06-20T01:47:21.593060+00:00
FKID004531,Elevated,D_increased_resources,-157663.5723,-5.8013,-0.0,0.093923,2026-06-20T01:47:21.593060+00:00
FKID004531,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005996,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005996,Elevated,B_no_action,21638.1941,15.4976,0.0,0.064345,2026-06-20T01:47:21.593060+00:00
FKID005996,Elevated,C_reduced_resources,10819.0971,7.7488,0.0,0.032172,2026-06-20T01:47:21.593060+00:00
FKID005996,Elevated,D_increased_resources,-157663.5723,-5.9277,-0.0,0.094365,2026-06-20T01:47:21.593060+00:00
FKID005996,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006015,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006015,Critical,B_no_action,51603.0964,13.1867,0.0,0.070249,2026-06-20T01:47:21.593060+00:00
FKID006015,Critical,C_reduced_resources,25801.5482,6.5934,0.0,0.035124,2026-06-20T01:47:21.593060+00:00
FKID006015,Critical,D_increased_resources,-157663.5723,-6.1506,-0.0,0.095145,2026-06-20T01:47:21.593060+00:00
FKID006015,Critical,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID003897,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID003897,Normal,B_no_action,38274.5876,14.7224,0.0,0.0694,2026-06-20T01:47:21.593060+00:00
FKID003897,Normal,C_reduced_resources,19137.2938,7.3612,0.0,0.0347,2026-06-20T01:47:21.593060+00:00
FKID003897,Normal,D_increased_resources,-157663.5723,-5.6312,-0.0,0.093327,2026-06-20T01:47:21.593060+00:00
FKID003897,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004806,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004806,Elevated,B_no_action,35483.7062,12.8825,0.0,0.061657,2026-06-20T01:47:21.593060+00:00
FKID004806,Elevated,C_reduced_resources,17741.8531,6.4412,0.0,0.030829,2026-06-20T01:47:21.593060+00:00
FKID004806,Elevated,D_increased_resources,-157663.5723,-6.0087,-0.0,0.094649,2026-06-20T01:47:21.593060+00:00
FKID004806,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004829,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID004829,Normal,B_no_action,40520.4411,12.2109,0.0,0.061659,2026-06-20T01:47:21.593060+00:00
FKID004829,Normal,C_reduced_resources,20260.2205,6.1055,0.0,0.030829,2026-06-20T01:47:21.593060+00:00
FKID004829,Normal,D_increased_resources,-157663.5723,-5.6955,-0.0,0.093552,2026-06-20T01:47:21.593060+00:00
FKID004829,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005244,Normal,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID005244,Normal,B_no_action,12655.0474,11.5223,0.0,0.046237,2026-06-20T01:47:21.593060+00:00
FKID005244,Normal,C_reduced_resources,6327.5237,5.7612,0.0,0.023119,2026-06-20T01:47:21.593060+00:00
FKID005244,Normal,D_increased_resources,-157663.5723,-5.3743,-0.0,0.092428,2026-06-20T01:47:21.593060+00:00
FKID005244,Normal,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000923,Elevated,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000923,Elevated,B_no_action,87621.7755,19.0692,0.0,0.107655,2026-06-20T01:47:21.593060+00:00
FKID000923,Elevated,C_reduced_resources,43810.8878,9.5346,0.0,0.053828,2026-06-20T01:47:21.593060+00:00
FKID000923,Elevated,D_increased_resources,-157663.5723,-6.0689,-0.0,0.094859,2026-06-20T01:47:21.593060+00:00
FKID000923,Elevated,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006340,Emergency,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006340,Emergency,B_no_action,548133.0984,15.3253,0.0,0.309579,2026-06-20T01:47:21.593060+00:00
FKID006340,Emergency,C_reduced_resources,274066.5492,7.6626,0.0,0.154789,2026-06-20T01:47:21.593060+00:00
FKID006340,Emergency,D_increased_resources,-157663.5723,-7.1481,-0.0,0.098636,2026-06-20T01:47:21.593060+00:00
FKID006340,Emergency,E_diversion_disabled,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006361,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006361,Critical,B_no_action,75123.6544,22.9719,0.0,0.115479,2026-06-20T01:47:21.593060+00:00
FKID006361,Critical,C_reduced_resources,37561.8272,11.4859,0.0,0.05774,2026-06-20T01:47:21.593060+00:00
FKID006361,Critical,D_increased_resources,-157663.5723,-6.3394,-0.0,0.095806,2026-06-20T01:47:21.593060+00:00
FKID006361,Critical,E_diversion_disabled,22537.0963,4.7546,0.0,0.027164,2026-06-20T01:47:21.593060+00:00
FKID006514,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID006514,Critical,B_no_action,22360.1389,22.3561,0.0,0.088687,2026-06-20T01:47:21.593060+00:00
FKID006514,Critical,C_reduced_resources,11180.0694,11.1781,0.0,0.044344,2026-06-20T01:47:21.593060+00:00
FKID006514,Critical,D_increased_resources,-157663.5723,-6.1695,-0.0,0.095211,2026-06-20T01:47:21.593060+00:00
FKID006514,Critical,E_diversion_disabled,6708.0417,4.6271,0.0,0.019327,2026-06-20T01:47:21.593060+00:00
FKID000316,Critical,A_recommended,0.0,0.0,0.0,0.0,2026-06-20T01:47:21.593060+00:00
FKID000316,Critical,B_no_action,103679.1639,22.4941,0.0,0.127141,2026-06-20T01:47:21.593060+00:00
FKID000316,Critical,C_reduced_resources,51839.582,11.2471,0.0,0.06357,2026-06-20T01:47:21.593060+00:00
FKID000316,Critical,D_increased_resources,-157663.5723,-6.2076,-0.0,0.095345,2026-06-20T01:47:21.593060+00:00
FKID000316,Critical,E_diversion_disabled,31103.7492,4.6557,0.0,0.030818,2026-06-20T01:47:21.593060+00:00
