event_id,event_cause,operational_risk_score,operational_tier,service_tier,robustness_score,active_operational_tier,top_risk_factor,top_risk_share,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,n_alerts,generated_at
FKID006340,others,35.740638608467535,Normal,normal,0.3937542091984826,Emergency,Tail Risk,0.33085,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID006955,others,34.98134518681438,Normal,critical,0.4586234803915355,Emergency,Tail Risk,0.257679,2,2,0,0,1,1,2026-06-20T01:47:22.843487+00:00
FKID007660,construction,34.28633543589418,Normal,emergency,0.5172991568728181,Emergency,Tail Risk,0.328966,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID008103,water_logging,32.77841895221397,Normal,normal,0.5056611060946288,Emergency,Tail Risk,0.390249,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000022,pot_holes,32.53187323449193,Normal,critical,0.5660702633577196,Emergency,Tail Risk,0.354033,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID001288,water_logging,32.13605348239205,Normal,emergency,0.552285450172459,Emergency,Tail Risk,0.374568,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID001125,water_logging,31.91949187750776,Normal,critical,0.5675112362679648,Critical,Tail Risk,0.380571,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID006361,others,31.697194824960025,Normal,critical,0.5835798450499413,Critical,Tail Risk,0.338159,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID004125,others,31.59783953709244,Normal,emergency,0.6063792592027212,Critical,Tail Risk,0.350417,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID001693,others,31.08090296133912,Normal,emergency,0.5956956357153499,Critical,Tail Risk,0.39362,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID000944,water_logging,31.06446935223672,Normal,elevated,0.6090335979003525,Critical,Tail Risk,0.362458,3,2,1,1,0,0,2026-06-20T01:47:22.843487+00:00
FKID000316,pot_holes,31.038006187719223,Normal,critical,0.5720551373043192,Critical,Tail Risk,0.394499,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID006514,tree_fall,30.847533209402187,Normal,critical,0.601139323035551,Critical,Tail Risk,0.408944,3,2,1,1,1,0,2026-06-20T01:47:22.843487+00:00
FKID006015,pot_holes,30.75323279469816,Normal,elevated,0.5883711828589915,Critical,Tail Risk,0.328044,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000842,others,30.685583675588266,Normal,elevated,0.6506820533819835,Critical,Tail Risk,0.379953,3,2,1,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000129,others,30.67409762591252,Normal,elevated,0.6489802537919833,Critical,Tail Risk,0.370911,3,2,1,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID003911,pot_holes,30.479156710060867,Normal,elevated,0.6196003610207792,Elevated,Tail Risk,0.409968,3,2,1,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000528,tree_fall,30.36640324483928,Normal,normal,0.6700278627808904,Elevated,Tail Risk,0.392921,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000923,pot_holes,30.344439227948435,Normal,elevated,0.6397455898466224,Elevated,Tail Risk,0.380528,3,2,1,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID007189,tree_fall,30.21995619269609,Normal,elevated,0.6496417004311966,Elevated,Tail Risk,0.402575,3,2,1,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID001133,pot_holes,30.139259063420536,Normal,elevated,0.6543371025232864,Elevated,Tail Risk,0.36844,3,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004711,public_event,30.044950780736336,Normal,normal,0.6437840266918657,Elevated,Tail Risk,0.413233,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004806,others,30.04372892702568,Normal,normal,0.6880040484949375,Elevated,Tail Risk,0.424954,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID007137,construction,29.709520066437864,Normal,normal,0.6550900509162499,Elevated,Tail Risk,0.41636,3,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID005996,tree_fall,29.63849257166609,Normal,elevated,0.6752215159679494,Elevated,Tail Risk,0.386591,3,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID000968,tree_fall,29.57650714941488,Normal,normal,0.6835458828388872,Elevated,Tail Risk,0.423408,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID001931,construction,29.23463341604261,Normal,normal,0.6693175650627632,Elevated,Tail Risk,0.452383,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID001932,construction,29.10366621999825,Normal,normal,0.675278842047122,Elevated,Tail Risk,0.452383,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID003103,pot_holes,29.07690649613096,Normal,normal,0.6646987745829482,Elevated,Tail Risk,0.396668,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID001646,pot_holes,29.05332255527331,Normal,normal,0.68147331536248,Elevated,Tail Risk,0.405232,3,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
FKID004531,construction,29.0064381647238,Normal,normal,0.6986795236708991,Elevated,Tail Risk,0.471945,2,2,0,0,0,0,2026-06-20T01:47:22.843487+00:00
