event_id,event_cause,service_tier,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,diversion_reason,expected_delay_reduction_min,effectiveness,robustness_score,resource_rationale_score,resource_explanation,generated_at
FKID006955,others,critical,2,2,0,0,1,critical_tier,381293.0664789202,0.4287909361511851,0.4586234803915355,0.582011,"Service tier 'critical' drives baseline staffing; allocated 2 officers, 2 barricades. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.46; chance-constraint VIOLATED -> reinforcement justified.",2026-06-20T01:47:22.843487+00:00
FKID007660,construction,emergency,3,2,1,1,1,emergency_tier,43862.88262848932,0.7247292169102477,0.5172991568728181,0.517342,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.52; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID001288,water_logging,emergency,3,2,1,1,1,emergency_tier,136518.10267662417,0.7247292169102477,0.552285450172459,0.508595,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.55; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID001693,others,emergency,3,2,1,1,1,emergency_tier,66349.9130513218,0.7247292169102477,0.5956956357153499,0.497743,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.60; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID004125,others,emergency,3,2,1,1,1,emergency_tier,69746.52970167478,0.7247292169102477,0.6063792592027212,0.495072,"Service tier 'emergency' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.61; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID000022,pot_holes,critical,3,2,1,1,1,critical_tier,82558.33402862407,0.7247292169102477,0.5660702633577196,0.388482,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.57; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID001125,water_logging,critical,3,2,1,1,1,critical_tier,113555.6030810168,0.7247292169102477,0.5675112362679648,0.388122,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.57; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID000316,pot_holes,critical,3,2,1,1,1,critical_tier,103679.16390559792,0.7247292169102477,0.5720551373043192,0.386986,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.57; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID006361,others,critical,3,2,1,1,1,critical_tier,75123.6544149312,0.7247292169102477,0.5835798450499413,0.384105,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.58; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
FKID006514,tree_fall,critical,3,2,1,1,1,critical_tier,22360.138867222333,0.7247292169102477,0.601139323035551,0.379715,"Service tier 'critical' drives baseline staffing; allocated 3 officers, 2 barricades, 1 tow, 1 QRU. Highest marginal-value resource city-wide is 'qru' (shadow price 71388). Robustness=0.60; chance constraints satisfied.",2026-06-20T01:47:22.843487+00:00
