event_id,best_scenario_id,best_scenario_score,worst_scenario_id,worst_scenario_score,baseline_scenario_id,baseline_score,best_vs_baseline,generated_at
FKID000002,SCENARIO_3,0.455534,SCENARIO_6,0.559255,SCENARIO_0,0.5,0.044466,2026-06-20T01:47:22.890493+00:00
FKID000022,SCENARIO_7,0.436202,SCENARIO_6,0.57723,SCENARIO_0,0.5,0.063798,2026-06-20T01:47:22.890493+00:00
FKID000129,SCENARIO_7,0.442241,SCENARIO_6,0.574855,SCENARIO_0,0.5,0.057759,2026-06-20T01:47:22.890493+00:00
FKID000164,SCENARIO_3,0.454105,SCENARIO_6,0.568017,SCENARIO_0,0.5,0.045895,2026-06-20T01:47:22.890493+00:00
FKID000316,SCENARIO_7,0.435669,SCENARIO_6,0.577147,SCENARIO_0,0.5,0.064331,2026-06-20T01:47:22.890493+00:00
FKID000346,SCENARIO_3,0.454315,SCENARIO_6,0.568782,SCENARIO_0,0.5,0.045685,2026-06-20T01:47:22.890493+00:00
FKID000528,SCENARIO_3,0.453682,SCENARIO_6,0.566731,SCENARIO_0,0.5,0.046318,2026-06-20T01:47:22.890493+00:00
FKID000842,SCENARIO_7,0.445234,SCENARIO_6,0.571869,SCENARIO_0,0.5,0.054766,2026-06-20T01:47:22.890493+00:00
FKID000923,SCENARIO_7,0.442446,SCENARIO_6,0.574466,SCENARIO_0,0.5,0.057554,2026-06-20T01:47:22.890493+00:00
FKID000944,SCENARIO_7,0.432982,SCENARIO_6,0.579845,SCENARIO_0,0.5,0.067018,2026-06-20T01:47:22.890493+00:00
FKID000968,SCENARIO_3,0.453919,SCENARIO_6,0.56551,SCENARIO_0,0.5,0.046081,2026-06-20T01:47:22.890493+00:00
FKID001125,SCENARIO_7,0.433702,SCENARIO_6,0.579478,SCENARIO_0,0.5,0.066298,2026-06-20T01:47:22.890493+00:00
FKID001133,SCENARIO_7,0.449675,SCENARIO_6,0.571894,SCENARIO_0,0.5,0.050325,2026-06-20T01:47:22.890493+00:00
FKID001288,SCENARIO_7,0.431121,SCENARIO_6,0.582148,SCENARIO_0,0.5,0.068879,2026-06-20T01:47:22.890493+00:00
FKID001489,SCENARIO_3,0.454219,SCENARIO_6,0.564993,SCENARIO_0,0.5,0.045781,2026-06-20T01:47:22.890493+00:00
FKID001592,SCENARIO_3,0.454299,SCENARIO_6,0.568046,SCENARIO_0,0.5,0.045701,2026-06-20T01:47:22.890493+00:00
FKID001646,SCENARIO_7,0.452225,SCENARIO_6,0.568567,SCENARIO_0,0.5,0.047775,2026-06-20T01:47:22.890493+00:00
FKID001693,SCENARIO_7,0.439435,SCENARIO_6,0.573398,SCENARIO_0,0.5,0.060565,2026-06-20T01:47:22.890493+00:00
FKID001931,SCENARIO_3,0.454022,SCENARIO_6,0.566483,SCENARIO_0,0.5,0.045978,2026-06-20T01:47:22.890493+00:00
