junction,operational_burden_index,severity_norm,persistence_norm,hawkes_norm,duration_risk_norm,frailty_norm
JalahalliCross(SM Circle),0.5533868596898791,0.4923387747148824,0.6946755817913096,0.0,0.9425381,1.0
SatteliteBusStandJunc,0.5370485344307011,0.6485332812927532,0.6661572138931021,0.0,0.88135326,0.8530678749162918
MekhriCircle,0.5206675104771367,1.0,0.6608793745816179,0.0,0.9900954,0.2939435972903264
YeshwanthpuraCircle,0.4784495831175106,0.5509171135645663,0.2909677852283523,0.0,0.86785686,1.0
toll gate mysore road,0.4762085189541929,0.534254177610815,0.4816850558224125,0.0,0.8282475,0.8530678749162918
GokuldasImagesJunc,0.4756361964061857,0.4292499454841218,0.649581836193253,0.0,0.63945496,1.0
HesaraghattaJunction,0.4753722528418154,0.4371430793530562,0.6260762853363054,0.0,0.65221816,1.0
KIMCO Junction,0.4594286856973794,0.5063758474885403,0.7117774789182097,0.0,0.7663669,0.6160025905095878
YelhankaCircle,0.4554766917464494,0.5397650678546868,0.5299835807250637,0.0,0.79042614,0.7189757650313102
BagalurCrossJunc,0.4442863064003385,0.4754473437384249,0.5032279258809943,0.0,0.8099701,0.7189757650313102
TownhallJunction,0.4441236091242698,0.4772440246880147,0.1533163469255006,0.0,0.99999994,0.8530678749162918
AyyappaTempleJunc,0.4326849008365596,0.8425963287706254,0.304067434716141,0.0,0.56776863,0.7846937698552102
GoruguntepalyaJunc,0.4307124245703564,0.3019469854613125,0.5058351433891178,0.0,0.6421281,1.0
SRS Peenya Junc,0.4126424877849465,0.3039436369434791,0.5688142165762754,0.0,0.49364078,1.0
HebbalFlyoverJunc,0.4044865636752709,0.4669029321031684,1.0,0.0,0.5418704,0.2939435972903264
RajeshwariJunc,0.4019193000681205,0.345833304227321,0.4475706169105184,0.0,0.6361467,0.8530678749162918
SilkBoardJunc,0.3799331617592629,0.517425764254714,0.5348361818655109,0.0,0.6620423,0.4362794735145532
Bommanahalli,0.3744158745390351,0.4243530209050482,0.472583498412407,0.0,0.46837825,0.7846937698552102
SantheCircle,0.3712467323307998,0.4043394997401722,0.4554535952742066,0.0,0.53972876,0.7189757650313102
BangaloreBodyBuildersJunc,0.3641863481472752,0.304132580242791,0.3541958102558348,0.0,0.56079775,0.8530678749162918
MysoreRd-RingRdJunc(Nayandanahallii),0.3560879097820377,0.3440666462722627,0.4700998061141876,0.0,0.45805073,0.7676981650041279
CMP GateJunc,0.3526651190608845,0.4963090973086266,0.0753124640028434,0.0,0.6468921,0.7846937698552102
Chokasandra (Tumkur road),0.3516504329124121,0.2636435725684395,0.5820836023380604,0.0,0.2057164,1.0
PoliceCornerJunc,0.3476595341486865,0.3426445071542114,0.2236339245263495,0.0,0.5596657,0.8530678749162918
YelhankaBypass,0.3465183548763527,0.2997593617155332,0.3578749846026872,0.0,0.58573395,0.7189757650313102
HudsonCircle,0.3346968917862226,0.2380009676463404,0.340359481481317,0.0,0.4776783,0.8530678749162918
