cause,corridor,confidence,effective_sample_size,mean_similarity,abstain_flag
public_event,CBD 2,0.8324,4.949,0.8324,0
vip_movement,Mysore Road,0.7646,4.91,0.7646,0
procession,Non-corridor,0.912,4.984,0.912,0
protest,Non-corridor,0.749,4.915,0.749,0
public_event,Non-corridor,0.7896,4.967,0.7896,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,CBD 2,0.8324,4.949,0.8324,0
procession,Non-corridor,0.6203,4.999,0.6203,0
procession,Non-corridor,0.8915,4.993,0.8915,0
public_event,ORR East 1,0.8528,4.967,0.8528,0
procession,Non-corridor,0.9077,4.985,0.9077,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
procession,Non-corridor,0.8806,4.979,0.8806,0
protest,Non-corridor,0.6781,4.998,0.6781,0
protest,Non-corridor,0.7096,4.841,0.7096,0
protest,Non-corridor,0.71,4.841,0.71,0
public_event,CBD 2,0.8324,4.949,0.8324,0
procession,Non-corridor,0.9062,4.973,0.9062,0
procession,Non-corridor,0.8981,4.984,0.8981,0
procession,Non-corridor,0.8921,4.986,0.8921,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
procession,Hosur Road,0.8843,4.985,0.8843,0
public_event,Bellary Road 1,0.7759,4.997,0.7759,0
procession,Non-corridor,0.9113,4.987,0.9113,0
procession,Non-corridor,0.7797,4.997,0.7797,0
protest,Non-corridor,0.7215,4.903,0.7215,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
procession,Non-corridor,0.9077,4.979,0.9077,0
procession,Non-corridor,0.9144,4.987,0.9144,0
public_event,Old Madras Road,0.8628,4.952,0.8628,0
public_event,Old Madras Road,0.8628,4.952,0.8628,0
public_event,Old Madras Road,0.8628,4.952,0.8628,0
vip_movement,Non-corridor,0.7364,4.992,0.7364,0
procession,Non-corridor,0.8862,4.991,0.8862,0
procession,Non-corridor,0.9027,4.993,0.9027,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
public_event,CBD 2,0.8324,4.949,0.8324,0
public_event,CBD 2,0.8324,4.949,0.8324,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
public_event,Non-corridor,0.7233,4.969,0.7233,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
public_event,Non-corridor,0.8295,4.965,0.8295,0
vip_movement,Old Airport Road,0.7471,4.984,0.7471,0
procession,Non-corridor,0.8626,4.993,0.8626,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
vip_movement,Mysore Road,0.7518,4.98,0.7518,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
procession,Magadi Road,0.8632,4.991,0.8632,0
public_event,CBD 2,0.8324,4.949,0.8324,0
protest,Tumkur Road,0.4825,4.957,0.4825,0
vip_movement,Mysore Road,0.7671,4.991,0.7671,0
vip_movement,Mysore Road,0.7671,4.991,0.7671,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
vip_movement,Non-corridor,0.7497,4.997,0.7497,0
vip_movement,Mysore Road,0.7671,4.991,0.7671,0
procession,Mysore Road,0.8515,4.99,0.8515,0
procession,Non-corridor,0.8817,4.992,0.8817,0
