event_id,event_cause,corridor,junction,T,survival_risk_score
FKID000000,vehicle_breakdown,Tumkur Road,,62714.3358903,964.4428492872836
FKID000001,vehicle_breakdown,ORR East 1,,10.37758925,971.1099588171109
FKID000002,others,Non-corridor,UrvashiJunction,115117.99897515,1055.5947834803967
FKID000003,tree_fall,Non-corridor,,9465.174807333333,991.2694376310692
FKID000004,vehicle_breakdown,Non-corridor,LalbaghMainGateJunc,38.74983805,992.9916038106272
FKID000005,accident,Non-corridor,,207548.68286661667,492.67852798003815
FKID000006,vehicle_breakdown,Non-corridor,,116569.6920903,948.2399543673206
FKID000007,others,Non-corridor,,24202.316523816666,976.920099461028
FKID000009,vehicle_breakdown,Non-corridor,,116690.30310696666,952.6478262033436
FKID000010,water_logging,ORR East 2,,9348.299649083334,873.8732734188737
FKID000011,vehicle_breakdown,ORR West 1,MysoreRd-RingRdJunc(Nayandanahallii),116695.0214903,1042.2437258843925
FKID000012,water_logging,ORR East 2,,62656.05407363333,873.8732734188737
FKID000013,others,ORR North 1,HebbalFlyoverJunc,103674.87131448332,957.3180342186944
FKID000014,pot_holes,Old Madras Road,,62569.87767363333,749.2835392440584
FKID000015,others,Bellary Road 2,,62585.7722403,896.8576233797975
FKID000016,others,Bellary Road 2,,62584.87832363333,896.8576233797975
FKID000017,others,ORR North 1,,62577.639573633336,885.9536156656562
FKID000018,tree_fall,Non-corridor,,293.3450075,851.0765393890085
FKID000019,vehicle_breakdown,Bellary Road 1,,116726.85055696666,853.6983543975285
FKID000020,vehicle_breakdown,Hosur Road,,27.2487523,775.2163534422183
FKID000021,tree_fall,Non-corridor,,2928.5208131000004,999.062834980582
FKID000022,pot_holes,Non-corridor,28thMainJayanagarJunc,89112.40243683333,803.764500359277
FKID000023,pot_holes,Non-corridor,,116503.35245696666,769.4616655156395
FKID000024,water_logging,Non-corridor,,62540.73005696667,851.0009320479156
FKID000025,tree_fall,Non-corridor,,843.3240253,1074.6420071736975
