junction,mean_rank,rank_std,prob_top10,prob_top25
JalahalliCross(SM Circle),1.527,0.6821077627472073,1.0,1.0
SatteliteBusStandJunc,1.975,0.8212033852828421,1.0,1.0
RajeshwariJunc,15.648,2.065937075518029,0.012,1.0
HebbalFlyoverJunc,14.134,2.2031895061478455,0.046,1.0
SRS Peenya Junc,14.94,2.066494616494317,0.016,1.0
GoruguntepalyaJunc,12.768,2.2077536094410486,0.135,1.0
AyyappaTempleJunc,11.378,2.3998158262666696,0.304,1.0
TownhallJunction,11.219,2.140803353883777,0.358,1.0
BagalurCrossJunc,9.852,2.4637564814729545,0.59,1.0
YelhankaCircle,8.474,2.5050596799278053,0.787,1.0
KIMCO Junction,7.403,2.3049058549103485,0.907,1.0
HesaraghattaJunction,6.705,2.151272879018373,0.953,1.0
GokuldasImagesJunc,6.659,2.0930167223412237,0.952,1.0
toll gate mysore road,6.027,2.014515078126743,0.974,1.0
YeshwanthpuraCircle,6.521,2.0331155894341073,0.964,1.0
MekhriCircle,2.575,0.7459054899918616,1.0,1.0
SilkBoardJunc,17.485,2.378607786079919,0.002,0.997
Bommanahalli,18.887,2.455245608895372,0.0,0.988
SantheCircle,19.271,2.6213658653457723,0.0,0.98
BangaloreBodyBuildersJunc,20.851,2.835277587820995,0.0,0.935
MysoreRd-RingRdJunc(Nayandanahallii),21.9,2.9233542378576103,0.0,0.882
CMP GateJunc,22.821,3.08333569369278,0.0,0.788
YelhankaBypass,23.52,3.0652242984812808,0.0,0.733
Chokasandra (Tumkur road),23.798,2.9585800648283973,0.0,0.713
PoliceCornerJunc,23.905,3.156259653450574,0.0,0.69
