corridor,frailty_multiplier,ci_lower,ci_upper,interpretation
Tumkur Road,1.7436242549146808,1.4018739009514034,2.085374608877958,faster_clearance
Old Madras Road,1.4246453794504497,1.1454148850781616,1.7038758738227378,faster_clearance
Mysore Road,1.4061324075173787,1.1305304556439726,1.6817343593907847,faster_clearance
West of Chord Road,1.3071131319127922,1.0509189580578848,1.5633073057676996,faster_clearance
Bellary Road 1,1.1328179793596556,0.9107856554051631,1.3548503033141481,faster_clearance
ORR East 1,1.084698105720206,0.8720972769990457,1.2972989344413666,faster_clearance
IRR(Thanisandra road),1.072414383937296,0.862221164685586,1.282607603189006,faster_clearance
Bellary Road 2,1.0656428964932747,0.8567768887805929,1.2745089042059565,faster_clearance
Magadi Road,1.033008605791513,0.8305389190563766,1.2354782925266496,baseline
ORR North 2,0.9873133542536506,0.7937999368199351,1.1808267716873662,baseline
ORR West 1,0.9611554474243217,0.7727689797291546,1.1495419151194888,baseline
Hosur Road,0.9552756635198888,0.7680416334699905,1.142509693569787,baseline
ORR North 1,0.9462271115536589,0.7607665976891418,1.131687625418176,slower_clearance
Old Airport Road,0.932604296573273,0.7498138544449116,1.1153947387016345,slower_clearance
Bannerghata Road,0.9244116638833662,0.7432269777622263,1.1055963500045058,slower_clearance
Non-corridor,0.9048140442124744,0.7274704915468294,1.0821575968781194,slower_clearance
CBD 2,0.7168252178732332,0.5763274751700794,0.8573229605763869,slower_clearance
Varthur Road,0.7051952606825047,0.5669769895887338,0.8434135317762756,slower_clearance
Airport New South Road,0.6155258704131615,0.49488279981218186,0.7361689410141412,slower_clearance
Hennur Main Road,0.5606700334890645,0.4507787069252079,0.6705613600529212,slower_clearance
ORR East 2,0.09638872723021796,0.07749653669309524,0.11528091776734069,slower_clearance
