event_id,event_cause,corridor,junction,T,archetype,archetype_label
FKID000001,vehicle_breakdown,ORR East 1,,10.37758925,1,quick_clear
FKID000002,others,Non-corridor,UrvashiJunction,115117.99897515001,0,severe
FKID000003,tree_fall,Non-corridor,,9465.174807333333,3,moderate
FKID000004,vehicle_breakdown,Non-corridor,LalbaghMainGateJunc,38.74983805,0,severe
FKID000007,others,Non-corridor,,24202.316523816666,0,severe
FKID000010,water_logging,ORR East 2,,9348.299649083334,2,extreme
FKID000013,others,ORR North 1,HebbalFlyoverJunc,103674.87131448333,2,extreme
FKID000018,tree_fall,Non-corridor,,293.3450075,0,severe
FKID000020,vehicle_breakdown,Hosur Road,,27.2487523,1,quick_clear
FKID000021,tree_fall,Non-corridor,,2928.5208131000004,3,moderate
FKID000022,pot_holes,Non-corridor,28thMainJayanagarJunc,89112.40243683333,0,severe
FKID000025,tree_fall,Non-corridor,,843.3240253,3,moderate
FKID000028,pot_holes,Non-corridor,,9.079776783333333,0,severe
FKID000033,tree_fall,Non-corridor,,2907.6902057166667,0,severe
FKID000040,construction,ORR East 1,,0.5525333333333333,1,quick_clear
FKID000041,others,Bellary Road 1,,106.41915116666668,3,moderate
FKID000047,others,Tumkur Road,,133.52983253333335,1,quick_clear
FKID000048,tree_fall,Bellary Road 1,,1829.3005564666666,2,extreme
FKID000049,vehicle_breakdown,ORR East 1,,55.541728516666666,1,quick_clear
FKID000052,construction,ORR East 2,,729.7378,2,extreme
FKID000053,vehicle_breakdown,Bellary Road 1,,69.32987603333332,1,quick_clear
FKID000055,road_conditions,Non-corridor,,61.27697078333333,0,severe
FKID000057,vehicle_breakdown,Non-corridor,,36.41233746666667,0,severe
FKID000058,tree_fall,Bellary Road 1,,1819.0784875333334,2,extreme
FKID000059,tree_fall,Bellary Road 1,,1823.1111353833332,2,extreme
FKID000060,tree_fall,Bellary Road 1,,1825.6380844833334,2,extreme
FKID000061,vehicle_breakdown,ORR East 1,,10.513486133333334,1,quick_clear
FKID000062,tree_fall,Non-corridor,,22124.802723566667,3,moderate
FKID000063,vehicle_breakdown,Non-corridor,,83.22766023333334,0,severe
FKID000066,tree_fall,Non-corridor,,321.23818236666665,0,severe
FKID000069,vehicle_breakdown,West of Chord Road,,44.18835605,1,quick_clear
FKID000070,vehicle_breakdown,West of Chord Road,,41.797760616666665,1,quick_clear
FKID000071,vehicle_breakdown,Non-corridor,,26.158530816666666,0,severe
FKID000072,pot_holes,Magadi Road,,8639.783111666668,2,extreme
FKID000073,others,Non-corridor,,20609.415342416665,0,severe
FKID000076,pot_holes,Non-corridor,,5754.0936329333335,0,severe
FKID000080,others,Non-corridor,,15.88912515,0,severe
FKID000081,tree_fall,Non-corridor,,116.8119772,0,severe
FKID000082,construction,ORR East 2,,762.4895166666666,2,extreme
FKID000083,others,Mysore Road,,13265.728999266667,3,moderate
FKID000084,others,Non-corridor,,17229.866743983333,0,severe
FKID000085,pot_holes,Non-corridor,,44592.990813649994,0,severe
FKID000086,vehicle_breakdown,Non-corridor,,83.47854003333333,0,severe
FKID000087,vehicle_breakdown,Mysore Road,,52.75157615,1,quick_clear
FKID000088,vehicle_breakdown,ORR North 1,,74.82553706666666,1,quick_clear
FKID000090,water_logging,Mysore Road,,8282.429940516666,2,extreme
FKID000093,vehicle_breakdown,Mysore Road,,47.68990556666667,1,quick_clear
FKID000095,tree_fall,Non-corridor,,8.620181266666666,0,severe
FKID000099,tree_fall,Non-corridor,,8761.173063133332,3,moderate
FKID000100,tree_fall,Mysore Road,,13245.791290366667,3,moderate
FKID000107,vehicle_breakdown,ORR West 1,,141.02791743333333,1,quick_clear
FKID000109,tree_fall,Mysore Road,,13203.4163744,2,extreme
FKID000110,tree_fall,Non-corridor,,13212.042736283332,0,severe
FKID000112,pot_holes,ORR East 1,SilkBoardJunc,171296.69161185002,2,extreme
FKID000113,construction,Bellary Road 1,,545.3734030166667,2,extreme
FKID000122,tree_fall,Non-corridor,,61.79462865,3,moderate
FKID000123,vehicle_breakdown,Mysore Road,,102.3569732,1,quick_clear
FKID000129,others,Non-corridor,RingRoad-UllalJunction,150768.82749298334,0,severe
FKID000131,vehicle_breakdown,Bellary Road 2,,102.53794968333334,1,quick_clear
FKID000132,vehicle_breakdown,Magadi Road,,106.48373361666667,1,quick_clear
FKID000134,vehicle_breakdown,Hosur Road,,75.3592525,3,moderate
FKID000135,others,ORR North 2,BhadrappaLayout,59870.439726950004,2,extreme
FKID000138,pot_holes,Non-corridor,,365.2268505833334,3,moderate
FKID000139,construction,ORR East 2,,720.6875,2,extreme
FKID000142,water_logging,ORR East 1,,49.972616783333336,1,quick_clear
FKID000143,vehicle_breakdown,Mysore Road,,111.6212591,3,moderate
FKID000144,tree_fall,Mysore Road,,13118.919869416666,3,moderate
FKID000145,road_conditions,ORR West 1,,56341.49851448333,2,extreme
FKID000157,vehicle_breakdown,Hosur Road,,52.83199456666667,1,quick_clear
FKID000159,water_logging,ORR East 1,IbblurJunction',9653.8610076,2,extreme
FKID000161,others,Non-corridor,,81.46960444999999,0,severe
FKID000162,others,Mysore Road,,15.3042995,1,quick_clear
FKID000163,tree_fall,Non-corridor,,178.15932105,3,moderate
FKID000164,pot_holes,Non-corridor,,94064.39405434999,0,severe
FKID000166,construction,Bellary Road 2,,31.910260883333333,1,quick_clear
FKID000168,pot_holes,Non-corridor,,1510.57253935,0,severe
FKID000171,vehicle_breakdown,Non-corridor,,11.80107465,0,severe
FKID000172,vehicle_breakdown,Magadi Road,,24.504338233333332,1,quick_clear
FKID000174,tree_fall,Non-corridor,,1228.0686473666667,0,severe
FKID000176,vehicle_breakdown,Tumkur Road,,86.29591815,1,quick_clear
FKID000183,vehicle_breakdown,ORR North 1,,18.84050655,1,quick_clear
FKID000184,vehicle_breakdown,Bellary Road 1,,23.641425966666667,1,quick_clear
FKID000185,vehicle_breakdown,Tumkur Road,,36.504006333333336,1,quick_clear
FKID000186,vehicle_breakdown,Mysore Road,,23.382822833333332,3,moderate
FKID000187,vehicle_breakdown,Non-corridor,,104.21347743333334,0,severe
FKID000188,vehicle_breakdown,Bellary Road 1,,86.29412574999999,1,quick_clear
FKID000189,vehicle_breakdown,Old Airport Road,,70.8526748,1,quick_clear
FKID000192,construction,Non-corridor,,0.08095000000000001,0,severe
FKID000197,vehicle_breakdown,Magadi Road,,72.9697583,1,quick_clear
FKID000199,construction,Bellary Road 2,,60.798384383333335,1,quick_clear
FKID000201,road_conditions,CBD 2,,40387.38096753333,2,extreme
FKID000202,others,Bannerghata Road,,119.59072880000001,1,quick_clear
FKID000203,vehicle_breakdown,Non-corridor,,78.98550595,0,severe
FKID000205,vehicle_breakdown,ORR North 2,,138.03128305,1,quick_clear
FKID000206,vehicle_breakdown,Old Airport Road,,28.376774483333335,1,quick_clear
FKID000208,vehicle_breakdown,Non-corridor,,93.05635131666666,0,severe
FKID000209,others,Magadi Road,Sumanhalli,16403.151545516666,2,extreme
FKID000214,vehicle_breakdown,Hosur Road,,11.49699995,1,quick_clear
FKID000215,pot_holes,Non-corridor,,31510.201385300003,0,severe
FKID000216,construction,Non-corridor,,9655.520589099999,0,severe
FKID000217,vehicle_breakdown,Mysore Road,,66.23017465000001,1,quick_clear
FKID000218,others,Non-corridor,,199.88949181666666,0,severe
FKID000224,vehicle_breakdown,Hosur Road,,75.03727443333334,1,quick_clear
FKID000226,others,Hennur Main Road,,43.87439846666667,1,quick_clear
FKID000227,pot_holes,Non-corridor,,11562.4573284,0,severe
FKID000229,construction,Mysore Road,,0.07918333333333334,3,moderate
FKID000234,vehicle_breakdown,Tumkur Road,,22.174727083333334,1,quick_clear
FKID000235,construction,ORR East 2,,746.7284166666667,2,extreme
FKID000236,pot_holes,Non-corridor,,11560.307439216667,0,severe
FKID000241,vip_movement,Mysore Road,,20.98006666666667,1,quick_clear
FKID000243,tree_fall,Non-corridor,,105.48940756666666,3,moderate
FKID000244,tree_fall,Non-corridor,,2198.129693766667,0,severe
FKID000245,vehicle_breakdown,Mysore Road,,57.51257438333334,1,quick_clear
FKID000246,tree_fall,Non-corridor,,2195.455855816667,0,severe
FKID000249,vehicle_breakdown,Tumkur Road,,33.33879541666667,1,quick_clear
FKID000250,vehicle_breakdown,Mysore Road,,39.6093981,1,quick_clear
FKID000253,construction,Non-corridor,,0.35335,3,moderate
FKID000254,vehicle_breakdown,Tumkur Road,,10.150965166666667,1,quick_clear
FKID000255,tree_fall,Non-corridor,,66.3340463,3,moderate
FKID000256,vehicle_breakdown,ORR East 1,,19.115834,1,quick_clear
FKID000257,tree_fall,Non-corridor,,64.12170315,0,severe
FKID000260,others,Non-corridor,,42.96236663333333,3,moderate
FKID000264,road_conditions,Non-corridor,,1107.1190462833333,0,severe
FKID000265,others,Non-corridor,,87.31756581666667,0,severe
FKID000267,vehicle_breakdown,Mysore Road,,66.13607151666666,1,quick_clear
FKID000268,vehicle_breakdown,ORR East 1,,13.551236183333334,1,quick_clear
FKID000271,vehicle_breakdown,Tumkur Road,,30.63011775,1,quick_clear
FKID000273,vehicle_breakdown,Non-corridor,,18.7735204,0,severe
FKID000274,vehicle_breakdown,Non-corridor,,77.0688961,0,severe
FKID000283,water_logging,Non-corridor,,820.8788695333334,0,severe
FKID000285,pot_holes,Non-corridor,,65572.5368325,2,extreme
FKID000286,construction,ORR East 1,IbblurJunction',19427.48784265,2,extreme
FKID000287,others,Non-corridor,,101592.23127151668,0,severe
FKID000294,others,Non-corridor,,25.367629383333334,0,severe
FKID000299,vehicle_breakdown,Mysore Road,,15.771932999999999,1,quick_clear
FKID000301,accident,Old Airport Road,,35.956496816666665,1,quick_clear
FKID000303,vehicle_breakdown,Old Airport Road,,27.47141106666667,1,quick_clear
FKID000304,others,Mysore Road,,1922.4556106166667,2,extreme
FKID000309,others,Mysore Road,,17.062712316666666,1,quick_clear
FKID000312,construction,ORR East 2,,685.2822166666666,2,extreme
FKID000313,vehicle_breakdown,Non-corridor,,35.281999049999996,0,severe
FKID000315,others,Non-corridor,,1.0946760500000001,0,severe
FKID000316,pot_holes,Non-corridor,PotteryCircle,83621.89525755,0,severe
FKID000317,others,Non-corridor,,3015.3421913166667,0,severe
FKID000321,vehicle_breakdown,ORR West 1,,20.211203416666667,1,quick_clear
FKID000322,vehicle_breakdown,Bellary Road 1,,141.64393971666667,1,quick_clear
FKID000328,accident,Non-corridor,,78.2774947,0,severe
FKID000330,vehicle_breakdown,ORR West 1,,36.08605643333333,1,quick_clear
FKID000332,others,ORR North 1,"VeerannapalyaJunction(BEL,HO)",79376.58893283334,3,moderate
FKID000336,vehicle_breakdown,Hosur Road,,31.520573033333335,1,quick_clear
FKID000337,construction,ORR East 2,,8801.107604216666,2,extreme
FKID000338,vehicle_breakdown,Tumkur Road,,132.2670364,1,quick_clear
FKID000343,vehicle_breakdown,Non-corridor,,72.34147603333332,0,severe
FKID000344,vehicle_breakdown,Hosur Road,,96.5241556,1,quick_clear
FKID000345,others,Non-corridor,,2522.9359043,0,severe
FKID000346,water_logging,Non-corridor,,35883.953440833335,0,severe
FKID000348,tree_fall,Non-corridor,,508.2992390666667,0,severe
FKID000349,vehicle_breakdown,ORR West 1,,75.99775528333333,1,quick_clear
FKID000354,vehicle_breakdown,Old Airport Road,,10.359373833333333,1,quick_clear
FKID000355,construction,Non-corridor,,180.51771666666667,3,moderate
FKID000358,vehicle_breakdown,Bellary Road 1,,10.859754400000002,1,quick_clear
FKID000366,vehicle_breakdown,ORR North 1,,80.29286535,1,quick_clear
FKID000369,vehicle_breakdown,ORR East 1,,16.53580991666667,1,quick_clear
FKID000372,others,Mysore Road,,36.87994801666667,1,quick_clear
FKID000376,water_logging,ORR West 1,JP Nagar 15th cross junction,12971.988448166667,2,extreme
FKID000377,vehicle_breakdown,Non-corridor,,83.28090113333333,0,severe
FKID000380,vehicle_breakdown,Non-corridor,,23.753298683333334,0,severe
FKID000382,vehicle_breakdown,Non-corridor,,73.46585520000001,0,severe
FKID000383,vehicle_breakdown,Magadi Road,,72.26638113333334,1,quick_clear
FKID000384,vehicle_breakdown,Bellary Road 1,,92.67076003333334,1,quick_clear
FKID000385,vehicle_breakdown,Mysore Road,,14.5656122,1,quick_clear
FKID000387,vehicle_breakdown,Non-corridor,,12.90432295,0,severe
FKID000393,others,Bannerghata Road,,21814.1884831,2,extreme
FKID000394,road_conditions,Non-corridor,,86671.19320001667,0,severe
FKID000395,vehicle_breakdown,Tumkur Road,,102.77983354999999,1,quick_clear
FKID000397,others,Bellary Road 2,,1654.0888025333334,2,extreme
FKID000398,vehicle_breakdown,Tumkur Road,,104.3606748,1,quick_clear
FKID000399,vehicle_breakdown,Non-corridor,,11.195320116666666,0,severe
FKID000402,vehicle_breakdown,Non-corridor,,79.53191238333334,0,severe
FKID000404,accident,Non-corridor,,0.8491233333333333,0,severe
FKID000407,vehicle_breakdown,Non-corridor,,17.161744300000002,0,severe
FKID000410,vehicle_breakdown,Non-corridor,,69.83975466666668,0,severe
FKID000412,construction,ORR North 1,,113.57115,3,moderate
FKID000413,vehicle_breakdown,Tumkur Road,,10.261219083333334,1,quick_clear
FKID000415,pot_holes,Non-corridor,,70050.26984013333,0,severe
FKID000416,vehicle_breakdown,Non-corridor,,15.854282233333333,0,severe
FKID000417,vehicle_breakdown,Old Airport Road,,40.82496125,1,quick_clear
FKID000420,vehicle_breakdown,Mysore Road,,39.93153236666667,1,quick_clear
FKID000421,tree_fall,Non-corridor,,52.854736083333336,3,moderate
FKID000425,water_logging,Non-corridor,,45.86103,0,severe
FKID000426,construction,Non-corridor,,4320.543,0,severe
FKID000427,water_logging,Mysore Road,,40590.64575138334,3,moderate
FKID000430,others,Magadi Road,,24.955134649999998,1,quick_clear
FKID000431,vehicle_breakdown,Non-corridor,,22.23222121666667,0,severe
