event_cause,corridor,n,rmst_60min,rmst_180min,rmst_360min,rmst_720min
accident,Bellary Road 2,16,36.6138920359375,38.78845004791667,38.78845004791667,38.78845004791667
accident,Non-corridor,35,40.23296300525412,54.70203770119734,64.62705293020615,85.2514845761595
construction,Airport New South Road,19,43.25855271223652,123.34739655849923,243.27713894725798,435.94482214593086
construction,Bellary Road 2,16,44.13668518361583,97.67892490297227,158.29793743060677,245.74781941875466
construction,Non-corridor,118,48.29796676488588,135.34917610995583,250.51557167958828,439.5270097119978
construction,ORR East 2,92,59.34548632026667,176.49173958692563,348.76320084684045,682.2921485045212
construction,ORR North 1,20,52.16046697072073,131.2874244846847,232.40289241171178,320.9017728135136
others,Bellary Road 1,32,43.71999001971849,98.8145683336367,166.48802052238807,277.6818514054727
others,Bellary Road 2,20,57.058937168411866,158.6684300445026,286.99568325349037,516.1356453961605
others,Magadi Road,22,48.08720595889816,107.5418877989225,166.05332384384778,266.2570790024331
others,Mysore Road,49,49.76124873496498,119.74726310142002,198.12601996183258,337.2154511288247
others,Non-corridor,159,48.8542438082726,112.63550228616809,191.46415023512662,330.63533153423606
others,ORR North 2,21,46.711341831655474,107.77724712760997,176.71410478094703,292.6389722907345
others,Tumkur Road,19,60.0,154.9972963710805,277.9392322403635,494.705723535051
pot_holes,Non-corridor,90,51.618856666880504,147.48802835792492,288.0331893333547,565.7009060213197
procession,Non-corridor,26,34.39795278258227,61.56659450933478,80.05395777829042,101.63779082550073
public_event,Non-corridor,21,47.260673504999076,112.89346967553294,163.20329532163743,250.19820194302963
road_conditions,Non-corridor,45,57.2519184253656,167.6697430238275,334.054009287065,653.4551601113632
tree_fall,Non-corridor,118,54.703800260304966,129.8650811750696,225.97244083189852,395.5181049349561
vehicle_breakdown,Bannerghata Road,29,37.334940213908446,47.24916410839201,51.68578382670186,60.55902326332156
vehicle_breakdown,Bellary Road 1,146,37.5239451267194,51.102933977538996,51.9695089431511,53.70265887437533
vehicle_breakdown,Bellary Road 2,82,40.144930100826194,52.85360779238066,52.85360779238066,52.85360779238066
vehicle_breakdown,CBD 2,20,40.83654308125001,50.47017815791668,50.47017815791668,50.47017815791668
vehicle_breakdown,Hosur Road,72,41.35312149861111,53.44536848680556,53.44536848680556,53.44536848680556
vehicle_breakdown,Magadi Road,75,40.20408994477779,51.9301911626667,51.9301911626667,51.9301911626667
vehicle_breakdown,Mysore Road,244,37.14317307293802,45.90322722336203,46.420256357543394,47.45431462590612
vehicle_breakdown,Non-corridor,610,40.075719201807644,52.770202307262416,53.12478523364757,53.83395108641789
vehicle_breakdown,ORR East 1,61,37.66823060655147,52.08169274104225,55.640423427202734,62.757884799523694
vehicle_breakdown,ORR East 2,22,35.5390772465909,41.74674614431817,41.74674614431817,41.74674614431817
vehicle_breakdown,ORR North 1,45,37.696146290073166,50.325400181619145,53.1767240105397,58.87937166838082
vehicle_breakdown,ORR North 2,51,37.517060246263235,50.99291832981151,50.99291832981151,50.99291832981151
vehicle_breakdown,ORR West 1,48,42.86979314583332,56.307617294791655,56.307617294791655,56.307617294791655
vehicle_breakdown,Old Airport Road,24,35.41590608854166,47.52114765034722,47.52114765034722,47.52114765034722
vehicle_breakdown,Old Madras Road,45,35.11405075388889,39.94528510092593,39.94528510092593,39.94528510092593
vehicle_breakdown,Tumkur Road,183,34.50302462447047,41.969612093111344,41.96961209311148,41.969612093111735
vehicle_breakdown,Varthur Road,23,38.36788630471014,52.33902488623188,52.33902488623188,52.33902488623188
vehicle_breakdown,West of Chord Road,31,35.31406826398027,41.525281086814694,45.670017928919954,53.95949161313047
water_logging,Mysore Road,30,51.47374843711506,132.91337208764477,236.99723933450363,437.35200651853916
water_logging,Non-corridor,96,55.148146367946886,145.9327278796724,260.5948573910917,478.30950928900927
