corridor,frailty_effect,ci_lower,ci_upper,theta_variance,interpretation
Old Airport Road,1.2312916902382836,0.8952261474221815,7.315550628559389,0.030890058934043185,faster_clearance
Tumkur Road,1.1686845845662088,0.8374166770000131,15.96136757131044,0.030890058934043185,faster_clearance
ORR West 1,1.148381360409727,0.8055180241927224,11.70138197070561,0.030890058934043185,faster_clearance
ORR East 2,1.122871743081834,0.7204376184540568,5.66177009312606,0.030890058934043185,faster_clearance
Varthur Road,1.0881357851346418,0.842381618962727,8.918563236401225,0.030890058934043185,faster_clearance
Mysore Road,1.0810706195344812,0.7911069541312113,7.369677108043762,0.030890058934043185,faster_clearance
CBD 2,1.0679088825037022,0.7414188164325247,8.738959831895622,0.030890058934043185,faster_clearance
Magadi Road,1.0572661934759613,0.7389342829552783,15.174701236373545,0.030890058934043185,faster_clearance
CBD 1,1.0004998817202466,0.766247374809763,13.526550375475725,0.030890058934043185,baseline
ORR East 1,0.9932796467170306,0.6700057812893345,7.50137738293846,0.030890058934043185,baseline
Non-corridor,0.9906221203209358,0.7243382611548682,1.769285235611675,0.030890058934043185,baseline
ORR North 2,0.9856877756106177,0.665250668633253,6.877738038875599,0.030890058934043185,baseline
Hosur Road,0.9695224399353365,0.7141405936967601,10.905380194379216,0.030890058934043185,baseline
Hennur Main Road,0.9647465558484355,0.6010077459325589,8.305580486888662,0.030890058934043185,baseline
Bellary Road 1,0.9156255538013208,0.6291176603584225,8.120660465912293,0.030890058934043185,slower_clearance
Airport New South Road,0.901963522041463,0.7049931988479503,23.574714750575822,0.030890058934043185,slower_clearance
Bellary Road 2,0.8867557061698603,0.6465545602613422,8.334477456840995,0.030890058934043185,slower_clearance
West of Chord Road,0.8401139858570756,0.5775474634426545,5.884297784257022,0.030890058934043185,slower_clearance
ORR North 1,0.8090141225237041,0.5242953636226528,16.443313052178226,0.030890058934043185,slower_clearance
Bannerghata Road,0.7794623410844015,0.501600875415339,18.98141621030912,0.030890058934043185,slower_clearance
Old Madras Road,0.7622165011378699,0.5038771119172846,20.18450780602474,0.030890058934043185,slower_clearance
IRR(Thanisandra road),0.6943598478761824,0.3651871249081969,13.011362102030558,0.030890058934043185,slower_clearance
