event_id,archetype,probability,cluster_id
FKID000001,rapid_clear,1.0,35
FKID000002,mega_disruption,1.0,46
FKID000003,mega_disruption,1.0,8
FKID000004,rapid_clear,1.0,37
FKID000007,mega_disruption,1.0,47
FKID000010,severe,0.09534251931787387,18
FKID000013,mega_disruption,1.0,21
FKID000018,moderate,0.9573809033886831,41
FKID000020,moderate,1.0,12
FKID000021,outlier,0.0,-1
FKID000022,mega_disruption,1.0,46
FKID000025,outlier,0.0,-1
FKID000028,moderate,1.0,24
FKID000033,moderate,0.9573809033886831,41
FKID000040,moderate,0.12503024012211622,12
FKID000041,outlier,0.0,-1
FKID000047,chronic,1.0,30
FKID000048,chronic,1.0,4
FKID000049,rapid_clear,1.0,23
FKID000052,chronic,1.0,4
FKID000053,chronic,1.0,17
FKID000055,moderate,0.9108697961859726,11
FKID000057,moderate,1.0,11
FKID000058,chronic,1.0,4
FKID000059,chronic,1.0,4
FKID000060,chronic,1.0,4
FKID000061,outlier,0.0,-1
FKID000062,mega_disruption,1.0,8
FKID000063,severe,0.5560909601661581,9
FKID000066,moderate,1.0,40
FKID000069,rapid_clear,1.0,49
FKID000070,rapid_clear,1.0,49
FKID000071,severe,1.0,34
FKID000072,chronic,1.0,50
FKID000073,mega_disruption,1.0,47
FKID000076,mega_disruption,1.0,42
FKID000080,outlier,0.0,-1
FKID000081,moderate,1.0,40
FKID000082,chronic,1.0,4
FKID000083,mega_disruption,1.0,7
FKID000084,mega_disruption,1.0,47
FKID000085,mega_disruption,0.9418035793452243,42
FKID000086,severe,1.0,19
FKID000087,chronic,1.0,39
FKID000088,chronic,1.0,17
FKID000090,chronic,1.0,43
FKID000093,severe,0.8420396024299694,22
FKID000095,rapid_clear,1.0,10
FKID000099,mega_disruption,1.0,8
FKID000100,mega_disruption,1.0,7
FKID000107,moderate,1.0,36
FKID000109,mega_disruption,0.5788931681812096,28
FKID000110,mega_disruption,1.0,47
FKID000112,mega_disruption,1.0,21
FKID000113,severe,0.5840942047527058,48
FKID000122,moderate,1.0,16
FKID000123,severe,1.0,18
FKID000129,mega_disruption,1.0,46
FKID000131,rapid_clear,1.0,23
FKID000132,rapid_clear,1.0,23
FKID000134,outlier,0.0,-1
FKID000135,mega_disruption,1.0,21
FKID000138,mega_disruption,1.0,8
FKID000139,chronic,1.0,4
FKID000142,severe,1.0,48
FKID000143,moderate,1.0,6
FKID000144,mega_disruption,1.0,7
FKID000145,chronic,0.8236297428021401,17
FKID000157,chronic,0.9549529188790287,50
FKID000159,chronic,1.0,27
FKID000161,severe,0.6614669653135344,34
FKID000162,severe,1.0,48
FKID000163,moderate,1.0,16
FKID000164,mega_disruption,1.0,46
FKID000166,chronic,0.8636729543097604,50
FKID000168,mega_disruption,0.8553667433914572,42
FKID000171,severe,1.0,34
FKID000172,rapid_clear,1.0,49
FKID000174,severe,1.0,32
FKID000176,severe,1.0,13
FKID000183,rapid_clear,1.0,44
FKID000184,rapid_clear,1.0,44
FKID000185,moderate,0.06826360894187143,24
FKID000186,moderate,1.0,6
FKID000187,moderate,1.0,15
FKID000188,severe,1.0,13
FKID000189,severe,0.7644831958440976,22
FKID000192,rapid_clear,0.6841666521312582,37
FKID000197,severe,0.7644695603013362,22
FKID000199,severe,1.0,22
FKID000201,chronic,0.8587865534395283,39
FKID000202,chronic,0.8832256415026979,39
FKID000203,moderate,1.0,15
FKID000205,moderate,1.0,36
FKID000206,moderate,0.7555007920025674,36
FKID000208,severe,1.0,32
FKID000209,mega_disruption,0.4484164534379405,28
FKID000214,rapid_clear,1.0,26
FKID000215,severe,1.0,19
FKID000216,mega_disruption,1.0,47
FKID000217,chronic,0.4820467655551264,27
FKID000218,severe,1.0,32
FKID000224,severe,1.0,18
FKID000226,moderate,1.0,36
FKID000227,mega_disruption,1.0,42
FKID000229,mega_disruption,0.6597245171860088,7
FKID000234,rapid_clear,1.0,5
FKID000235,chronic,1.0,4
FKID000236,mega_disruption,1.0,42
FKID000241,rapid_clear,1.0,23
FKID000243,mega_disruption,1.0,8
FKID000244,mega_disruption,1.0,1
FKID000245,rapid_clear,1.0,23
FKID000246,mega_disruption,1.0,1
FKID000249,rapid_clear,1.0,23
FKID000250,rapid_clear,0.7851696698645753,26
FKID000253,mega_disruption,1.0,8
FKID000254,chronic,0.6247305586270866,3
FKID000255,outlier,0.0,-1
FKID000256,severe,1.0,48
FKID000257,moderate,1.0,24
FKID000260,moderate,1.0,16
FKID000264,moderate,1.0,15
FKID000265,moderate,0.9711271581866053,15
FKID000267,severe,1.0,18
FKID000268,chronic,0.8729319618017972,39
FKID000271,chronic,1.0,39
FKID000273,rapid_clear,0.8751626775993792,2
FKID000274,rapid_clear,1.0,2
FKID000283,outlier,0.0,-1
FKID000285,mega_disruption,1.0,29
FKID000286,mega_disruption,1.0,20
FKID000287,mega_disruption,1.0,46
FKID000294,chronic,0.1249386121204058,25
FKID000299,severe,0.09534251931787387,18
FKID000301,chronic,1.0,25
FKID000303,moderate,1.0,12
FKID000304,mega_disruption,0.4484164534379405,28
FKID000309,rapid_clear,1.0,23
FKID000312,chronic,1.0,17
FKID000313,moderate,1.0,11
FKID000315,rapid_clear,1.0,10
FKID000316,mega_disruption,1.0,46
FKID000317,mega_disruption,1.0,47
FKID000321,rapid_clear,0.8701389190761186,45
FKID000322,severe,0.5840942047527058,48
FKID000328,moderate,0.9573809033886831,41
FKID000330,moderate,0.06826360894187143,24
FKID000332,mega_disruption,1.0,7
FKID000336,moderate,0.7555007920025674,36
FKID000337,mega_disruption,1.0,20
FKID000338,mega_disruption,0.6285621665090892,28
FKID000343,rapid_clear,1.0,2
FKID000344,chronic,0.788906473411741,27
FKID000345,mega_disruption,1.0,47
FKID000346,mega_disruption,1.0,46
FKID000348,moderate,1.0,11
FKID000349,chronic,1.0,17
FKID000354,severe,1.0,18
FKID000355,outlier,0.0,-1
FKID000358,severe,1.0,18
FKID000366,severe,0.09534251931787387,18
FKID000369,moderate,1.0,12
FKID000372,rapid_clear,1.0,31
FKID000376,chronic,0.8236297428021401,17
FKID000377,moderate,1.0,11
FKID000380,severe,1.0,9
FKID000382,severe,0.5560909601661581,9
FKID000383,chronic,1.0,50
FKID000384,severe,0.9722915288373969,48
FKID000385,rapid_clear,1.0,45
FKID000387,severe,1.0,33
FKID000393,mega_disruption,1.0,28
FKID000394,mega_disruption,1.0,47
FKID000395,chronic,1.0,43
FKID000397,severe,1.0,13
FKID000398,severe,1.0,13
FKID000399,severe,1.0,14
FKID000402,moderate,0.9895938342798095,15
FKID000404,severe,1.0,14
FKID000407,severe,0.9221746023320838,32
FKID000410,severe,1.0,14
FKID000412,moderate,1.0,6
FKID000413,rapid_clear,1.0,44
FKID000415,mega_disruption,0.9695377759291971,47
FKID000416,severe,0.9221746023320838,32
FKID000417,moderate,1.0,36
FKID000420,chronic,1.0,39
FKID000421,moderate,1.0,6
FKID000425,rapid_clear,0.8882108398538375,2
FKID000426,mega_disruption,1.0,1
FKID000427,mega_disruption,1.0,7
FKID000430,rapid_clear,1.0,26
FKID000431,moderate,1.0,24
FKID000434,mega_disruption,0.6107651015090589,46
FKID000441,mega_disruption,1.0,29
FKID000442,mega_disruption,1.0,8
FKID000443,chronic,1.0,27
FKID000444,mega_disruption,1.0,8
FKID000450,chronic,1.0,30
FKID000453,mega_disruption,0.6107651015090589,46
FKID000456,moderate,1.0,24
FKID000457,chronic,1.0,3
FKID000458,severe,1.0,48
FKID000461,severe,1.0,48
FKID000464,chronic,1.0,50
FKID000467,severe,1.0,34
FKID000468,mega_disruption,1.0,8
FKID000471,severe,1.0,13
FKID000472,chronic,1.0,43
FKID000473,rapid_clear,1.0,44
FKID000474,severe,1.0,22
FKID000477,moderate,1.0,24
FKID000478,rapid_clear,0.6897282958250606,37
FKID000479,moderate,0.5227386476687612,36
FKID000480,moderate,1.0,24
FKID000482,mega_disruption,1.0,1
FKID000485,mega_disruption,1.0,29
FKID000491,mega_disruption,1.0,21
FKID000492,chronic,1.0,3
FKID000493,mega_disruption,1.0,29
FKID000494,mega_disruption,1.0,29
FKID000495,severe,0.12193217847956768,18
FKID000499,mega_disruption,1.0,8
FKID000500,chronic,1.0,25
FKID000501,chronic,1.0,25
FKID000503,rapid_clear,1.0,31
FKID000504,rapid_clear,1.0,23
FKID000505,mega_disruption,0.4484164534379405,28
FKID000506,chronic,1.0,4
FKID000513,mega_disruption,0.6107651015090589,46
FKID000515,moderate,0.12503024012211622,12
FKID000520,chronic,1.0,17
FKID000521,mega_disruption,0.8553667433914572,42
FKID000522,mega_disruption,0.6744040886472502,7
FKID000525,severe,0.4912714546128261,0
FKID000527,mega_disruption,1.0,47
FKID000528,mega_disruption,1.0,8
FKID000529,mega_disruption,1.0,47
FKID000530,mega_disruption,1.0,47
FKID000531,severe,1.0,0
FKID000532,mega_disruption,0.5963568197981785,28
FKID000533,rapid_clear,1.0,10
FKID000535,rapid_clear,0.7375604831921034,45
FKID000537,rapid_clear,1.0,45
FKID000538,severe,0.9722915288373969,48
FKID000539,rapid_clear,1.0,5
FKID000541,rapid_clear,1.0,31
FKID000542,mega_disruption,1.0,47
FKID000543,mega_disruption,1.0,20
FKID000544,chronic,1.0,25
FKID000547,mega_disruption,1.0,47
FKID000548,mega_disruption,1.0,20
FKID000553,chronic,1.0,4
FKID000556,rapid_clear,0.39749497414135815,44
FKID000557,chronic,0.7590947218928296,17
FKID000559,mega_disruption,1.0,47
FKID000561,mega_disruption,0.6187532804117869,28
FKID000563,chronic,0.8729319618017972,39
FKID000564,mega_disruption,0.5761555031359388,28
FKID000565,mega_disruption,1.0,21
FKID000567,severe,0.9722915288373969,48
FKID000568,chronic,1.0,50
FKID000569,moderate,1.0,36
FKID000578,chronic,1.0,25
FKID000582,rapid_clear,1.0,49
FKID000586,chronic,1.0,25
FKID000587,severe,1.0,0
FKID000588,outlier,0.0,-1
FKID000589,chronic,1.0,30
FKID000590,rapid_clear,1.0,23
FKID000597,mega_disruption,0.6285621665090892,28
FKID000598,severe,1.0,9
FKID000599,rapid_clear,1.0,23
FKID000604,severe,1.0,14
FKID000605,rapid_clear,1.0,44
FKID000608,mega_disruption,0.6285621665090892,28
FKID000609,severe,0.4431428029257948,19
FKID000610,chronic,1.0,39
FKID000612,severe,1.0,22
FKID000615,chronic,1.0,39
FKID000616,mega_disruption,0.6768767581777229,28
FKID000617,mega_disruption,1.0,29
FKID000618,mega_disruption,1.0,21
FKID000623,chronic,0.44135386686115774,27
FKID000624,mega_disruption,1.0,29
FKID000629,chronic,1.0,4
FKID000631,chronic,1.0,39
FKID000632,moderate,0.3501220637659043,16
FKID000633,chronic,1.0,39
FKID000634,chronic,1.0,38
FKID000635,severe,0.6207888969119787,0
FKID000636,chronic,1.0,25
FKID000638,mega_disruption,1.0,20
FKID000640,mega_disruption,0.5788931681812096,28
FKID000641,mega_disruption,1.0,21
FKID000646,moderate,1.0,40
FKID000647,chronic,0.33096981880708176,30
FKID000650,chronic,1.0,17
FKID000651,mega_disruption,0.8362528162189513,47
FKID000653,mega_disruption,1.0,42
FKID000655,severe,0.9276618741751972,32
FKID000657,severe,1.0,33
FKID000658,outlier,0.0,-1
FKID000659,mega_disruption,1.0,42
FKID000664,chronic,1.0,50
FKID000668,rapid_clear,0.8751626775993792,2
FKID000670,chronic,0.8236297428021401,17
FKID000672,mega_disruption,0.5788931681812096,28
FKID000673,rapid_clear,1.0,2
FKID000674,mega_disruption,1.0,1
FKID000675,mega_disruption,1.0,21
FKID000676,rapid_clear,0.39749497414135815,44
FKID000679,mega_disruption,1.0,7
FKID000681,rapid_clear,1.0,35
FKID000684,severe,1.0,22
FKID000685,severe,0.4431428029257948,19
FKID000692,chronic,0.8113080176053207,17
FKID000694,chronic,1.0,39
FKID000695,chronic,1.0,39
FKID000697,moderate,0.12503024012211622,12
FKID000698,chronic,1.0,3
FKID000699,moderate,0.5227386476687612,36
FKID000700,severe,0.12193217847956768,18
FKID000701,rapid_clear,1.0,26
FKID000706,outlier,0.0,-1
FKID000708,moderate,0.12503024012211622,12
FKID000711,mega_disruption,1.0,8
FKID000712,moderate,0.7532047069416377,40
FKID000714,moderate,1.0,40
FKID000715,severe,0.09534251931787387,18
FKID000717,moderate,1.0,11
FKID000719,severe,1.0,0
FKID000720,severe,1.0,9
FKID000721,severe,0.5560909601661581,9
FKID000725,severe,1.0,48
FKID000726,mega_disruption,1.0,46
FKID000732,chronic,1.0,30
FKID000741,mega_disruption,1.0,47
FKID000744,mega_disruption,1.0,28
FKID000745,chronic,0.7590947218928296,17
FKID000748,chronic,1.0,17
FKID000749,chronic,1.0,17
FKID000750,chronic,0.8236297428021401,17
FKID000752,outlier,0.0,-1
FKID000755,severe,1.0,13
FKID000756,severe,1.0,33
