event_cause,corridor,n,rmst_60min,rmst_180min,rmst_360min,rmst_720min
accident,Bellary Road 1,20,51.88451807542195,128.6696009778481,240.31517059810125,463.60630983860756
accident,Bellary Road 2,42,49.059130777046775,113.93611698148146,209.72559066569193,401.3045380341129
accident,Hosur Road,18,48.14605435620915,112.36783604809366,190.01489487162308,345.3090125186818
accident,Mysore Road,15,55.88860364489796,153.65172064489798,300.5904961551021,594.4680471755103
accident,Non-corridor,197,55.51965269353028,151.60027635700789,293.05150447384057,576.129484549416
accident,ORR North 1,19,51.4535049268018,130.91296438626125,250.10215357545042,488.48053195382874
accident,Tumkur Road,16,46.946853411458335,99.19377606510417,177.94377606510417,335.4437760651042
congestion,Hennur Main Road,22,57.78321857958801,140.07196824578648,239.1730918412921,437.3753390323034
congestion,Non-corridor,42,53.81973045342584,150.66898552468538,291.7532062410455,573.9216476737657
congestion,ORR North 2,40,60.0,180.0,360.0,720.0
construction,Airport New South Road,19,43.25855271223652,123.34739655849923,243.27713894725798,435.94482214593086
construction,Bellary Road 2,17,45.22545078528941,103.32896437428506,172.14159306337223,278.2977288615306
construction,Non-corridor,144,50.59679304806161,144.12068491202285,272.0234307297748,494.6250143784205
construction,ORR East 1,16,35.323540304028555,102.93873836385069,204.36153545358388,407.20712963305033
construction,ORR East 2,96,59.37425931421033,176.6459657837857,349.25718036780586,683.9498186438985
construction,ORR North 1,32,55.24487340846996,150.45302796612026,282.6050331021858,477.9240261327868
others,Bellary Road 1,53,50.77342945825596,133.98878052661442,250.3285728027646,469.3195885724847
others,Bellary Road 2,23,57.458176466817505,161.5641182737557,296.90577149962303,543.8095396862747
others,Hosur Road,19,57.2837658716754,153.44067777664532,279.15676165453306,496.02924233013005
others,Magadi Road,27,50.550562873931625,122.52495483802039,206.1580955882961,360.0831586131789
others,Mysore Road,61,52.081207480818854,133.39969593342457,234.8044142302995,423.94911023860755
others,Non-corridor,257,53.45758027489524,140.45788091597905,261.0715604287668,491.44780099173397
others,ORR North 1,24,57.306019562575486,165.21710425083035,328.9127564247434,656.3040607725694
others,ORR North 2,21,46.711341831655474,107.77724712760997,176.71410478094703,292.6389722907345
others,Tumkur Road,33,60.0,166.4028959411318,315.3732742291192,597.4792611860541
others,West of Chord Road,18,54.186348562626264,135.8150487767677,250.36050332222226,479.45141241313127
pot_holes,Bannerghata Road,45,60.0,180.0,360.0,720.0
pot_holes,Hosur Road,60,60.0,180.0,360.0,720.0
pot_holes,IRR(Thanisandra road),37,58.39201936936937,175.14877612612614,350.28391126126127,700.5541815315316
pot_holes,Non-corridor,243,57.15667140513916,168.97021385138274,335.5850386377716,667.6535588722106
pot_holes,ORR East 1,26,60.0,180.0,360.0,720.0
