decile,n,predicted_event_rate,observed_event_rate,abs_error,ece_contribution
1,807,0.05045585113026102,0.12143742255266418,0.07098157142240316,0.007154006261755883
2,795,0.15049331834644686,0.1761006289308176,0.02560731058437074,0.0025425018002466267
3,800,0.25009366804046457,0.28125,0.031156331959535433,0.003112909400228343
4,801,0.35006868989634077,0.30087390761548066,0.049194782280860105,0.004921321419628943
5,804,0.4502934931934557,0.2898009950248756,0.16049249816858008,0.016115395095233968
6,799,0.5503934057699513,0.3354192740926158,0.21497413167733553,0.021451771101560022
7,799,0.6501810915448981,0.3566958698372966,0.2934852217076015,0.02928621108334877
8,800,0.7500312226801549,0.3975,0.35253122268015485,0.03522230275310652
9,801,0.850006244536031,0.4107365792759051,0.4392696652601259,0.04394342473752477
10,801,0.9500437117522167,0.3807740324594257,0.5692696792927909,0.0569482968794212
