event_cause,n,n_events,weighted_n,p50_min,p80_min,p95_min,median_ci_lower
accident,94,94,91.39,41.571545316666665,73.76595049999999,115.25701389999999,0.0
congestion,22,22,21.7,72.70130863333334,115.82626488333334,154.51919141666667,0.0
construction,340,340,300.1,722.82365,2963.87893805,21310.6541148,0.0
others,420,420,360.36,180.91461453333335,8589.098377216667,40356.568071249996,0.0
pot_holes,176,176,154.21999999999997,11562.4573284,48375.30817531667,102846.21007205,0.0
procession,35,35,32.3,59.50666666666667,120.61731666666667,376.53048333333334,0.0
public_event,39,39,35.06999999999999,180.2073,413.85461666666663,12625.130233333333,0.0
road_conditions,92,92,84.44,7234.8082011999995,28715.22712571667,102549.47690223333,0.0
tree_fall,175,175,152.8,321.23818236666665,3476.3552569333333,28204.771228,0.0
vehicle_breakdown,1842,1842,1827.5700000000002,41.03490251666666,81.31714885,123.6661835,0.0
water_logging,245,245,223.67,2756.454794866667,14636.951830766666,48925.08282431667,0.0
