event_cause,corridor,n,n_events,weighted_n,p50_min,p80_min,p95_min,median_ci_lower
accident,Bellary Road 2,16,16,16.0,32.31531945,61.2137216,111.00052843333333,0.0
accident,Non-corridor,35,35,32.989999999999995,43.65988791666667,78.2774947,1451.91375,0.0
construction,Airport New South Road,19,19,17.08,901.7059666666667,1897.86964235,182375.20404578332,0.0
construction,Bellary Road 2,16,16,13.57,133.9957,1378.1403613,40104.70742601667,0.0
construction,Non-corridor,118,118,102.66999999999999,662.4842666666666,5820.239507183333,21203.242771983332,0.0
construction,ORR East 2,92,92,86.99000000000001,726.9074999999999,779.7902333333333,823.1908999999999,0.0
construction,ORR North 1,20,20,18.5,400.21200000000005,571.1847833333334,25835.501772983334,0.0
others,Bellary Road 1,32,32,27.47,99.88255601666667,3801.1654547,100585.63057978333,0.0
others,Bellary Road 2,20,20,19.1,1513.1385030833333,4008.7431538333335,23368.130840733334,0.0
others,Magadi Road,22,22,19.18,140.94401789999998,8530.49384115,37826.52565715,0.0
others,Mysore Road,49,49,40.959999999999994,172.3003701833333,9569.963386149999,40239.06881353333,0.0
others,Non-corridor,159,159,135.87,139.68356741666668,7305.7856726166665,52957.602482949995,0.0
others,ORR North 2,21,21,17.88,112.90304878333333,7109.272537666667,59870.439726950004,0.0
others,Tumkur Road,19,19,16.689999999999998,1327.4565705999998,11597.7934565,40356.568071249996,0.0
pot_holes,Non-corridor,90,90,77.94,11562.4573284,43297.95095176667,89112.40243683333,0.0
procession,Non-corridor,26,26,23.3,38.40874121666666,164.95850000000002,4815.6858999999995,0.0
public_event,Non-corridor,21,21,17.669999999999998,146.19324999999998,1440.0824833333331,12968.057916666667,0.0
road_conditions,Non-corridor,45,45,39.660000000000004,11570.538582183333,41586.129341550004,110773.72710675,0.0
tree_fall,Non-corridor,118,118,101.65,412.24392695,4383.935256866666,29120.036457983333,0.0
vehicle_breakdown,Bannerghata Road,29,29,28.4,34.15102665,71.91043833333333,122.30917251666666,0.0
vehicle_breakdown,Bellary Road 1,146,146,145.4,36.67477173333334,86.78634966666667,136.78986316666666,0.0
vehicle_breakdown,Bellary Road 2,82,82,81.7,44.67258238333333,87.68711406666667,133.28790756666666,0.0
vehicle_breakdown,CBD 2,20,20,20.0,60.0840213,83.6431582,97.3695523,0.0
vehicle_breakdown,Hosur Road,72,72,72.0,48.62803473333334,88.40484938333334,117.19740893333332,0.0
vehicle_breakdown,Magadi Road,75,75,75.0,44.38574795,81.95171803333332,125.2718676,0.0
vehicle_breakdown,Mysore Road,244,244,243.7,39.02434768333333,74.20677181666666,112.05360535,0.0
vehicle_breakdown,Non-corridor,610,610,604.0899999999999,44.57315223333333,83.22766023333334,128.41844893333334,0.0
vehicle_breakdown,ORR East 1,61,61,60.19,39.86270186666666,83.42797768333334,146.0768349,0.0
vehicle_breakdown,ORR East 2,22,22,22.0,31.1868471,72.49902041666665,94.23299795,0.0
vehicle_breakdown,ORR North 1,45,45,44.19,36.730649516666666,91.35186411666668,124.40155733333333,0.0
vehicle_breakdown,ORR North 2,51,51,50.4,41.89284255,90.19006885,123.6661835,0.0
vehicle_breakdown,ORR West 1,48,48,48.0,50.06265993333333,89.23145795,141.02791743333333,0.0
vehicle_breakdown,Old Airport Road,24,24,24.0,28.376774483333335,85.34070533333333,122.7237518,0.0
vehicle_breakdown,Old Madras Road,45,45,45.0,35.63385138333333,74.64067675,93.39061898333333,0.0
vehicle_breakdown,Tumkur Road,183,183,179.39999999999998,30.345930816666666,66.48960311666666,112.07015633333334,0.0
vehicle_breakdown,Varthur Road,23,23,23.0,46.857148433333336,98.82358633333334,139.90008856666665,0.0
vehicle_breakdown,West of Chord Road,31,31,30.4,35.05276381666667,61.04067213333334,106.81585711666666,0.0
water_logging,Mysore Road,30,30,27.06,1341.8618717,10561.752009716667,36880.80059298334,0.0
water_logging,Non-corridor,96,96,84.36,1638.5179018833333,13700.209654616667,61902.39153498333,0.0
