event_cause,n,n_events,n_interval_censored,weighted_n,p50_min,p80_min,p95_min
accident,365,94,271,286.25,233928.05385696667,233928.05385696667,233928.05385696667
congestion,136,22,114,100.87,229170.57720696664,229170.57720696664,229170.57720696664
construction,405,340,65,363.0,746.7284166666667,30165.172037800003,2051059.2206000001
others,635,420,215,572.66,8503.662806933333,233774.72210696666,233774.72210696666
pot_holes,536,176,360,506.72,233814.40807363333,233814.40807363333,233814.40807363333
procession,61,35,26,58.3,259.4193666666667,229362.90220696665,229362.90220696665
public_event,40,39,1,36.07,189.96813333333333,720.1395333333334,12968.057916666667
road_conditions,169,92,77,160.54,86701.91650806667,232322.1596903,232322.1596903
tree_fall,283,175,108,258.1,7714.292728683333,207442.38120696665,207442.38120696665
vehicle_breakdown,4883,1842,3041,4782.77,233927.61142363335,233927.61142363335,233927.61142363335
water_logging,458,245,213,435.47,48925.08282431667,474854.9204333333,474854.9204333333
