junction,future_risk_score,percentile_rank
MekhriCircle,0.8274165,100.0
TownhallJunction,0.81017566,99.65986394557824
SatteliteBusStandJunc,0.7498087,99.31972789115646
JalahalliCross(SM Circle),0.6819733,98.9795918367347
YeshwanthpuraCircle,0.6788223,98.63945578231292
GokuldasImagesJunc,0.66428477,98.29931972789116
YelhankaCircle,0.66371197,97.95918367346938
toll gate mysore road,0.6211531,97.61904761904762
LeprosyhospitalJunc,0.61724263,97.27891156462584
GoruguntepalyaJunc,0.5946664,96.93877551020408
BagalurCrossJunc,0.59366107,96.5986394557823
KIMCO Junction,0.5929875,96.25850340136054
HesaraghattaJunction,0.57678306,95.91836734693877
RajeshwariJunc,0.55849653,95.578231292517
CMP GateJunc,0.54867405,95.23809523809523
SilkBoardJunc,0.54159075,94.89795918367348
BEL Circle,0.53657806,94.5578231292517
YelhankaBypass,0.5289455,94.21768707482994
K R Circle,0.5264094,93.87755102040816
HebbalFlyoverJunc,0.52269006,93.5374149659864
KhodaysCircle(DV UrsCircle),0.5215268,93.19727891156462
PoliceCornerJunc,0.52033997,92.85714285714286
AyyappaTempleJunc,0.5075858,92.51700680272108
IndianExpressJunction,0.4919887,92.17687074829932
Devasandra(k r puram),0.48347318,91.83673469387756
BangaloreBodyBuildersJunc,0.47836202,91.49659863945578
HudsonCircle,0.46224812,91.15646258503402
Sumanhalli,0.44091237,90.81632653061224
MysoreRd-RingRdJunc(Nayandanahallii),0.4216857,90.47619047619048
Kadubeesanahalli-ORR Junc,0.4075922,90.1360544217687
SantheCircle,0.40103874,89.79591836734694
SRS Peenya Junc,0.38596362,89.45578231292517
KogilluCrossJunc,0.38020033,89.1156462585034
TumkurRdMarappanapalyaJunc,0.37550274,88.77551020408163
Marigowda-TavarkereRdJunc,0.37191096,88.43537414965986
NaganathapuraJunction,0.37021682,88.09523809523809
PoliceTimmaiahCircle(GPO),0.36817282,87.75510204081633
Nagavara-ORR Junction,0.3647684,87.41496598639455
KodigehalliCross,0.3570551,87.07482993197279
"VeerannapalyaJunction(BEL,HO)",0.3515703,86.73469387755102
FTI Junction(KanteeravaStudio),0.34416333,86.39455782312925
MaratahalliBridgeJunc,0.33807436,86.05442176870748
Shivajinagar(BRV)Junction,0.33226928,85.71428571428571
HennurRoad-ORR Junc,0.31084967,85.37414965986395
KrishnaFlourMill,0.30428183,85.03401360544217
N R SquareJunc,0.3004788,84.6938775510204
MS RamaiahJunc(TollGate),0.2977457,84.35374149659864
PeenyaPoliceStation,0.29742214,84.01360544217688
Bommanahalli,0.29300883,83.6734693877551
SiddalingaiahCircle,0.2838432,83.33333333333334
KoramangalaWaterTankJunc,0.27585495,82.99319727891157
Srigandakaval,0.27455932,82.6530612244898
BigBazaarJunction(OldMadrasRd),0.2689105,82.31292517006803
DomlurWaterTank,0.2673683,81.97278911564626
LRDE Junction,0.2664444,81.63265306122449
SadashivnagarJunc,0.2622309,81.29251700680273
MotherTeressaCircle,0.24396932,80.95238095238095
HopefarmJunction,0.24138695,80.61224489795919
Batrayanapura(Amrutahalli)Junction,0.24008307,80.27210884353741
Richmond circle jn,0.2374267,79.93197278911565
SirsiCircle,0.23719811,79.59183673469387
KundanahalliGateJunc,0.23505777,79.25170068027211
KanakapuraRd-RingRdJunction,0.23343739,78.91156462585033
KadirenahalliJunction,0.23234999,78.57142857142857
Dr TCM RoyanRd near AmbedkarStatue,0.22912082,78.2312925170068
ShivandaCircle,0.22557123,77.89115646258503
UttarahalliJunction,0.22492002,77.55102040816327
HunsemarammanahalliJunction,0.2243013,77.21088435374149
UniversityJunc(Janabharti),0.22306882,76.87074829931973
UlsoorGateJunc,0.2188612,76.53061224489795
BilekahalliJunc,0.21728428,76.19047619047619
KatriguppeJunction,0.2138533,75.85034013605441
SandeepUnnikrishnan-Yelhanka,0.20874786,75.51020408163265
StateBankofMysoreJunc,0.20511183,75.17006802721087
TrinityCircle,0.20349026,74.82993197278913
JakkurCrossJunction,0.1977839,74.48979591836735
ArakereGateJunc,0.1976071,74.14965986394559
Ring road-Near Kengunte Junction,0.19588213,73.80952380952381
MillCornerRd-SampigeRdJunc,0.19193661,73.46938775510205
HulimaveRd-BanneraghattaRdJunc,0.18092594,73.12925170068027
ISRO Junction-Airport rd,0.17868268,72.78911564625851
VeerasandraGateJunction,0.17570657,72.44897959183673
Nagarbhavi,0.17566039,72.10884353741497
TataInstituteCircle,0.17355834,71.7687074829932
MinskSquare(CTO Junction),0.17291474,71.42857142857143
HoramavuJunction,0.17131054,71.08843537414967
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),0.16902667,70.74829931972789
Arbindo Circle,0.16884065,70.40816326530613
BanashankariBusStandJunc,0.16276221,70.06802721088435
BloodBankCircle,0.16144057,69.72789115646259
WilsonGarden12thCrossJunc,0.15491533,69.38775510204081
AnandRaoJunction,0.15463497,69.04761904761905
LalbaghMainGateJunc,0.15097792,68.70748299319727
Chokasandra (Tumkur road),0.14981395,68.36734693877551
DairyCircle,0.14782351,68.02721088435374
K R MarketJunction,0.14692163,67.68707482993197
DhobiGhatJunc,0.1451849,67.3469387755102
Ashoknagar Junction(ShoolayCircle),0.14357074,67.00680272108843
Deverabeesanahalli-ORR Junc,0.14122899,66.66666666666666
PlatformRdJunction,0.13529724,66.3265306122449
QueensStatueCircle,0.13442482,65.98639455782312
Kudlu Gate Junc,0.13424554,65.64625850340136
29thMainRdBTM LayoutJunc,0.1336839,65.3061224489796
BMTCJunction-K H Road,0.1308373,64.96598639455783
GangammagudiJunc,0.13013788,64.62585034013605
SarjapurRd-St JohnsRdJunc,0.12946756,64.28571428571429
BasaweshwaraCircle,0.12807234,63.94557823129252
KonanakunteJunction(KanakapurarRd),0.12650089,63.60544217687075
EliteJunc,0.12479703,63.26530612244898
Krupanidhi College,0.12235559,62.925170068027214
Rajajinagar19thMainJunc,0.12011738,62.585034013605444
DevangaHostelJunction,0.11836587,62.244897959183675
SagarHospitalJunc,0.11677867,61.904761904761905
RajajinagarEntranceJunction,0.11642165,61.564625850340136
KarnatakaBhavanJunction,0.11592275,61.224489795918366
SubbannaJunction,0.11585925,60.8843537414966
HainsJunc,0.11566178,60.544217687074834
PrasannaJunction,0.11505666,60.204081632653065
RamamurthyNagarJunction,0.11380564,59.863945578231295
JaiMuniRaoCircle,0.11374232,59.523809523809526
AnepalyaJunc,0.11168385,59.183673469387756
