junction,mu_baseline,alpha_excitation,beta_decay,cascade_risk,n_events,method
HudsonCircle,,0.05,1.0,0.04999995000005001,16,scipy_mle
MysoreRd-RingRdJunc(Nayandanahallii),,0.05,1.0,0.04999995000005001,19,scipy_mle
KrishnaFlourMill,,0.05,1.0,0.04999995000005001,19,scipy_mle
LeprosyhospitalJunc,,0.05,1.0,0.04999995000005001,21,scipy_mle
Nagavara-ORR Junction,,0.05,1.0,0.04999995000005001,32,scipy_mle
K R Circle,,0.05,1.0,0.04999995000005001,31,scipy_mle
KoramangalaWaterTankJunc,0.00015607202468296714,0.04112300153267424,1.4981036425997587,0.027450019420079234,29,scipy_mle
AyyappaTempleJunc,0.00016544917441625089,0.008404149209246167,0.31652578041812124,0.02655114741995786,49,scipy_mle
Bommanahalli,0.00017411835011874543,0.004804392701546722,0.2627852519694169,0.018282511606070848,26,scipy_mle
BangaloreBodyBuildersJunc,0.00015813487803867566,0.0060574431466673745,0.4042843676611644,0.014983087767213427,19,scipy_mle
KhodaysCircle(DV UrsCircle),0.00017999206079854246,0.008027784840629043,0.5798498833714122,0.013844567751545533,23,scipy_mle
IndianExpressJunction,0.00013929470314382004,0.008880242939673495,1.2564332245325458,0.00706781363184959,16,scipy_mle
MekhriCircle,0.0005666066836366199,0.99,7561.425876208634,0.00013092768693058552,64,scipy_mle
"VeerannapalyaJunction(BEL,HO)",0.00033374490052496267,0.0,34.852936267305225,0.0,30,scipy_mle
SRS Peenya Junc,0.00018514452078580498,0.0,21.327838136781097,0.0,20,scipy_mle
SatteliteBusStandJunc,0.00039965111935202815,0.0,2.0451519850582573,0.0,43,scipy_mle
YeshwanthpuraCircle,0.00033167356071696255,0.0,8.049635855207137,0.0,38,scipy_mle
Sumanhalli,0.00015571625191119286,0.0,5.686706698954813,0.0,16,scipy_mle
HennurRoad-ORR Junc,0.00015413035721356847,0.0,15.406896985768686,0.0,17,scipy_mle
JakkurCrossJunction,0.00016732750670081224,0.0,9.743637874058939,0.0,18,scipy_mle
YelhankaBypass,0.00017597534357967617,0.0,3.8512959433051455,0.0,19,scipy_mle
YelhankaCircle,0.00033462966208785023,0.0,24.43482828919941,0.0,34,scipy_mle
toll gate mysore road,0.0003106327308935463,0.0,32.762636756683094,0.0,33,scipy_mle
SilkBoardJunc,0.0003039615266660111,0.0,60.24687157958968,0.0,33,scipy_mle
GoruguntepalyaJunc,0.0002098983969656072,0.0,3.879196187485479,0.0,20,scipy_mle
CMP GateJunc,0.00017858865973280206,0.0,7.843006270095567,0.0,20,scipy_mle
JalahalliCross(SM Circle),0.00028849105778468756,0.0,9.78429348604351,0.0,32,scipy_mle
HesaraghattaJunction,0.0002633417408621304,0.0,33.1246220112334,0.0,30,scipy_mle
RajeshwariJunc,0.00023139811436697955,0.0,4.3499699999351895,0.0,22,scipy_mle
KIMCO Junction,0.00033094711092046097,0.0,3.690355694719278,0.0,31,scipy_mle
SantheCircle,0.00023212977146201227,0.0,4.54654754395655,0.0,25,scipy_mle
BEL Circle,0.0002788223981844347,0.0,4.059258799082074,0.0,25,scipy_mle
PoliceCornerJunc,0.0002437922486885551,0.0,3.9975882118727983,0.0,26,scipy_mle
TownhallJunction,0.0002592526438549596,0.0,3.788295180700868,0.0,30,scipy_mle
BigBazaarJunction(OldMadrasRd),0.00024497457974698833,0.0,22.88140155035708,0.0,26,scipy_mle
BagalurCrossJunc,0.0002378981299916889,0.0,3.9336082582969008,0.0,27,scipy_mle
HebbalFlyoverJunc,0.0002769170110123409,0.0,3.8812914262695646,0.0,28,scipy_mle
GokuldasImagesJunc,0.0002415503830640153,0.0,10.625010496562341,0.0,28,scipy_mle
Devasandra(k r puram),0.0002804235090889794,0.0,0.01,0.0,30,scipy_mle
Shivajinagar(BRV)Junction,0.00016829084072221757,0.0,8.82964506892854,0.0,16,scipy_mle
