junction,hotspot_persistence_index,significant_weeks,total_weeks,persistence_class
HebbalFlyoverJunc,0.35714285714285715,5,14,recurring
ISRO Junction-Airport rd,0.2857142857142857,4,14,recurring
MayohallJunction,0.21428571428571427,3,14,recurring
BangaloreBodyBuildersJunc,0.21428571428571427,3,14,recurring
DhobiGhatJunc,0.21428571428571427,3,14,recurring
HainsJunc,0.21428571428571427,3,14,recurring
KIMCO Junction,0.21428571428571427,3,14,recurring
BigBazaarJunction(OldMadrasRd),0.21428571428571427,3,14,recurring
SatteliteBusStandJunc,0.21428571428571427,3,14,recurring
TyagiHengalvarayaJunc(DickensonRd),0.21428571428571427,3,14,recurring
TrinityCircle,0.21428571428571427,3,14,recurring
Devasandra(k r puram),0.21428571428571427,3,14,recurring
Kadubeesanahalli-ORR Junc,0.21428571428571427,3,14,recurring
IndianExpressJunction,0.21428571428571427,3,14,recurring
SandeepUnnikrishnan-Yelhanka,0.14285714285714285,2,14,transient
OldMadrasRd-NGEF Junc,0.14285714285714285,2,14,transient
CMP GateJunc,0.14285714285714285,2,14,transient
RamaiahCircle-UlsoorPoliceStation,0.14285714285714285,2,14,transient
IbblurJunction',0.14285714285714285,2,14,transient
Kudlu Gate Junc,0.14285714285714285,2,14,transient
ItmaduJunction,0.14285714285714285,2,14,transient
OldMadrasRd-80FeetRdJunc,0.14285714285714285,2,14,transient
Bommanahalli,0.14285714285714285,2,14,transient
ShivanahalliJunctionWOC,0.14285714285714285,2,14,transient
SantheCircle,0.14285714285714285,2,14,transient
VeerasandraGateJunction,0.14285714285714285,2,14,transient
BilekahalliJunc,0.14285714285714285,2,14,transient
HopefarmJunction,0.14285714285714285,2,14,transient
KadirenahalliJunction,0.14285714285714285,2,14,transient
MysoreRd-RingRdJunc(Nayandanahallii),0.14285714285714285,2,14,transient
BTM16thMain-ORR Junc,0.14285714285714285,2,14,transient
Rajajinagar19thMainJunc,0.14285714285714285,2,14,transient
BagalurCrossJunc,0.14285714285714285,2,14,transient
Sumanhalli,0.14285714285714285,2,14,transient
SilkBoardJunc,0.14285714285714285,2,14,transient
HudsonCircle,0.14285714285714285,2,14,transient
AnilKumbleCircle,0.14285714285714285,2,14,transient
KamrajRdJunction,0.14285714285714285,2,14,transient
OldMadrasRd-Indranagar100ftRdJunc,0.14285714285714285,2,14,transient
Yemalur cross junc,0.14285714285714285,2,14,transient
JalahalliCross(SM Circle),0.14285714285714285,2,14,transient
BanashankariBusStandJunc,0.14285714285714285,2,14,transient
OldPoliceStation-Ashoknagar,0.14285714285714285,2,14,transient
GokuldasImagesJunc,0.14285714285714285,2,14,transient
DomlurWaterTank,0.14285714285714285,2,14,transient
FTI Junction(KanteeravaStudio),0.14285714285714285,2,14,transient
MS RamaiahJunc(TollGate),0.14285714285714285,2,14,transient
Dr TCM RoyanRd near AmbedkarStatue,0.14285714285714285,2,14,transient
SiddalingaiahCircle,0.14285714285714285,2,14,transient
Chokasandra (Tumkur road),0.14285714285714285,2,14,transient
BiryandCircle,0.07142857142857142,1,14,transient
Peenya14thCrossJunc,0.07142857142857142,1,14,transient
NationalCollege,0.07142857142857142,1,14,transient
J D MaraJunc,0.07142857142857142,1,14,transient
"PriyadarshiniHotel,Jayamahal,RT Nagar",0.07142857142857142,1,14,transient
RajarajeshwariKalyanaMantapaJunc,0.07142857142857142,1,14,transient
Deverabeesanahalli-ORR Junc,0.07142857142857142,1,14,transient
HulimaveRd-BanneraghattaRdJunc,0.07142857142857142,1,14,transient
GarebhavipalyaJunc,0.07142857142857142,1,14,transient
GangammagudiJunc,0.07142857142857142,1,14,transient
ShivandaCircle,0.07142857142857142,1,14,transient
DMRoadJunc(Basavangudi),0.07142857142857142,1,14,transient
BagalakunteCrossJunction,0.07142857142857142,1,14,transient
UlsoorGateJunc,0.07142857142857142,1,14,transient
ShivajiTalkiesJunc,0.07142857142857142,1,14,transient
RamamurthyNagarJunction,0.07142857142857142,1,14,transient
TownhallJunction,0.07142857142857142,1,14,transient
MaharajaJunction,0.07142857142857142,1,14,transient
South end circle,0.07142857142857142,1,14,transient
NaganathapuraJunction,0.07142857142857142,1,14,transient
"Trilight Circle,Race course Road",0.07142857142857142,1,14,transient
NandiCross(RaniCross),0.07142857142857142,1,14,transient
Srigandakaval,0.07142857142857142,1,14,transient
SadashivnagarJunc,0.07142857142857142,1,14,transient
MotherTeressaCircle,0.07142857142857142,1,14,transient
OldMadrasRd-BMTC DepotJunc,0.07142857142857142,1,14,transient
GoruguntepalyaJunc,0.07142857142857142,1,14,transient
MeenakshiMallJunc,0.07142857142857142,1,14,transient
ShantalaJunction,0.07142857142857142,1,14,transient
SwagathMainRd-EastEndRdJunc,0.07142857142857142,1,14,transient
