junction,severity_raw,persistence_norm,hawkes_norm,duration_risk_norm,frailty_difficulty_norm,severity_norm,operational_burden_index
MysoreRd-RingRdJunc(Nayandanahallii),92911.40592538334,0.25,1.0,0.0180095336900269,0.5,0.0314204204480694,0.4105565351655214
HudsonCircle,2944.12145035,0.25,1.0,0.0005706754076048648,0.5,0.0016066927974273293,0.40048727451049754
HennurRd-DavisRdJunction,3015741.9754995997,0.0,0.0,0.5845580116590432,0.5,0.9999999999999999,0.3876837017488564
Nagavara-ORR Junction,260647.45231640997,0.0,1.0,0.05052274289640934,0.5,0.08700547932227944,0.37932978126503125
LeprosyhospitalJunc,186162.0233436435,0.0,1.0,0.03608481862714951,0.5,0.06232219243312627,0.37099327090235396
K R Circle,49842.16628618,0.0,1.0,0.009661183833939258,0.5,0.01714795920600777,0.3557361673765928
KrishnaFlourMill,161.58529262666664,0.0,1.0,3.1320974452909204e-05,0.5,0.0006846045553680844,0.35017584928500994
AyyappaTempleJunc,829325.8876855683,0.0,0.5310234794221055,0.16075284154326056,0.5,0.27545647116692423,0.3022840878498518
HebbalFlyoverJunc,355779.710579686,1.0,0.0,0.06896275672610794,0.5,0.11853079716644463,0.28997711280052735
BangaloreBodyBuildersJunc,163318.92336167948,0.5,0.29966205500602383,0.031657013724054814,0.5,0.05475235229031686,0.2583352566329946
KoramangalaWaterTankJunc,91146.02084658,0.0,0.549000937401973,0.017667339298112168,0.5,0.030835399901488866,0.2250592320906809
Bommanahalli,87707.29670763,0.25,0.365650597771649,0.017000792305153473,0.5,0.029695861395435653,0.21966926352612665
ISRO Junction-Airport rd,27980.964962494996,0.75,0.0,0.005423705799654079,0.5,0.009903504666968412,0.20328943203669025
IndianExpressJunction,55062.28669264667,0.5,0.1413564139932644,0.010673028756421206,0.5,0.018877824112013077,0.1987273345394458
TrinityCircle,311642.0045571135,0.5,0.0,0.060407300098399584,0.5,0.10390426315289157,0.18503716080298283
CMP GateJunc,698551.122067715,0.25,0.0,0.13540404261224942,0.5,0.23211979307935565,0.1783405546616763
HainsJunc,63690.84577142082,0.5,0.0,0.012345550271706085,0.5,0.021737191401946524,0.15728613039124256
SilkBoardJunc,508901.248652261,0.25,0.0,0.09864315463980897,0.5,0.16927284034559642,0.15711468328237044
Kadubeesanahalli-ORR Junc,58709.61991428333,0.5,0.0,0.011380011606154128,0.5,0.020086492351312785,0.15672862482875133
Devasandra(k r puram),56865.31170211182,0.5,0.0,0.011022519105087352,0.5,0.01947531793316323,0.15652220734905392
SatteliteBusStandJunc,38131.520829005,0.5,0.0,0.007391244403011596,0.5,0.013267237493546472,0.15442549603383837
KIMCO Junction,21282.196488345002,0.5,0.0,0.004125246312195874,0.5,0.007683639300925963,0.15253969677206086
BigBazaarJunction(OldMadrasRd),3093.5608328266667,0.5,0.0,0.0005996420728546807,0.5,0.001656214632786002,0.15050399996912472
DhobiGhatJunc,1212.3744883499999,0.5,0.0,0.00023500127864175752,0.5,0.0010328193879300968,0.15029345503877878
TyagiHengalvarayaJunc(DickensonRd),850.5694418,0.5,0.0,0.00016487059758956365,0.5,0.0009129229479807175,0.15025296132663363
