junction,severity_hotspot_score,raw_count,mean_duration,latitude,longitude
HennurRd-DavisRdJunction,3015741.9754995997,5,410257.5055345067,13.003295697999999,77.620409662
AyyappaTempleJunc,829325.8876855683,49,8038.261316767687,12.923716187142857,77.61866231877552
CMP GateJunc,698551.122067715,20,13813.319692815834,12.957914185000002,77.60585476
SilkBoardJunc,508901.248652261,33,10437.192764803536,12.917013388484849,77.62287403454545
CoffeeBoardJunc,476935.8398156194,8,35710.70831660833,12.9832485,77.5956467
ArakereGateJunc,439873.1784857873,15,16773.918677586666,12.890589566666668,77.59770875333334
YelhankaCircle,363406.203607125,34,4808.1650895897055,13.094322461764706,77.59592726470589
HebbalFlyoverJunc,355779.710579686,28,7840.8391274154765,13.042259165,77.59092162321429
TrinityCircle,311642.0045571135,11,13755.252441018181,12.971906496363637,77.61934259909091
Nagavara-ORR Junction,260647.45231640997,32,3860.2346508203123,13.039600234375,77.624189735625
KatriguppeJunction,260155.95004054997,12,13727.423842326389,12.9254345525,77.54992262166667
SindhiColonyJunction,229433.63266205048,9,35720.0456747,12.994906466666666,77.61605924444444
AnepalyaJunc,225132.1746480535,6,25480.474310480557,12.951754411666668,77.60533033
QueensStatueCircle,204054.73614783346,9,15181.197053785183,12.977181917777777,77.59924659111113
"VeerannapalyaJunction(BEL,HO)",203945.99694785502,30,3974.4735208177785,13.041578026666667,77.61365983
LeprosyhospitalJunc,186162.0233436435,21,5965.746410502381,12.97553827904762,77.5642398852381
Shivajinagar(BRV)Junction,172901.75994752004,16,3609.8734502875004,12.979665,77.60270885625
BangaloreBodyBuildersJunc,163318.92336167948,19,5201.074522296491,12.959079889473685,77.55549174210527
MekhriCircle,160070.47657859483,64,1636.104239548177,13.0146016609375,77.58398061015625
SantheCircle,156875.84232703,25,4191.635255877333,13.097470472,77.598195376
Delmia-Jayanagar,153790.40458746397,3,34624.12368644444,12.906240366666665,77.59390086666666
HulimaveRd-BanneraghattaRdJunc,152515.5017744725,9,11475.982256403704,12.881814533333333,77.59606995555555
MeenakshiMallJunc,152405.847736468,8,12906.018415979166,12.876471425,77.59513195
PoliceTimmaiahCircle(GPO),139669.69741229,14,4725.70759235119,12.982200871428573,77.59418355
28thMainJayanagarJunc,130987.33797797398,6,44475.084297522226,12.9168331,77.59537391666667
SarjapurRd-St JohnsRdJunc,130777.45024613,10,6205.4823059166665,12.92788846,77.61594824
SirsiCircle,111691.99872343549,9,8410.551872357408,12.961263,77.56049068888889
Jaipuria-Adugodi,109702.62525383498,4,13045.328503283334,12.93506315,77.62434095
BloodBankCircle,104601.89732589999,15,8033.029709422222,12.962145634,77.594476038
WilsonGarden10thCrossJunc,99134.650412985,6,33677.40243619167,12.946020894999998,77.59561568333334
SubbannaJunction,96536.41538839048,9,20472.339167094444,12.982947461111111,77.57678229777778
MintoJunction,96414.73430911849,5,39307.00627262,12.960096060000001,77.57199944
MysoreRd-RingRdJunc(Nayandanahallii),92911.40592538334,19,1681.0094920973686,12.944786855789474,77.52730521105264
KoramangalaWaterTankJunc,91146.02084658,29,1213.6110538413793,12.92733995862069,77.6209728
Richmond circle jn,89651.96581529,11,3862.9409811469695,12.965108050909093,77.59626807090909
BhadrappaLayout,88166.58165331649,2,29961.392405925002,13.0466962,77.57735149999999
Bommanahalli,87707.29670763,26,1125.1110999865384,12.906963534615384,77.62816493076923
AshirwadamCircle,85186.96572601999,5,8093.475177213334,12.971060399999999,77.60420058
ModiBridgeJunction,83410.60354319899,3,18874.364769322223,12.998804033333334,77.5498981
NGV RearGateJunc,81191.14303319131,2,82805.94126136666,12.9424581,77.62256595
IbblurJunction',80707.080711245,13,2580.9702935628206,12.921296843076922,77.66464258384616
Deverabeesanahalli-ORR Junc,79950.6562575295,15,3576.397871475556,12.930817606666666,77.68505383333333
Srigandakaval,78129.76616881,14,2630.1242122916665,12.988480971428572,77.5101611
NavarangBarJunc-Dr RajkumarRd,76280.80272523583,2,77807.85058519167,12.987796445,77.55978970999999
UrvashiJunction,75313.74608222683,6,23675.657657705557,12.955620883333333,77.58573625
RingRoad-UllalJunction,74528.0034455385,7,21633.889785342857,12.95178307142857,77.49974574285714
29thMainRdBTM LayoutJunc,71963.76843958333,5,14392.753687916667,12.916209779999999,77.61614313999999
5thMainHSR,64952.388312605006,3,10301.599004172223,12.916451233333333,77.63131656666667
UttarahalliJunction,64941.57144291666,15,4329.438096194444,12.905854761999999,77.54496494333333
HainsJunc,63690.84577142082,6,21612.927765438886,12.9941844,77.60665671666666
BilekahalliJunc,58718.87716401999,14,1407.2101332309524,12.900502092857142,77.60094976428572
Kadubeesanahalli-ORR Junc,58709.61991428333,12,1633.9937069597224,12.939466620833334,77.69618835916667
Bamboobazar(Shivajinagar),57956.468468083825,2,59109.55032279167,12.9930158,77.60516129999999
Devasandra(k r puram),56865.31170211182,30,3386.450080181111,13.00946257,77.69615677333333
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),56641.22276574267,7,14616.387379402382,12.994135485714285,77.59563775714285
IndianExpressJunction,55062.28669264667,16,1152.9575595104168,12.98415381875,77.59736211250001
RajeshwariJunc,53611.18447885999,22,1141.7681185863637,12.936724756818181,77.51907055181817
BEL Circle,51149.69418855949,25,1081.7818895546666,13.044356544,77.555854144
TataInstituteCircle,50083.894479835,12,1973.3339531722222,13.014359833333332,77.5655854
K R Circle,49842.16628618,31,1677.704760914516,12.976696022580645,77.58604781483871
BucheryJunction,49547.846078326664,11,6375.356795478788,12.952048127272729,77.62148546363636
PoliceCornerJunc,45500.54285548333,26,820.5208849147436,12.968714985,77.58703580538462
SubedarChatramRd near SheshadripuramPS,44355.122491484326,8,10115.637600091666,12.9875192825,77.57405029
BinnyMillJunction,43847.42580237166,7,8931.768480930952,12.970068857142858,77.56797037142857
MaratahalliBridgeJunc,42598.32102288,16,894.7724416500001,12.95636516875,77.70061835
PotteryCircle,41207.83659311617,5,16771.00063489333,13.0021017,77.61223598
MICO Bande,40454.49732272516,6,13722.324362044443,12.945653433333334,77.60280531666666
JP Nagar 15th cross junction,39897.81708285,7,1899.896051564286,12.906214328571428,77.58573547142858
ShantalaJunction,38689.31924445,15,2756.8277183600003,12.974563449333335,77.57028000666668
SatteliteBusStandJunc,38131.520829005,43,395.98158902868215,12.954126423255815,77.543464
Sumanhalli,37250.513533985,16,1083.6114567697916,12.98678775875,77.520432123125
SRS Peenya Junc,36222.033270565,20,844.5857661866667,13.03450852,77.529849455
BagalurCrossJunc,35657.60415819,27,456.79837859259254,13.122025955555555,77.61086333333333
Chokasandra (Tumkur road),35027.09637520001,14,833.9784851238097,13.042173135714284,77.51471048571429
CID-CarltonHouseJunc,33525.99377916333,9,5301.636261737037,12.9803552,77.5863631888889
BagalakunteCrossJunction,33055.119944210324,2,33700.01101271667,13.0599505,77.5068564
