junction,future_risk_score,percentile_rank
TownhallJunction,0.8958601,100.0
MekhriCircle,0.88699585,99.65986394557824
JalahalliCross(SM Circle),0.8444339,99.31972789115646
SatteliteBusStandJunc,0.7896759,98.9795918367347
YeshwanthpuraCircle,0.7775971,98.63945578231292
toll gate mysore road,0.7421483,98.29931972789116
BagalurCrossJunc,0.72579074,97.95918367346938
YelhankaCircle,0.70829964,97.61904761904762
KIMCO Junction,0.6867676,97.27891156462584
Devasandra(k r puram),0.6071756,96.93877551020408
SilkBoardJunc,0.59340113,96.5986394557823
BEL Circle,0.5902119,96.25850340136054
HesaraghattaJunction,0.5846089,95.91836734693877
LeprosyhospitalJunc,0.58458394,95.578231292517
CMP GateJunc,0.57984227,95.23809523809523
GoruguntepalyaJunc,0.5755787,94.89795918367348
GokuldasImagesJunc,0.57318634,94.5578231292517
RajeshwariJunc,0.5702256,94.21768707482994
KhodaysCircle(DV UrsCircle),0.5610152,93.87755102040816
YelhankaBypass,0.52510816,93.5374149659864
AyyappaTempleJunc,0.50902987,93.19727891156462
BangaloreBodyBuildersJunc,0.5027912,92.85714285714286
PoliceCornerJunc,0.50177807,92.51700680272108
K R Circle,0.49665117,92.17687074829932
HebbalFlyoverJunc,0.485852,91.83673469387756
SantheCircle,0.4839353,91.49659863945578
TumkurRdMarappanapalyaJunc,0.47511464,91.15646258503402
SRS Peenya Junc,0.44268832,90.81632653061224
HudsonCircle,0.4284025,90.47619047619048
Bommanahalli,0.42007935,90.1360544217687
Nagavara-ORR Junction,0.41339108,89.79591836734694
MysoreRd-RingRdJunc(Nayandanahallii),0.4108366,89.45578231292517
IndianExpressJunction,0.40815777,89.1156462585034
MaratahalliBridgeJunc,0.4081003,88.77551020408163
"VeerannapalyaJunction(BEL,HO)",0.39541405,88.43537414965986
Marigowda-TavarkereRdJunc,0.38523224,88.09523809523809
Sumanhalli,0.38042465,87.75510204081633
Kadubeesanahalli-ORR Junc,0.37728485,87.41496598639455
KodigehalliCross,0.36314937,87.07482993197279
HennurRoad-ORR Junc,0.34315214,86.73469387755102
KoramangalaWaterTankJunc,0.31637737,86.39455782312925
BigBazaarJunction(OldMadrasRd),0.3095173,86.05442176870748
PoliceTimmaiahCircle(GPO),0.3033919,85.71428571428571
Srigandakaval,0.29581085,85.37414965986395
Shivajinagar(BRV)Junction,0.29128748,85.03401360544217
UttarahalliJunction,0.28415126,84.6938775510204
ShivandaCircle,0.27955592,83.84353741496598
HopefarmJunction,0.27955592,83.84353741496598
StateBankofMysoreJunc,0.27955592,83.84353741496598
SadashivnagarJunc,0.27955592,83.84353741496598
TataInstituteCircle,0.27566394,82.99319727891157
Batrayanapura(Amrutahalli)Junction,0.27419078,82.6530612244898
NaganathapuraJunction,0.26996723,82.31292517006803
KatriguppeJunction,0.25896314,81.80272108843538
PeenyaPoliceStation,0.25896314,81.80272108843538
N R SquareJunc,0.25412115,81.29251700680273
KrishnaFlourMill,0.22790937,80.95238095238095
KadirenahalliJunction,0.22253565,80.61224489795919
KogilluCrossJunc,0.2199668,80.27210884353741
BloodBankCircle,0.21865176,79.93197278911565
ArakereGateJunc,0.21659361,79.59183673469387
DomlurWaterTank,0.21579656,79.25170068027211
BilekahalliJunc,0.21417086,78.91156462585033
UlsoorGateJunc,0.2128458,78.4013605442177
SiddalingaiahCircle,0.2128458,78.4013605442177
MotherTeressaCircle,0.21279554,77.89115646258503
ShantalaJunction,0.20985156,77.55102040816327
Krupanidhi College,0.19982167,77.21088435374149
TrinityCircle,0.19948138,76.87074829931973
HoramavuJunction,0.19640374,76.53061224489795
SirsiCircle,0.19466063,76.19047619047619
UniversityJunc(Janabharti),0.19302398,75.85034013605441
ISRO Junction-Airport rd,0.19204302,75.51020408163265
FTI Junction(KanteeravaStudio),0.19054495,74.65986394557824
Arbindo Circle,0.19054495,74.65986394557824
VeerasandraGateJunction,0.19054495,74.65986394557824
Nagarbhavi,0.19054495,74.65986394557824
LRDE Junction,0.18996388,73.80952380952381
JakkurCrossJunction,0.18500724,73.29931972789116
Chokasandra (Tumkur road),0.18500724,73.29931972789116
KanakapuraRd-RingRdJunction,0.18436511,72.78911564625851
MS RamaiahJunc(TollGate),0.18329504,72.44897959183673
WilsonGarden12thCrossJunc,0.18309802,71.5986394557823
AnandRaoJunction,0.18309802,71.5986394557823
Ring road-Near Kengunte Junction,0.18309802,71.5986394557823
SandeepUnnikrishnan-Yelhanka,0.18309802,71.5986394557823
Dr TCM RoyanRd near AmbedkarStatue,0.17793958,70.74829931972789
KundanahalliGateJunc,0.17714986,70.40816326530613
MillCornerRd-SampigeRdJunc,0.17373441,70.06802721088435
SubbannaJunction,0.17091063,69.72789115646259
HulimaveRd-BanneraghattaRdJunc,0.16529083,69.38775510204081
BasaweshwaraCircle,0.16092312,69.04761904761905
MinskSquare(CTO Junction),0.14880607,68.70748299319727
BucheryJunction,0.14414486,68.19727891156462
BanashankariBusStandJunc,0.14414486,68.19727891156462
SagarHospitalJunc,0.14394654,67.68707482993197
MeenakshiMallJunc,0.14168225,67.3469387755102
Deverabeesanahalli-ORR Junc,0.14061536,67.00680272108843
Ashoknagar Junction(ShoolayCircle),0.14007038,66.66666666666666
HunsemarammanahalliJunction,0.13715571,66.3265306122449
SindhiColonyJunction,0.1317845,65.98639455782312
AgaraJunction,0.13123733,65.64625850340136
LalbaghMainGateJunc,0.12693149,65.3061224489796
JayadevaHospitalJunc,0.12411613,64.96598639455783
OldMadrasRd-Indranagar100ftRdJunc,0.11953861,64.62585034013605
IbblurJunction',0.11791581,64.28571428571429
ShivajiTalkiesJunc,0.11700517,63.94557823129252
HSR14thMainJunc,0.116749026,63.60544217687075
RamamurthyNagarJunction,0.11335768,63.26530612244898
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),0.11010038,62.925170068027214
SadahalliGateJunc(AirportRd),0.10968426,62.585034013605444
ItmaduJunction,0.10911762,62.244897959183675
AshirwadamCircle,0.10892001,61.904761904761905
DhobiGhatJunc,0.10783154,61.564625850340136
SarjapurRd-St JohnsRdJunc,0.10749149,61.224489795918366
UrvashiJunction,0.10720672,60.8843537414966
CID-CarltonHouseJunc,0.10514627,60.37414965986394
BMTCJunction-K H Road,0.10514627,60.37414965986394
JP Nagar 15th cross junction,0.10286036,59.863945578231295
Rajajinagar19thMainJunc,0.10260601,59.523809523809526
K R MarketJunction,0.10244911,59.183673469387756
ElectronicCityGate-2Junc,0.10172839,58.843537414965986
BDA Junctio-Koramangala,0.101672664,58.50340136054422
JaiMuniRaoCircle,0.10107931,57.993197278911566
PrasannaJunction,0.10107931,57.993197278911566
QueensStatueCircle,0.09964855,57.48299319727891
Shivashankara circle,0.099638306,56.80272108843537
JP Nagar 9th cross-24th main jn,0.099638306,56.80272108843537
SiddapuraJunction,0.099638306,56.80272108843537
MintoJunction,0.09953011,56.12244897959183
BigBazaar(Whitefield)Junc,0.099204175,55.78231292517006
MC Circle,0.09458838,55.44217687074829
ASC Junction,0.0927941,55.10204081632652
Kudlu Gate Junc,0.09274967,54.59183673469388
AnepalyaJunc,0.09274967,54.59183673469388
RingRoad-UllalJunction,0.09100843,53.91156462585034
PurnimaTheaterJunc,0.09100843,53.91156462585034
DairyCircle,0.09040087,53.40136054421769
GangammagudiJunc,0.089226685,52.89115646258503
PotteryCircle,0.089226685,52.89115646258503
KarnatakaBhavanJunction,0.08628069,52.38095238095239
BiryandCircle,0.086036,52.04081632653062
29thMainRdBTM LayoutJunc,0.078993164,51.53061224489795
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.078993164,51.53061224489795
GopalGowdaJUnc,0.078678906,51.02040816326531
OldMadrasRd-80FeetRdJunc,0.078431316,50.51020408163265
AnilKumbleCircle,0.078431316,50.51020408163265
TyagiHengalvarayaJunc(DickensonRd),0.07804291,50.0
BinnyMillJunction,0.0736176,49.65986394557823
BhashyamCircle,0.073087364,49.31972789115646
WilsonGarden10thCrossJunc,0.07297127,48.80952380952381
PlatformRdJunction,0.07297127,48.80952380952381
28thMainJayanagarJunc,0.07197758,48.29931972789115
OperaHouseJunc,0.07145994,47.95918367346938
Richmond circle jn,0.0704232,47.61904761904761
RajajinagarEntranceJunction,0.06903025,47.27891156462585
DevangaHostelJunction,0.06425087,46.93877551020408
PES-DevegowdaCircle,0.0642246,46.59863945578231
MargosaRd-18thCrossJunc,0.06298261,46.25850340136054
HainsJunc,0.06160749,45.91836734693878
EliteJunc,0.060300596,45.57823129251701
South end circle,0.059878767,45.23809523809524
NavarangTheatreJunction,0.055301894,44.89795918367347
CoffeeBoardJunc,0.054005206,44.5578231292517
VetenaryHospitalJunc-Shivajinagar,0.05397764,44.047619047619044
CIL CrossJunction-JayamahalRd,0.05397764,44.047619047619044
SubedarChatramRd near SheshadripuramPS,0.051187128,43.53741496598639
CommandoHospitalJunc,0.05060918,43.02721088435374
KonanakunteJunction(KanakapurarRd),0.05060918,43.02721088435374
"Bellandur Junction, Outer ring road",0.050500486,42.517006802721085
OldMadrasRd-NGEF Junc,0.05001677,42.00680272108844
RamaiahCircle-UlsoorPoliceStation,0.05001677,42.00680272108844
MysoreRd--MadhuPetrolBunkJunction,0.045528162,41.49659863945578
OldPoliceStation-Ashoknagar,0.045299027,41.156462585034014
