junction,hotspot_persistence_index,weighted_hotspot_persistence_index,significant_weeks,total_weeks,persistence_class
HebbalFlyoverJunc,0.35714285714285715,0.5388948675149178,5,14,chronic
KIMCO Junction,0.21428571428571427,0.38357323020173084,3,14,chronic
JalahalliCross(SM Circle),0.14285714285714285,0.37435710561527624,2,14,chronic
SatteliteBusStandJunc,0.14285714285714285,0.35898870352503,2,14,chronic
MekhriCircle,0.0,0.3561445030085027,0,14,chronic
GokuldasImagesJunc,0.14285714285714285,0.35005631755546013,2,14,chronic
HesaraghattaJunction,0.07142857142857142,0.33738929684054014,1,14,chronic
Chokasandra (Tumkur road),0.14285714285714285,0.3136818657645752,2,14,chronic
SRS Peenya Junc,0.07142857142857142,0.30653106188247364,1,14,chronic
SilkBoardJunc,0.14285714285714285,0.2882204733685989,2,14,chronic
YelhankaCircle,0.0,0.2856054315199149,0,14,chronic
GoruguntepalyaJunc,0.07142857142857142,0.2725919625810681,1,14,chronic
"VeerannapalyaJunction(BEL,HO)",0.07142857142857142,0.2724154911849593,1,14,chronic
BagalurCrossJunc,0.14285714285714285,0.2711869464474453,2,14,chronic
BEL Circle,0.07142857142857142,0.26645893191400355,1,14,chronic
toll gate mysore road,0.07142857142857142,0.25957760434133476,1,14,chronic
Bommanahalli,0.14285714285714285,0.2546728217666904,2,14,chronic
MysoreRd-RingRdJunc(Nayandanahallii),0.14285714285714285,0.25333437273469367,2,14,chronic
KoramangalaWaterTankJunc,0.07142857142857142,0.25116570593112286,1,14,chronic
SantheCircle,0.14285714285714285,0.24544160488448657,2,14,chronic
Batrayanapura(Amrutahalli)Junction,0.0,0.24304315951907354,0,14,chronic
RajeshwariJunc,0.0,0.24119350830356387,0,14,chronic
KodigehalliCross,0.07142857142857142,0.23827869193622983,1,14,chronic
JakkurCrossJunction,0.07142857142857142,0.2040871072648712,1,14,chronic
MS RamaiahJunc(TollGate),0.14285714285714285,0.2033730507946097,2,14,chronic
29thMainRdBTM LayoutJunc,0.07142857142857142,0.19497360695335403,1,14,chronic
FTI Junction(KanteeravaStudio),0.14285714285714285,0.1943145993762048,2,14,chronic
YelhankaBypass,0.07142857142857142,0.19285699241436835,1,14,chronic
BangaloreBodyBuildersJunc,0.21428571428571427,0.19087430424215704,3,14,chronic
HudsonCircle,0.14285714285714285,0.18341797768032048,2,14,chronic
SarjapurRd-St JohnsRdJunc,0.07142857142857142,0.16559722520874628,1,14,chronic
AyyappaTempleJunc,0.07142857142857142,0.16386037994695574,1,14,chronic
SandeepUnnikrishnan-Yelhanka,0.14285714285714285,0.16311123203182407,2,14,chronic
GangammagudiJunc,0.07142857142857142,0.15811968084563993,1,14,chronic
BTM16thMain-ORR Junc,0.14285714285714285,0.1577862380582298,2,14,chronic
YeshwanthpuraCircle,0.0,0.15680104607174197,0,14,chronic
SadashivnagarJunc,0.07142857142857142,0.14309881372981678,1,14,chronic
WiproJunc-Koramangala,0.07142857142857142,0.14131141043832063,1,14,chronic
17th Mn 1st Crs Aishwarya Stores Jn,0.07142857142857142,0.14131141043832063,1,14,chronic
PeenyaPoliceStation,0.0,0.1403537605135483,0,14,chronic
UniversityJunc(Janabharti),0.07142857142857142,0.13916722742518076,1,14,chronic
KogilluCrossJunc,0.07142857142857142,0.13820074239369148,1,14,chronic
BDA Junctio-Koramangala,0.07142857142857142,0.13756301031220985,1,14,chronic
TataInstituteCircle,0.07142857142857142,0.13629418193073461,1,14,chronic
Nagavara-ORR Junction,0.07142857142857142,0.1304957893593544,1,14,chronic
"PriyadarshiniHotel,Jayamahal,RT Nagar",0.07142857142857142,0.13044897002175165,1,14,chronic
MargosaRd-18thCrossJunc,0.07142857142857142,0.12065823813585964,1,14,chronic
PoliceCornerJunc,0.0,0.12051517412946824,0,14,chronic
ItmaduJunction,0.14285714285714285,0.12027547375841971,2,14,chronic
Nagarbhavi,0.07142857142857142,0.12016382080993049,1,14,chronic
UlsoorGateJunc,0.07142857142857142,0.11689786234159753,1,14,chronic
Kammanahalli-RingRoadJunction,0.07142857142857142,0.112432592969112,1,14,chronic
KatriguppeJunction,0.0,0.11182097854787057,0,14,chronic
RingRoad-UllalJunction,0.0,0.10780379094478375,0,14,chronic
KuvempuCircle,0.07142857142857142,0.10334228042223557,1,14,chronic
KundanahalliGateJunc,0.07142857142857142,0.09931766275392635,1,14,chronic
RamamurthyNagarJunction,0.07142857142857142,0.09844684548252651,1,14,chronic
NaganathapuraJunction,0.07142857142857142,0.09410560801987722,1,14,chronic
SirsiCircle,0.07142857142857142,0.0937056062560105,1,14,chronic
PES-DevegowdaCircle,0.07142857142857142,0.09263561911408091,1,14,chronic
TumkurRdMarappanapalyaJunc,0.0,0.08567052363898152,0,14,chronic
HunsemarammanahalliJunction,0.0,0.08544530411499032,0,14,chronic
SiddalingaiahCircle,0.14285714285714285,0.08528292532449828,2,14,chronic
BagalakunteCrossJunction,0.07142857142857142,0.08504067595253964,1,14,chronic
VeerasandraGateJunction,0.14285714285714285,0.0842924498853715,2,14,chronic
TownhallJunction,0.07142857142857142,0.08262139246428883,1,14,chronic
Ring road-Near Kengunte Junction,0.0,0.08141419127895322,0,14,chronic
Deverabeesanahalli-ORR Junc,0.07142857142857142,0.0804103503054224,1,14,chronic
BloodBankCircle,0.0,0.07520652987518776,0,14,chronic
BhashyamCircle-SadashivNagar,0.07142857142857142,0.07460990605649329,1,14,chronic
Richmond circle jn,0.0,0.07352803567025261,0,14,chronic
LeprosyhospitalJunc,0.07142857142857142,0.07253595106783679,1,14,chronic
MaratahalliBridgeJunc,0.0,0.07226498543032485,0,14,chronic
PlatformRdJunction,0.0,0.07129848819068875,0,14,chronic
ShantalaJunction,0.07142857142857142,0.06959207314426498,1,14,recurring
Malleswaram18thCrossRd-SampigeRdJunc,0.0,0.067792129268797,0,14,recurring
StateBankofMysoreJunc,0.0,0.06762053908404904,0,14,recurring
KhodaysCircle(DV UrsCircle),0.07142857142857142,0.06543969075071461,1,14,recurring
CID-CarltonHouseJunc,0.0,0.06541052950518089,0,14,recurring
Kudlu Gate Junc,0.14285714285714285,0.06503494019414759,2,14,recurring
