junction,hotspot_probability,bootstrap_samples
SandeepUnnikrishnan-Yelhanka,1.0,200
KogilluCrossJunc,0.995,200
29thMainRdBTM LayoutJunc,0.9949748743718593,199
SantheCircle,0.99,200
South end circle,0.9897959183673469,196
DMRoadJunc(Basavangudi),0.967479674796748,123
SilkBoardJunc,0.965,200
HunsemarammanahalliJunction,0.96,200
HalliThindi,0.9578947368421052,190
YelhankaBypass,0.945,200
GoruguntepalyaJunc,0.925,200
DhobiGhatJunc,0.915,200
Batrayanapura(Amrutahalli)Junction,0.91,200
BagalakunteCrossJunction,0.9064327485380117,171
JakkurCrossJunction,0.885,200
toll gate mysore road,0.885,200
PES-DevegowdaCircle,0.883248730964467,197
Rajajinagar19thMainJunc,0.88,200
SRS Peenya Junc,0.875,200
MSRamaiahHospitalJunc,0.8676470588235294,136
BagalurCrossJunc,0.855,200
"Narayanapura cross, Hegde nagar",0.8359788359788359,189
PeenyaPoliceStation,0.825,200
Srinivagilu(Ejipura)Junc,0.8247422680412371,194
KodigehalliCross,0.775,200
SindhiColonyJunction,0.77,200
Krupanidhi College,0.7676767676767676,198
BangaloreBodyBuildersJunc,0.755,200
Geeta Circle,0.746031746031746,126
MayohallJunction,0.7336683417085427,199
NationalCollege,0.7322834645669292,127
ShankarMuttCircle,0.7319587628865979,194
NavarangTheatreJunction,0.7157360406091371,197
ModiBridgeJunction,0.7142857142857143,196
SarjapurRd-St JohnsRdJunc,0.71,200
VijayanagarBusStandJunction,0.7,200
ChandraLayoutJunc-nearWaterTank,0.6976744186046512,172
KamrajRdJunction,0.6954314720812182,197
KensingtonOvalJunc,0.6825396825396826,126
DickensonRd-AdigasJunc,0.674074074074074,135
ModiHospital,0.6640625,128
CMH Rd-AdarshTheaterJunc,0.66,200
Chokasandra (Tumkur road),0.655,200
WiproJunc-Koramangala,0.6484375,128
JayadevaHospitalJunc,0.645,200
OldMadrasRd-Indranagar100ftRdJunc,0.645,200
TamarikannanJunc,0.6285714285714286,140
ManipalCentreJunc,0.6162790697674418,172
LalbaghWestGate,0.6134453781512605,119
