junction,latitude,longitude,raw_count,weighted_intensity,mean_trust,z_score,p_sim,is_significant,hotspot_probability,bootstrap_samples
SilkBoardJunc,12.917013388484849,77.62287403454545,33,30.48,0.9236363636363637,1.4619543824357062,0.006,True,0.965,200
GoruguntepalyaJunc,13.02965172,77.540355135,20,19.7,0.985,1.3928153420233371,0.005,True,0.925,200
SantheCircle,13.097470472,77.598195376,25,22.87,0.9148000000000001,1.3640349759186665,0.006,True,0.99,200
SandeepUnnikrishnan-Yelhanka,13.1013404125,77.586018675,8,7.49,0.93625,1.3640349759186665,0.002,True,1.0,200
KogilluCrossJunc,13.104882479999999,77.60111568666666,15,14.7,0.98,1.3640349759186665,0.003,True,0.995,200
toll gate mysore road,12.957494487575758,77.55188395151515,33,32.7,0.990909090909091,1.298204023564306,0.016,True,0.885,200
AyyappaTempleJunc,12.923716187142857,77.61866231877552,49,47.8,0.9755102040816326,1.2518907907521923,0.05,False,0.21,200
29thMainRdBTM LayoutJunc,12.916209779999999,77.61614313999999,5,5.0,1.0,1.2434551662042717,0.005,True,0.9949748743718593,199
KoramangalaWaterTankJunc,12.92733995862069,77.6209728,29,28.7,0.9896551724137931,1.2303882183751402,0.014,True,0.545,200
SatteliteBusStandJunc,12.954126423255815,77.543464,43,42.4,0.9860465116279069,1.2073970063719837,0.034,True,0.535,200
BagalurCrossJunc,13.122025955555555,77.61086333333333,27,26.1,0.9666666666666667,1.2019386610762703,0.018,True,0.855,200
YelhankaBypass,13.082246415789474,77.59342907894738,19,18.4,0.9684210526315788,1.1589335163221652,0.009,True,0.945,200
YelhankaCircle,13.094322461764706,77.59592726470589,34,33.1,0.973529411764706,1.1589335163221652,0.025,True,0.515,200
PES-DevegowdaCircle,12.93772201,77.53334387999999,4,4.0,1.0,1.1066657250056373,0.004,True,0.883248730964467,197
SRS Peenya Junc,13.03450852,77.529849455,20,19.7,0.985,1.093433372773605,0.014,True,0.875,200
JakkurCrossJunction,13.073616027777778,77.59285452777777,18,16.8,0.9333333333333333,1.0927717551620035,0.013,True,0.885,200
Batrayanapura(Amrutahalli)Junction,13.067096859285714,77.59289248,14,13.7,0.9785714285714285,1.0466239267527906,0.012,True,0.91,200
BangaloreBodyBuildersJunc,12.959079889473685,77.55549174210527,19,18.49,0.973157894736842,1.0385191110106708,0.022,True,0.755,200
HunsemarammanahalliJunction,13.142240485714286,77.61770735714286,7,7.0,1.0,1.0084155096827976,0.01,True,0.96,200
SadashivnagarJunc,13.015022161538461,77.57265107692308,13,12.1,0.9307692307692308,0.9162852572672723,0.017,True,0.56,200
KodigehalliCross,13.055506881818182,77.59384458181817,11,10.7,0.9727272727272727,0.912480956000563,0.016,True,0.775,200
SarjapurRd-St JohnsRdJunc,12.92788846,77.61594824,10,9.7,0.97,0.8916400012351122,0.018,True,0.71,200
Chokasandra (Tumkur road),13.042173135714284,77.51471048571429,14,14.0,1.0,0.8833697810900922,0.031,True,0.655,200
JalahalliCross(SM Circle),13.0400894125,77.518302096875,32,32.0,1.0,0.8833697810900922,0.072,False,0.395,200
PoliceCornerJunc,12.968714985,77.58703580538462,26,25.7,0.9884615384615384,0.8784076490030801,0.045,True,0.145,200
BagalakunteCrossJunction,13.0599505,77.5068564,2,1.49,0.745,0.8749341565421715,0.013,True,0.9064327485380117,171
"VeerannapalyaJunction(BEL,HO)",13.041578026666667,77.61365983,30,24.99,0.833,0.8729493037073663,0.047,True,0.295,200
PeenyaPoliceStation,13.0371606,77.52245386666667,12,12.0,1.0,0.8502889005100114,0.023,True,0.825,200
UlsoorGateJunc,12.966829124999999,77.58747884166667,12,12.0,1.0,0.8122458878429183,0.026,True,0.44,200
ChandraLayoutJunc-nearWaterTank,12.960020400000001,77.52715265,2,2.0,1.0,0.8089377997849101,0.015,True,0.6976744186046512,172
MSRamaiahHospitalJunc,13.0278807,77.5742038,1,1.0,1.0,0.8005021752369895,0.012,True,0.8676470588235294,136
GokuldasImagesJunc,13.030656107142857,77.53642285714285,28,27.7,0.9892857142857142,0.7957054475528778,0.085,False,0.525,200
N R SquareJunc,12.96546108,77.58656263,10,9.7,0.97,0.7907433154658657,0.023,True,0.505,200
"Narayanapura cross, Hegde nagar",13.070610266666668,77.6345598,3,2.7,0.9,0.7525348983958721,0.018,True,0.8359788359788359,189
KIMCO Junction,12.951140019032259,77.53800328,31,30.4,0.9806451612903225,0.7361598625087319,0.111,False,0.58,200
BTM16thMain-ORR Junc,12.916279166666667,77.6097492,6,5.49,0.915,0.7191232090099905,0.034,True,0.495,200
GangammagudiJunc,13.056797616666666,77.54662863333333,6,6.0,1.0,0.7177999737867875,0.032,True,0.5778894472361809,199
RajeshwariJunc,12.936724756818181,77.51907055181817,22,21.4,0.9727272727272727,0.712837841699775,0.073,False,0.05,200
CIL CrossJunction-JayamahalRd,13.00907855,77.59168475,4,4.0,1.0,0.6597430283687458,0.037,True,0.3401015228426396,197
TownhallJunction,12.963981796666667,77.58437726000001,30,29.7,0.99,0.6584197931455422,0.163,False,0.0,200
MS RamaiahJunc(TollGate),13.017081354545455,77.56076145454546,11,11.0,1.0,0.6451874409135101,0.052,False,0.155,200
MysoreRd-RingRdJunc(Nayandanahallii),12.944786855789474,77.52730521105264,19,18.7,0.9842105263157894,0.6435333968845058,0.082,False,0.125,200
MekhriCircle,13.0146016609375,77.58398061015625,64,63.19,0.98734375,0.6334437283075811,0.235,False,0.01,200
DevangaHostelJunction,12.963187976,77.588957566,5,5.0,1.0,0.6268275521915649,0.048,True,0.43147208121827413,197
BhashyamCircle-SadashivNagar,13.0071179,77.57946305,4,4.0,1.0,0.6119411559305287,0.044,True,0.29081632653061223,196
FTI Junction(KanteeravaStudio),13.021223754545453,77.53143259090909,11,11.0,1.0,0.5972201640723926,0.069,False,0.255,200
