junction,gi_star_h1,gi_star_h2,gi_star_h3,gi_star_h5,sps,nhi
MekhriCircle,-0.1397621112747299,-0.1397621112747299,-0.1397621112747299,-0.1397621112747299,-0.1397621112747299,0.9982993197278911
AyyappaTempleJunc,-0.1495736464477889,-0.14984838874963774,-0.14984838874963774,-0.14984838874963774,-0.14977970317417552,0.9948979591836734
YeshwanthpuraCircle,-0.1643013852801928,-0.16010683203117534,-0.16010683203117534,-0.16010683203117534,-0.16115547034342972,0.9906462585034013
YelhankaCircle,-0.16023173025577564,-0.16023173025577564,-0.16023173025577564,-0.16023173025577564,-0.16023173025577564,0.9889455782312926
HebbalFlyoverJunc,-0.1675437652338705,-0.1633290218592653,-0.1633290218592653,-0.1633290218592653,-0.16438270770291658,0.9770408163265306
BagalurCrossJunc,-0.16784444571939056,-0.16362669699101132,-0.16362669699101132,-0.16362669699101132,-0.16468113417310612,0.9736394557823129
KIMCO Junction,-0.17028385105689722,-0.16630088926226727,-0.16630088926226727,-0.16630088926226727,-0.16729662971092477,0.960034013605442
SantheCircle,-0.1707509616595773,-0.16651479554658843,-0.16651479554658843,-0.16651479554658843,-0.16757383707483564,0.9566326530612246
PoliceCornerJunc,-0.17096016901919403,-0.17121584224823827,-0.17121584224823827,-0.17121584224823827,-0.1711519239409772,0.9481292517006803
YelhankaBypass,-0.17547074017594344,-0.17120370048695632,-0.17120370048695632,-0.17120370048695632,-0.1722704604092031,0.9438775510204082
RajeshwariJunc,-0.1710951793200453,-0.17135076634855925,-0.17135076634855925,-0.17135076634855925,-0.17128686959143077,0.9421768707482994
MysoreRd-RingRdJunc(Nayandanahallii),-0.17148409564102626,-0.17173937944995799,-0.17173937944995799,-0.17173937944995799,-0.17167555849772506,0.9387755102040816
ArakereGateJunc,-0.17158162626901957,-0.17183633958910577,-0.17183633958910577,-0.17183633958910577,-0.17177266125908425,0.935374149659864
IndianExpressJunction,-0.1726830338112366,-0.1726830338112366,-0.1726830338112366,-0.1726830338112366,-0.1726830338112366,0.9217687074829932
JakkurCrossJunction,-0.17690212456126772,-0.172626165947373,-0.172626165947373,-0.172626165947373,-0.1736951556008467,0.9192176870748299
HesaraghattaJunction,-0.173181882689658,-0.173181882689658,-0.173181882689658,-0.173181882689658,-0.173181882689658,0.9158163265306122
KogilluCrossJunc,-0.17738985637723417,-0.17311036311601416,-0.17311036311601416,-0.17311036311601416,-0.17418023643131916,0.9124149659863946
Shivajinagar(BRV)Junction,-0.1734805928937519,-0.17373375003172095,-0.17373375003172095,-0.17373375003172095,-0.1736704607472287,0.9098639455782314
BigBazaarJunction(OldMadrasRd),-0.17441575161372141,-0.1746686214884628,-0.1746686214884628,-0.1746686214884628,-0.17460540401977742,0.8988095238095238
Batrayanapura(Amrutahalli)Junction,-0.1783763871898121,-0.1740910371469392,-0.1740910371469392,-0.1740910371469392,-0.1751623746576574,0.8954081632653061
PoliceTimmaiahCircle(GPO),-0.17848108025959208,-0.17419386929894862,-0.17419386929894862,-0.17419386929894862,-0.1752656720391095,0.8920068027210883
KodigehalliCross,-0.17673635849415287,-0.17673635849415287,-0.17673635849415287,-0.17673635849415287,-0.17673635849415287,0.8843537414965986
Dr TCM RoyanRd near AmbedkarStatue,-0.17698844322567797,-0.17723875533517022,-0.17723875533517022,-0.17723875533517022,-0.17717617730779714,0.8724489795918368
K R Circle,-0.17743282934244195,-0.1776828507781681,-0.1776828507781681,-0.1776828507781681,-0.17762034541923655,0.8630952380952381
CoffeeBoardJunc,-0.18082128224488866,-0.1765191021133761,-0.1765191021133761,-0.1765191021133761,-0.17759464714625423,0.8571428571428572
MotherTeressaCircle,-0.17760958447563133,-0.1778593311116975,-0.1778593311116975,-0.1778593311116975,-0.17779689445268096,0.854591836734694
Marigowda-TavarkereRdJunc,-0.17776121117525617,-0.17801063677577597,-0.17801063677577597,-0.17801063677577597,-0.17794828037564603,0.8486394557823129
BloodBankCircle,-0.17794694492070007,-0.17819645674979306,-0.17819645674979306,-0.17819645674979306,-0.1781340787925198,0.8375850340136054
Kadubeesanahalli-ORR Junc,-0.1780478762521564,-0.17829791541817608,-0.17829791541817608,-0.17829791541817608,-0.17823540562667117,0.8316326530612246
Devasandra(k r puram),-0.17805048796620127,-0.17830018346076554,-0.17830018346076554,-0.17830018346076554,-0.17823775958712446,0.8282312925170068
TataInstituteCircle,-0.17835537083648006,-0.17835537083648006,-0.17835537083648006,-0.17835537083648006,-0.17835537083648006,0.8248299319727891
SatteliteBusStandJunc,-0.19929219707689352,-0.1603250726999315,-0.1603250726999315,-0.1603250726999315,-0.170066853794172,0.8078231292517007
SilkBoardJunc,-0.19748356874805897,-0.16306155921875792,-0.16306155921875792,-0.16306155921875792,-0.1716670616010832,0.804421768707483
CMP GateJunc,-0.19816571833989222,-0.16370917044326838,-0.16370917044326838,-0.16370917044326838,-0.17232330741742433,0.7959183673469387
toll gate mysore road,-0.20353065423006128,-0.16430754776635606,-0.16430754776635606,-0.16430754776635606,-0.17411332438228236,0.7908163265306123
KoramangalaWaterTankJunc,-0.20382695624270566,-0.16460129382057584,-0.16460129382057584,-0.16460129382057584,-0.1744077094261083,0.7874149659863946
KhodaysCircle(DV UrsCircle),-0.17915714764415483,-0.17940572955384096,-0.17940572955384096,-0.17940572955384096,-0.17934358407641943,0.7865646258503401
TownhallJunction,-0.20562589477694465,-0.1662767099667743,-0.1662767099667743,-0.1662767099667743,-0.17611400616931688,0.7840136054421768
UttarahalliJunction,-0.17923265398044141,-0.17948147851946858,-0.17948147851946858,-0.17948147851946858,-0.1794192723847118,0.7831632653061225
DomlurWaterTank,-0.17927860769115242,-0.17952755213037355,-0.17952755213037355,-0.17952755213037355,-0.17946531602056826,0.7797619047619049
Bommanahalli,-0.20152456800528398,-0.16688222174289724,-0.16688222174289724,-0.16688222174289724,-0.17554280830849392,0.7789115646258504
HennurRd-DavisRdJunction,0.9045994367991765,-0.17990566804123934,-0.17990566804123934,-0.17990566804123934,0.09122060816886465,0.778061224489796
Nagavara-ORR Junction,-0.21994413298531731,-0.1611445641164162,-0.1611445641164162,-0.1611445641164162,-0.17584445633364149,0.7763605442176871
KanakapuraRd-RingRdJunction,-0.17951170275846398,-0.1797604538600045,-0.1797604538600045,-0.1797604538600045,-0.17969826608461936,0.7661564625850341
LRDE Junction,-0.18198517709558223,-0.17767719301461188,-0.17767719301461188,-0.17767719301461188,-0.17875418903485446,0.7551020408163266
BilekahalliJunc,-0.21190637655136363,-0.17223428333617857,-0.17223428333617857,-0.17223428333617857,-0.18215230663997484,0.7534013605442177
BangaloreBodyBuildersJunc,-0.21218285702598366,-0.1724371985627502,-0.1724371985627502,-0.1724371985627502,-0.18237361317855855,0.75
QueensStatueCircle,-0.18250517894392676,-0.17819225605881633,-0.17819225605881633,-0.17819225605881633,-0.17927048678009394,0.7227891156462585
NaganathapuraJunction,-0.21112268878380352,-0.17596158831723532,-0.17596158831723532,-0.17596158831723532,-0.18475186343387737,0.721938775510204
AgaraJunction,-0.1799808977876431,-0.18022927092915397,-0.18022927092915397,-0.18022927092915397,-0.18016717764377627,0.7193877551020408
HudsonCircle,-0.2150073396821578,-0.17508036059024823,-0.17508036059024823,-0.17508036059024823,-0.18506210536322562,0.717687074829932
LeprosyhospitalJunc,-0.23212005746352302,-0.1713131731660973,-0.1713131731660973,-0.1713131731660973,-0.18651489424045373,0.717687074829932
MinskSquare(CTO Junction),-0.18253280530866806,-0.1782193063654129,-0.1782193063654129,-0.1782193063654129,-0.17929768110122668,0.7168367346938775
ShantalaJunction,-0.17998202729695606,-0.1802299856651607,-0.1802299856651607,-0.1802299856651607,-0.18016799607310954,0.7159863945578231
SarjapurRd-St JohnsRdJunc,-0.21187488375046717,-0.17667062846377293,-0.17667062846377293,-0.17667062846377293,-0.1854716922854465,0.7159863945578231
HennurRoad-ORR Junc,-0.23306709144682666,-0.17219085603380269,-0.17219085603380269,-0.17219085603380269,-0.1874099148870587,0.7057823129251701
GoruguntepalyaJunc,-0.18287854294647699,-0.17854220087017486,-0.17854220087017486,-0.17854220087017486,-0.17962628638925038,0.7023809523809524
KrishnaFlourMill,-0.18002168876735225,-0.18026938783889263,-0.18026938783889263,-0.18026938783889263,-0.18020746307100755,0.6998299319727891
Richmond circle jn,-0.21704481618280777,-0.1770054250952265,-0.1770054250952265,-0.1770054250952265,-0.18701527286712177,0.695578231292517
HulimaveRd-BanneraghattaRdJunc,-0.21717517247104048,-0.1771869890336884,-0.1771869890336884,-0.1771869890336884,-0.18718403489302643,0.6913265306122449
Sumanhalli,-0.2349295684847462,-0.17366813075070006,-0.17366813075070006,-0.17366813075070006,-0.1889834901842116,0.6870748299319729
HunsemarammanahalliJunction,-0.18343229190927043,-0.1791140972353062,-0.1791140972353062,-0.1791140972353062,-0.18019364590379727,0.6853741496598639
UniversityJunc(Janabharti),-0.2175776665251682,-0.17748746469956445,-0.17748746469956445,-0.17748746469956445,-0.18751001515596538,0.6853741496598639
GokuldasImagesJunc,-0.18349636111297077,-0.17915300006491588,-0.17915300006491588,-0.17915300006491588,-0.1802388403269296,0.6819727891156462
JalahalliCross(SM Circle),-0.18354552787491163,-0.1792014452577247,-0.1792014452577247,-0.1792014452577247,-0.18028746591202144,0.6785714285714286
SiddalingaiahCircle,-0.21786460679089945,-0.17776812525091934,-0.17776812525091934,-0.17776812525091934,-0.18779224563591437,0.6760204081632654
Srigandakaval,-0.23580776396350578,-0.1744009672312334,-0.1744009672312334,-0.1744009672312334,-0.18975266641430152,0.6760204081632653
MaratahalliBridgeJunc,-0.21363355267626746,-0.17818186925931415,-0.17818186925931415,-0.17818186925931415,-0.18704479011355246,0.6751700680272109
MeenakshiMallJunc,-0.217952545887125,-0.17791362716268538,-0.17791362716268538,-0.17791362716268538,-0.1879233568437953,0.6675170068027212
OperaHouseJunc,-0.19200572762979173,-0.17908630273039186,-0.17908630273039186,-0.17908630273039186,-0.1823161589552418,0.6666666666666666
UlsoorGateJunc,-0.21816731178403964,-0.17805340857626545,-0.17805340857626545,-0.17805340857626545,-0.188081884378209,0.6615646258503401
SadahalliGateJunc(AirportRd),-0.1838842696136839,-0.17956286614417877,-0.17956286614417877,-0.17956286614417877,-0.18064321701155506,0.6598639455782314
SRS Peenya Junc,-0.18402544659391737,-0.17967835733373663,-0.17967835733373663,-0.17967835733373663,-0.1807651296487818,0.6564625850340137
"VeerannapalyaJunction(BEL,HO)",-0.23908307936514103,-0.17689626194014021,-0.17689626194014021,-0.17689626194014021,-0.1924429662963904,0.6556122448979591
IbblurJunction',-0.2141318728637717,-0.17865556429811225,-0.17865556429811225,-0.17865556429811225,-0.1875246414395271,0.6513605442176871
Deverabeesanahalli-ORR Junc,-0.21424103404285702,-0.17875796841145977,-0.17875796841145977,-0.17875796841145977,-0.18762873481930908,0.6454081632653061
Chokasandra (Tumkur road),-0.18411333651970035,-0.17976577907200417,-0.17976577907200417,-0.17976577907200417,-0.18085266843392822,0.6454081632653061
BEL Circle,-0.2324585972241814,-0.17779590234003886,-0.17779590234003886,-0.17779590234003886,-0.1914615760610745,0.6403061224489797
N R SquareJunc,-0.2185384759583386,-0.17839465694022263,-0.17839465694022263,-0.17839465694022263,-0.18843061169475162,0.6394557823129252
TrinityCircle,-0.1927109964005303,-0.17972514049849914,-0.17972514049849914,-0.17972514049849914,-0.18297160447400695,0.6326530612244898
SindhiColonyJunction,-0.18025761700772772,-0.18050513771410057,-0.18050513771410057,-0.18050513771410057,-0.18044325753750737,0.6326530612244898
JayadevaHospitalJunc,-0.21881814960012144,-0.17872869429114605,-0.17872869429114605,-0.17872869429114605,-0.18875105811838988,0.6309523809523809
PeenyaPoliceStation,-0.18430624468102533,-0.1799575391091367,-0.1799575391091367,-0.1799575391091367,-0.18104471550210885,0.6267006802721089
AnepalyaJunc,-0.21469683647652069,-0.17934389670661505,-0.17934389670661505,-0.17934389670661505,-0.18818213164909142,0.6267006802721088
SirsiCircle,-0.21894826355967592,-0.17879444473644618,-0.17879444473644618,-0.17879444473644618,-0.18883289944225362,0.625
MahalaxmiLayoutEntranceJunc,-0.1802986253885744,-0.180546183523368,-0.180546183523368,-0.180546183523368,-0.1804842939896696,0.6215986394557823
KatriguppeJunction,-0.2196797575052501,-0.17931380186295356,-0.17931380186295356,-0.17931380186295356,-0.1894052907735277,0.6113945578231292
BanashankariBusStandJunc,-0.18032271407894848,-0.18057032492950073,-0.18057032492950073,-0.18057032492950073,-0.18050842221686267,0.6105442176870748
TumkurRdMarappanapalyaJunc,-0.18441231155266913,-0.18006241449897575,-0.18006241449897575,-0.18006241449897575,-0.1811498887623991,0.6096938775510203
Kudlu Gate Junc,-0.21508413884087227,-0.17970533528346888,-0.17970533528346888,-0.17970533528346888,-0.18855003617281973,0.6071428571428572
OldMadrasRd-Indranagar100ftRdJunc,-0.19299748902805813,-0.18000262471948747,-0.18000262471948747,-0.18000262471948747,-0.18325134079663014,0.6011904761904762
MS RamaiahJunc(TollGate),-0.18444440253630093,-0.1800943986409297,-0.1800943986409297,-0.1800943986409297,-0.1811818996147725,0.6003401360544218
ISRO Junction-Airport rd,-0.2153850797441552,-0.17982167883224578,-0.17982167883224578,-0.17982167883224578,-0.18871252906022312,0.5909863945578232
RamaiahCircle-UlsoorPoliceStation,-0.19319515669345116,-0.18019432555361392,-0.18019432555361392,-0.18019432555361392,-0.18344453333857322,0.5875850340136054
DhobiGhatJunc,-0.18436615020512662,-0.18026084258458128,-0.18026084258458128,-0.18026084258458128,-0.18128716948971763,0.5850340136054422
