junction,severity_raw,persistence_norm,hawkes_norm,duration_risk_norm,severity_norm,frailty_norm,obi_entropy,obi_equal,obi_pca,operational_burden_index,entropy_weight_hawkes,pca_weight_hawkes,entropy_weight_severity,pca_weight_severity,entropy_weight_persistence,pca_weight_persistence,entropy_weight_duration_risk,pca_weight_duration_risk,entropy_weight_frailty,pca_weight_frailty
JalahalliCross(SM Circle),367.80090252785175,0.6946755817913096,0.0,0.9425381,0.49233877471488247,1.0,0.21963482215498834,0.6259104878211664,0.8146152690934827,0.5533868596898791,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
SatteliteBusStandJunc,484.48576149006175,0.6661572138931021,0.0,0.88135326,0.6485332812927532,0.8530678749162918,0.22049198075535975,0.6098223258377512,0.7808312966989924,0.5370485344307011,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
MekhriCircle,747.0484175065194,0.6608793745816179,0.0,0.9900954,0.9999999999999999,0.2939435972903264,0.24846765841066185,0.5889836697680656,0.7245512032526827,0.5206675104771367,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
YeshwanthpuraCircle,411.5617578656687,0.2909677852283523,0.0,0.86785686,0.5509171135645663,1.0,0.17064502079674942,0.5419483517907493,0.7227553767650333,0.4784495831175106,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
toll gate mysore road,399.1137379304063,0.4816850558224125,0.0,0.8282475,0.534254177610815,0.8530678749162918,0.18554423556316277,0.5394509191789065,0.7036304021205094,0.4762085189541929,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
GokuldasImagesJunc,320.67049248867295,0.649581836193253,0.0,0.63945496,0.4292499454841218,1.0,0.18171022497686334,0.5436573485000868,0.7015410157416069,0.4756361964061857,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
HesaraghattaJunction,326.56704565462746,0.6260762853363054,0.0,0.65221816,0.4371430793530562,1.0,0.1807756258809234,0.543087505540564,0.702253627103959,0.47537225284181545,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
KIMCO Junction,378.2872755298367,0.7117774789182097,0.0,0.7663669,0.5063758474885403,0.6160025905095878,0.20073165376413682,0.5201045631859715,0.65744984014203,0.45942868569737944,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
YelhankaCircle,403.2306397661429,0.5299835807250637,0.0,0.79042614,0.5397650678546868,0.7189757650313102,0.18605688325181977,0.5158301097348464,0.6645430822526821,0.45547669174644945,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
BagalurCrossJunc,355.1821857474685,0.5032279258809943,0.0,0.8099701,0.4754473437384249,0.7189757650313102,0.17983328933063553,0.5015242231006476,0.6515014067697326,0.44428630640033856,0.7008966279867451,0.0,0.07668496770597802,0.20946572671998667,0.11545994061412446,0.20255965676020243,0.09198833308074497,0.29934076080173705,0.01497013061240744,0.2886338557180738
