junction,severity_hotspot_score,raw_count,mean_duration,latitude,longitude
MekhriCircle,747.0484175065194,64,1636.104239548177,13.0146016609375,77.58398061015625
AyyappaTempleJunc,629.4602540048987,49,8038.261316767687,12.923716187142857,77.61866231877552
SatteliteBusStandJunc,484.48576149006175,43,395.98158902868215,12.954126423255815,77.543464
Nagavara-ORR Junction,415.46815502120864,32,3860.2346508203123,13.039600234375,77.624189735625
YeshwanthpuraCircle,411.5617578656687,38,261.0174382969298,13.017761442894736,77.55697258157895
YelhankaCircle,403.2306397661429,34,4808.1650895897055,13.094322461764706,77.59592726470589
toll gate mysore road,399.1137379304063,33,152.6151680621212,12.957494487575758,77.55188395151515
SilkBoardJunc,386.54209836358547,33,10437.192764803536,12.917013388484849,77.62287403454545
KIMCO Junction,378.2872755298367,31,300.2902255209678,12.951140019032259,77.53800328
CMP GateJunc,370.7669257384987,20,13813.319692815834,12.957914185000002,77.60585476
KoramangalaWaterTankJunc,369.8443715960219,29,1213.6110538413793,12.92733995862069,77.6209728
JalahalliCross(SM Circle),367.80090252785175,32,49.92156242083333,13.0400894125,77.518302096875
TownhallJunction,356.52439340762373,30,336.8731402077778,12.963981796666667,77.58437726000001
BagalurCrossJunc,355.1821857474685,27,456.79837859259254,13.122025955555555,77.61086333333333
HebbalFlyoverJunc,348.7990965568259,28,7840.8391274154765,13.042259165,77.59092162321429
"VeerannapalyaJunction(BEL,HO)",334.16390396004886,30,3974.4735208177785,13.041578026666667,77.61365983
HesaraghattaJunction,326.56704565462746,30,49.721741405555555,13.045215853333334,77.50743217666667
GokuldasImagesJunc,320.67049248867295,28,51.684978688095235,13.030656107142857,77.53642285714285
Bommanahalli,317.0122527312272,26,1125.1110999865384,12.906963534615384,77.62816493076923
SantheCircle,302.0611834162734,25,4191.635255877333,13.097470472,77.598195376
BEL Circle,289.597784550514,25,1081.7818895546666,13.044356544,77.555854144
RajeshwariJunc,258.3542226440709,22,1141.7681185863637,12.936724756818181,77.51907055181817
MysoreRd-RingRdJunc(Nayandanahallii),257.0344436144693,19,1681.0094920973686,12.944786855789474,77.52730521105264
PoliceCornerJunc,255.9720368368549,26,820.5208849147436,12.968714985,77.58703580538462
LeprosyhospitalJunc,244.97567164308,21,5965.746410502381,12.97553827904762,77.5642398852381
