junction,hour,dow,gi_star,p_sim,is_significant,weighted_intensity
ArakereGateJunc,10,5,-0.2348355662380701,0.23499999940395355,False,4.56825603945027
AyyappaTempleJunc,10,5,0.6168682787199639,0.24500000476837158,False,296.50889784331736
BEL Circle,10,5,-0.17134443766061114,0.46000000834465027,False,9.73857100744116
BHEL Gate,10,5,0.5821165173157308,0.07500000298023224,False,3.470274839349371
BMTCJunction-K H Road,10,5,-0.2531061540934534,0.10000000149011612,False,4.481596262899413
BigBazaarJunction(OldMadrasRd),10,5,-0.19670324672447528,0.39500001072883606,False,8.529708020150224
BilekahalliJunc,10,5,0.5608824131339809,0.16500000655651093,False,12.185297171643178
Bommanahalli,10,5,0.6817287659062371,0.009999999776482582,True,12.185297171643178
CholurpalyaJunction(MagadiRd),10,5,-0.14775714493270375,0.33500000834465027,False,7.495368422478263
Delmia-Jayanagar,10,5,0.5608824131339809,0.17499999701976776,False,16.956162732430577
IbblurJunction',10,5,0.6506796297092552,0.029999999329447746,True,16.488319963242546
JP Nagar 9th cross-24th main jn,10,5,-0.2348355662380701,0.20999999344348907,False,4.061765723881059
JayadevaHospitalJunc,10,5,0.6271922447483186,0.03999999910593033,True,8.092741409385264
KIMCO Junction,10,5,-0.17751140661708825,0.45500001311302185,False,18.162015108277327
Kammanahalli-RingRoadJunction,10,5,-0.1960905273980937,0.39500001072883606,False,13.5768176753614
KanakapuraRd-RingRdJunction,10,5,-0.2348355662380701,0.11999999731779099,False,12.185297171643178
KonanakunteJunction(KanakapurarRd),10,5,-0.2348355662380701,0.2199999988079071,False,4.061765723881059
KoramangalaWaterTankJunc,10,5,0.6168682787199639,0.17000000178813934,False,36.555891514929534
KrishnaFlourMill,10,5,-0.20943354714991538,0.3799999952316284,False,5.523158014306784
MICO Bande,10,5,0.573804039182038,0.125,False,5.544794545477105
NIMHANS Junction,10,5,0.573804039182038,0.10999999940395355,False,4.061765723881059
PoliceTimmaiahCircle(GPO),10,5,-0.2531061540934534,0.014999999664723873,True,15.417064259734651
SantheCircle,10,5,-0.187031202835414,0.4300000071525574,False,11.973083296168525
Srigandakaval,10,5,-0.1632077296036707,0.44999998807907104,False,12.185297171643178
StateBankofMysoreJunc,10,5,-0.24376368121128353,0.07500000298023224,False,8.280380888613058
Sumanhalli,10,5,-0.1632077296036707,0.3799999952316284,False,27.0515953908252
TyagiHengalvarayaJunc(DickensonRd),10,5,-0.2531061540934534,0.019999999552965164,True,12.087608229855455
YelhankaBypass,10,5,-0.187031202835414,0.38999998569488525,False,12.936362218093937
YelhankaCircle,10,5,-0.187031202835414,0.4099999964237213,False,10.515581133723403
