junction,dis_score,risk_level,strategy,barricades,ods_driven_barricades,closure_type,barricade_window_start,barricade_window_end,teams_needed,severity_hotspot_score
JalahalliCross(SM Circle),100.0,Critical,emergency_closure,21,21,full_road,deploy_at_event_start,remove_after_360_min,3,367.80090252785175
SatteliteBusStandJunc,91.57,Critical,emergency_closure,20,20,full_road,deploy_at_event_start,remove_after_360_min,3,484.48576149006175
MekhriCircle,80.3,Critical,emergency_closure,17,17,full_road,deploy_at_event_start,remove_after_360_min,3,747.0484175065194
YeshwanthpuraCircle,77.14,High,full_barricading,17,17,full_road,deploy_at_event_start,remove_after_360_min,3,411.5617578656687
toll gate mysore road,78.72,High,full_barricading,17,17,full_road,deploy_at_event_start,remove_after_360_min,3,399.1137379304063
GokuldasImagesJunc,81.95,Critical,emergency_closure,18,18,full_road,deploy_at_event_start,remove_after_360_min,3,320.6704924886729
HesaraghattaJunction,72.59,High,full_barricading,16,16,full_road,deploy_at_event_start,remove_after_360_min,2,326.56704565462746
KIMCO Junction,84.21,Critical,emergency_closure,18,18,full_road,deploy_at_event_start,remove_after_360_min,3,378.2872755298367
YelhankaCircle,69.52,High,full_barricading,15,15,full_road,deploy_at_event_start,remove_after_360_min,2,403.2306397661429
BagalurCrossJunc,85.82,Critical,emergency_closure,19,19,full_road,deploy_at_event_start,remove_after_360_min,3,355.1821857474685
TownhallJunction,82.99,Critical,emergency_closure,18,18,full_road,deploy_at_event_start,remove_after_360_min,3,356.52439340762373
AyyappaTempleJunc,60.46,High,full_barricading,13,13,full_road,deploy_at_event_start,remove_after_360_min,2,629.4602540048987
GoruguntepalyaJunc,69.62,High,full_barricading,15,15,full_road,deploy_at_event_start,remove_after_360_min,2,225.5690176597376
SRS Peenya Junc,65.27,High,full_barricading,14,14,full_road,deploy_at_event_start,remove_after_360_min,2,227.06061298980217
HebbalFlyoverJunc,83.06,Critical,emergency_closure,18,18,full_road,deploy_at_event_start,remove_after_360_min,3,348.7990965568259
RajeshwariJunc,57.84,Moderate,partial_closure,13,13,partial_lane,deploy_at_event_start,remove_after_360_min,2,258.3542226440709
SilkBoardJunc,66.37,High,full_barricading,14,14,full_road,deploy_at_event_start,remove_after_360_min,2,386.5420983635855
Bommanahalli,59.14,Moderate,partial_closure,13,13,partial_lane,deploy_at_event_start,remove_after_360_min,2,317.0122527312272
SantheCircle,69.43,High,full_barricading,15,15,full_road,deploy_at_event_start,remove_after_360_min,2,302.0611834162734
BangaloreBodyBuildersJunc,71.39,High,full_barricading,15,15,full_road,deploy_at_event_start,remove_after_360_min,2,227.2017627825516
MysoreRd-RingRdJunc(Nayandanahallii),58.61,Moderate,partial_closure,13,13,partial_lane,deploy_at_event_start,remove_after_360_min,2,257.0344436144693
CMP GateJunc,64.49,High,full_barricading,14,14,full_road,deploy_at_event_start,remove_after_360_min,2,370.7669257384987
Chokasandra (Tumkur road),55.13,Moderate,partial_closure,12,12,partial_lane,deploy_at_event_start,remove_after_360_min,2,196.954513673018
PoliceCornerJunc,50.58,Moderate,partial_closure,11,11,partial_lane,deploy_at_event_start,remove_after_360_min,2,255.9720368368549
YelhankaBypass,63.32,High,full_barricading,14,14,full_road,deploy_at_event_start,remove_after_360_min,2,223.93475680235343
HudsonCircle,59.8,Moderate,partial_closure,13,13,partial_lane,deploy_at_event_start,remove_after_360_min,2,177.79824624521896
KoramangalaWaterTankJunc,41.19,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,369.8443715960219
TumkurRdMarappanapalyaJunc,49.13,Moderate,partial_closure,11,11,partial_lane,deploy_at_event_start,remove_after_360_min,2,140.05931130030672
BEL Circle,57.96,Moderate,partial_closure,13,13,partial_lane,deploy_at_event_start,remove_after_360_min,2,289.597784550514
TataInstituteCircle,45.48,Moderate,partial_closure,10,10,partial_lane,deploy_at_event_start,remove_after_360_min,2,143.1638148545095
PeenyaPoliceStation,42.45,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,145.47104208602204
MS RamaiahJunc(TollGate),51.05,Moderate,partial_closure,11,11,partial_lane,deploy_at_event_start,remove_after_360_min,2,125.94038590152658
Batrayanapura(Amrutahalli)Junction,42.3,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,171.48804674999832
"VeerannapalyaJunction(BEL,HO)",44.69,Moderate,partial_closure,10,10,partial_lane,deploy_at_event_start,remove_after_360_min,2,334.16390396004886
BigBazaarJunction(OldMadrasRd),52.2,Moderate,partial_closure,11,11,partial_lane,deploy_at_event_start,remove_after_360_min,2,220.1477022343534
LeprosyhospitalJunc,64.54,High,full_barricading,14,14,full_road,deploy_at_event_start,remove_after_360_min,2,244.97567164308
JakkurCrossJunction,42.29,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,197.39401517762036
Shivajinagar(BRV)Junction,38.5,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,180.6923068312198
UniversityJunc(Janabharti),37.4,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,127.5939699219376
IndianExpressJunction,59.33,Moderate,partial_closure,13,13,partial_lane,deploy_at_event_start,remove_after_360_min,2,202.5408097175664
KatriguppeJunction,30.9,Moderate,partial_closure,7,7,partial_lane,deploy_at_event_start,remove_after_360_min,1,160.48502359807222
KogilluCrossJunc,42.67,Moderate,partial_closure,9,9,partial_lane,deploy_at_event_start,remove_after_360_min,2,190.8352622586663
NaganathapuraJunction,37.0,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,145.32846384323
UlsoorGateJunc,37.79,Moderate,partial_closure,8,8,partial_lane,deploy_at_event_start,remove_after_360_min,1,111.75120787357734
SiddalingaiahCircle,43.1,Moderate,partial_closure,10,10,partial_lane,deploy_at_event_start,remove_after_360_min,2,118.08738955905422
