corridor,zone_hawkes,mu,alpha,beta,branching_ratio,current_intensity,current_fragility,fragility_practical,fragility_reliable,fragility_ci_lower,fragility_ci_upper,n_events,fit_level,converged,shrinkage_applied
Airport New South Road,AIRPORT,0.077803,0.22,0.860012,0.2558,0.297804,2.8276,2.8276,True,2.8276,1562368190.5324,63,corridor,True,True
Bannerghata Road,BANNERGHATA,0.091573,0.22,0.860012,0.2558,0.421574,3.6037,3.6037,True,2.4025,1310086346.7127,208,corridor,True,True
Bellary Road 1,BELLARY,0.965406,3.324567,4.628288,0.7183,3.292603,2.4106,2.4106,True,41434760.342,667465782.9033,607,corridor,True,True
Bellary Road 2,BELLARY,0.001053,3.308902,4.439621,0.7453,3.309955,3143.3812,100.0,False,1.3307,546351413.1555,379,corridor,True,True
CBD 1,CBD,0.029501,0.368615,2.666628,0.1382,0.398115,12.4951,12.4951,True,2.8366,273432677.0966,25,corridor,True,True
CBD 2,CBD,0.024645,0.406844,3.482975,0.1168,0.431489,16.5079,16.5079,True,1077.1138,2593433403.2003,98,corridor,True,True
Hennur Main Road,HENNUR,0.078016,0.22,0.860012,0.2558,0.232016,1.974,1.974,True,1.974,991880420.1765,94,corridor,True,True
Hosur Road,HOSUR,0.13134,0.22,0.860012,0.2558,0.35135,1.6751,1.6751,True,1.675,51446205.54,297,corridor,True,True
IRR(Thanisandra road),IRR,0.000265,5.613315,15.327299,0.3662,5.61358,21173.9515,100.0,False,82.0269,725792992.6464,95,corridor,True,True
Magadi Road,MAGADI,0.106851,0.22,0.860012,0.2558,0.442839,3.1445,3.1445,True,2.059,7.2798,243,corridor,True,True
Mysore Road,MYSORE,0.002021,3.098761,38.897893,0.0797,3.100783,1532.9062,100.0,False,145.7864,525236104.3896,728,corridor,True,True
Non-corridor,NON,0.31975,2.806697,1.48254,1.8932,1.255317,2.9259,2.9259,True,4812551.5568,30696371.4579,3084,corridor,True,True
ORR East 1,ORR,0.014936,2.090426,1.935496,1.08,23.99458,1605.4548,100.0,True,17.2482,36.9125,242,corridor,True,True
ORR East 2,ORR,0.014936,2.090426,1.935496,1.08,1.478235,97.9689,97.9689,True,1.8703,8.004,183,corridor,True,True
ORR North 1,ORR,0.014936,2.090426,1.935496,1.08,1.478234,97.9689,97.9689,True,1.2932,1557401715.1425,274,corridor,True,True
ORR North 2,ORR,0.014936,2.090426,1.935496,1.08,3.813593,254.3229,100.0,True,2.1333,60881467.9503,235,corridor,True,True
ORR West 1,ORR,0.014936,2.090426,1.935496,1.08,2.105362,139.9555,100.0,True,5.6096,606712092.9818,166,corridor,True,True
Old Airport Road,OLD,0.144319,0.22,0.860012,0.2558,0.577589,3.0022,3.0022,True,2.8254,420676935.2231,74,corridor,True,True
Old Madras Road,OLD,0.144319,0.22,0.860012,0.2558,0.364319,1.5244,1.5244,True,1.3669,203963026.7478,257,corridor,True,True
Tumkur Road,TUMKUR,0.001268,1.074768,21.644211,0.0497,1.076035,847.9116,100.0,False,789.9912,196761560.8141,458,corridor,True,True
Varthur Road,VARTHUR,0.077878,0.22,0.860012,0.2558,0.65101,7.3594,7.3594,True,2.8249,59155098.7704,75,corridor,True,True
West of Chord Road,WEST,0.078497,0.22,0.860012,0.2558,0.298498,2.8026,2.8026,True,2.8026,10.144,172,corridor,True,True
