junction,dis_score,risk_level,obi_component,hawkes_component,future_risk_component,rmst_component,persistence_component,pc1_loading_obi,pc1_loading_hawkes,pc1_loading_future,pc1_loading_rmst,pc1_loading_persistence
JalahalliCross(SM Circle),100.0,Critical,1.0,0.0,0.9425380551848135,0.42076894198024495,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
SatteliteBusStandJunc,91.57,Critical,0.9698048995705119,0.0,0.881353266610313,0.5776699407846438,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
MekhriCircle,80.3,Critical,0.9395308870527432,0.0,0.9900953785360767,0.653687102104695,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
YeshwanthpuraCircle,77.14,High,0.8615073114214132,0.0,0.8678568126815049,0.4890423777183815,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
toll gate mysore road,78.72,High,0.8573655676131063,0.0,0.8282474892361681,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
GokuldasImagesJunc,81.95,Critical,0.8563078498518915,0.0,0.6394549511644122,0.42076894198024495,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
HesaraghattaJunction,72.59,High,0.8558200518488861,0.0,0.6522181440965782,0.5484201721924203,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
KIMCO Junction,84.21,Critical,0.8263545097266849,0.0,0.7663669161581185,0.6687815385199599,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354
YelhankaCircle,69.52,High,0.8190507712864169,0.0,0.7904261096088963,0.5805931264594523,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
BagalurCrossJunc,85.82,Critical,0.7983696547086526,0.0,0.809970089583246,0.4344051751689656,0.39999999999999986,0.617438,0.0,0.615665,-0.290193,0.394354
TownhallJunction,82.99,Critical,0.7980689714677103,0.0,1.0,0.5776699407846438,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
AyyappaTempleJunc,60.46,High,0.7769289255907925,0.0,0.567768621264922,0.7291400912501839,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
GoruguntepalyaJunc,69.62,High,0.7732835630454894,0.0,0.6421280955596438,0.517674596349252,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
SRS Peenya Junc,65.27,High,0.7398882457571735,0.0,0.4936407548261431,0.42076894198024495,0.19999999999999993,0.617438,0.0,0.615665,-0.290193,0.394354
HebbalFlyoverJunc,83.06,Critical,0.7248151618467772,0.0,0.5418704314925187,0.6680777797410418,1.0,0.617438,0.0,0.615665,-0.290193,0.394354
RajeshwariJunc,57.84,Moderate,0.7200705640243454,0.0,0.6361467176474088,0.6268706715946196,0.0,0.617438,0.0,0.615665,-0.290193,0.394354
