junction,dis_score,route_rank,route_label,diversion_corridor,diversion_path,path_weight,estimated_additional_time_min,obi_cost,future_cost,hawkes_cost,rmst_cost,obi_component,hawkes_component,future_risk_component,route_cost,recommendation_label,routing_method
JalahalliCross(SM Circle),100.0,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,0.1109,0.0019,0.5,0.2932,0.1109,0.5,0.0019,0.4241,Route A (best),dijkstra
JalahalliCross(SM Circle),100.0,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,0.3704,0.1103,0.5,0.5893,0.3704,0.5,0.1103,0.507,Route B,dijkstra
JalahalliCross(SM Circle),100.0,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,0.407,0.4048,0.5,0.5806,0.407,0.5,0.4048,0.5581,Route C,dijkstra
SatteliteBusStandJunc,91.57,1,Route A (best),TownhallJunction,toll gate mysore road|TownhallJunction,0.6731,10.1,0.7981,1.0,0.0,0.5777,0.7981,0.0,1.0,0.6731,Route A (best),dijkstra
SatteliteBusStandJunc,91.57,2,Route B,PoliceCornerJunc,toll gate mysore road|TownhallJunction|PoliceCornerJunc,1.2608,18.9,0.6198,0.5597,0.0,0.6269,0.6198,0.0,0.5597,1.2608,Route B,dijkstra
SatteliteBusStandJunc,91.57,3,Route C,TC Palya-OM RoadJunc,toll gate mysore road|TownhallJunction|PoliceCornerJunc|TC Palya-OM RoadJunc,1.6128,24.2,0.0884,0.0083,0.5,0.6761,0.0884,0.5,0.0083,1.6128,Route C,dijkstra
BagalurCrossJunc,85.82,1,Route A (best),LowerAgaram(IndiaGarage)Junc,YelhankaCircle|LowerAgaram(IndiaGarage)Junc,0.4224,6.3,0.0852,0.0009,0.5,0.6761,0.0852,0.5,0.0009,0.4224,Route A (best),dijkstra
BagalurCrossJunc,85.82,2,Route B,Basappa Circle Junction,YelhankaCircle|Basappa Circle Junction,0.4237,6.4,0.0855,0.0094,0.5,0.6761,0.0855,0.5,0.0094,0.4237,Route B,dijkstra
BagalurCrossJunc,85.82,3,Route C,ChandraLayoutJunc-nearWaterTank,YelhankaCircle|ChandraLayoutJunc-nearWaterTank,0.4245,6.4,0.0903,0.0018,0.5,0.6956,0.0903,0.5,0.0018,0.4245,Route C,dijkstra
KIMCO Junction,84.21,1,Route A (best),VijayanagarBusStandJunction,DhobiGhatJunc|VijayanagarBusStandJunction,0.3061,4.6,0.2342,0.0408,0.5,0.7599,0.2342,0.5,0.0408,0.3061,Route A (best),dijkstra
KIMCO Junction,84.21,2,Route B,UniversityJunc(Janabharti),UlsoorGateJunc|UniversityJunc(Janabharti),0.4147,6.2,0.4537,0.2147,0.5,0.5777,0.4537,0.5,0.2147,0.4147,Route B,dijkstra
KIMCO Junction,84.21,3,Route C,BangaloreBodyBuildersJunc,HudsonCircle|BangaloreBodyBuildersJunc,0.5728,8.6,0.6503,0.5608,0.5,0.5777,0.6503,0.5,0.5608,0.5728,Route C,dijkstra
HebbalFlyoverJunc,83.06,1,Route A (best),HennurRd-DavisRdJunction,HennurRoad-ORR Junc|HennurRd-DavisRdJunction,0.3165,4.7,0.1112,0.0485,0.5,0.6093,0.1112,0.5,0.0485,0.3165,Route A (best),dijkstra
HebbalFlyoverJunc,83.06,2,Route B,Kammanahalli-RingRoadJunction,HennurRoad-ORR Junc|Kammanahalli-RingRoadJunction,0.3204,4.8,0.1369,0.0085,0.5,0.7049,0.1369,0.5,0.0085,0.3204,Route B,dijkstra
HebbalFlyoverJunc,83.06,3,Route C,KodigehalliCross,LRDE Junction|KodigehalliCross,0.386,5.8,0.407,0.4048,0.5,0.5806,0.407,0.5,0.4048,0.386,Route C,dijkstra
TownhallJunction,82.99,1,Route A (best),TC Palya-OM RoadJunc,PoliceCornerJunc|TC Palya-OM RoadJunc,0.352,5.3,0.0884,0.0083,0.5,0.6761,0.0884,0.5,0.0083,0.352,Route A (best),dijkstra
TownhallJunction,82.99,2,Route B,DevangaHostelJunction,PoliceCornerJunc|DevangaHostelJunction,0.3652,5.5,0.1199,0.0708,0.5,0.6269,0.1199,0.5,0.0708,0.3652,Route B,dijkstra
TownhallJunction,82.99,3,Route C,RajeshwariJunc,PoliceCornerJunc|RajeshwariJunc,0.52,7.8,0.7201,0.6361,0.0,0.6269,0.7201,0.0,0.6361,0.52,Route C,dijkstra
