junction,dis_score,risk_level,obi_component,hawkes_component,future_risk_component,rmst_component,persistence_component,pc1_loading_obi,pc1_loading_hawkes,pc1_loading_future,pc1_loading_rmst,pc1_loading_persistence,ods_score,duration_factor,closure_factor,cascade_factor,p80_duration_min,closure_flag,hawkes_branching_ratio,officers,supervisors,tow_vehicles,qru_units,patrol_vehicles,barricades_from_ods,allocated_officers,allocated_tow,allocated_barricades,allocated_supervisors,allocation_fraction_x,strategy,barricades,closure_type,teams_needed,severity_hotspot_score,persistence_class,tow_unit,tow_priority_score,allocation_fraction_y,fully_allocated
JalahalliCross(SM Circle),100.0,Critical,1.0,0.0,0.9425380551848136,0.4207689419802449,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,420.0,4.0,1.0,1.05,360.0,0,0.05,14,3,5,1,4,21,14,5,21,3,1.0,emergency_closure,21,full_road,3,367.80090252785175,chronic,TOW-002,0.82,1.0,True
SatteliteBusStandJunc,91.57,Critical,0.969804899570512,0.0,0.881353266610313,0.5776699407846438,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,384.59,4.0,1.0,1.05,360.0,0,0.05,13,3,5,1,4,20,10,4,16,2,0.8,emergency_closure,20,full_road,3,484.48576149006175,chronic,TOW-004,0.7851,0.8,False
MekhriCircle,80.3,Critical,0.9395308870527432,0.0,0.9900953785360768,0.653687102104695,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,337.26,4.0,1.0,1.05,360.0,0,0.05,12,2,5,1,3,17,0,0,0,0,0.0,emergency_closure,17,full_road,3,747.0484175065194,chronic,TOW-014,0.6185,0.0,False
YeshwanthpuraCircle,77.14,High,0.8615073114214132,0.0,0.8678568126815049,0.4890423777183815,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,323.99,4.0,1.0,1.05,360.0,0,0.05,11,2,5,1,3,17,0,0,0,0,0.0,full_barricading,17,full_road,3,411.5617578656687,chronic,TOW-016,0.6054,0.0,False
toll gate mysore road,78.72,High,0.8573655676131063,0.0,0.8282474892361681,0.5776699407846438,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,330.62,4.0,1.0,1.05,360.0,0,0.05,12,2,5,1,3,17,0,0,0,0,0.0,full_barricading,17,full_road,3,399.1137379304063,chronic,TOW-010,0.6719,0.0,False
GokuldasImagesJunc,81.95,Critical,0.8563078498518915,0.0,0.6394549511644122,0.4207689419802449,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,344.19,4.0,1.0,1.05,360.0,0,0.05,12,2,5,1,3,18,0,0,0,0,0.0,emergency_closure,18,full_road,3,320.6704924886729,chronic,TOW-006,0.7453,0.0,False
HesaraghattaJunction,72.59,High,0.8558200518488861,0.0,0.6522181440965782,0.5484201721924203,0.1999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,304.88,4.0,1.0,1.05,360.0,0,0.05,11,2,4,1,3,16,0,0,0,0,0.0,full_barricading,16,full_road,2,326.56704565462746,chronic,TOW-021,0.5716,0.0,False
KIMCO Junction,84.21,Critical,0.8263545097266849,0.0,0.7663669161581185,0.6687815385199599,0.5999999999999999,0.617438,0.0,0.615665,-0.290193,0.394354,353.68,4.0,1.0,1.05,360.0,0,0.05,12,2,5,1,3,18,0,0,0,0,0.0,emergency_closure,18,full_road,3,378.2872755298367,chronic,TOW-003,0.8147,0.0,False
YelhankaCircle,69.52,High,0.8190507712864169,0.0,0.7904261096088963,0.5805931264594523,0.0,0.617438,0.0,0.615665,-0.290193,0.394354,291.98,4.0,1.0,1.05,360.0,0,0.05,10,2,4,0,3,15,0,0,0,0,0.0,full_barricading,15,full_road,2,403.2306397661429,chronic,TOW-030,0.4989,0.0,False
BagalurCrossJunc,85.82,Critical,0.7983696547086526,0.0,0.809970089583246,0.4344051751689656,0.3999999999999998,0.617438,0.0,0.615665,-0.290193,0.394354,360.44,4.0,1.0,1.05,360.0,0,0.05,13,3,5,1,4,19,0,0,0,0,0.0,emergency_closure,19,full_road,3,355.1821857474685,chronic,TOW-005,0.7613,0.0,False
