zone_hawkes,n_corridors,mean_fragility,max_fragility,mean_branching_ratio,n_fragile_corridors,n_corridors_hawkes_supported,fragility_tier
IRR,1,21173.9515,21173.9515,0.3662,1,1,High
BELLARY,2,1572.8959,3143.3812,0.7318,2,2,High
ORR,5,439.1342,1605.4548,1.08,5,5,High
MYSORE,1,1532.9062,1532.9062,0.0797,1,1,High
TUMKUR,1,847.9116,847.9116,0.0497,1,1,High
CBD,2,14.5015,16.5079,0.1275,2,2,High
VARTHUR,1,7.3594,7.3594,0.2558,1,1,High
BANNERGHATA,1,3.6037,3.6037,0.2558,1,1,High
MAGADI,1,3.1445,3.1445,0.2558,1,1,High
OLD,2,2.2633,3.0022,0.2558,2,1,High
NON,1,2.9259,2.9259,1.8932,1,1,High
AIRPORT,1,2.8276,2.8276,0.2558,1,1,High
WEST,1,2.8026,2.8026,0.2558,1,1,High
HENNUR,1,1.974,1.974,0.2558,1,1,Moderate
HOSUR,1,1.6751,1.6751,0.2558,1,1,Moderate
