event_id,snapshot_date,quantile_fallback,retrieval_fallback,quantile_support,planned_support,event_cause,corridor,coverage_flag
FKID005760,2023-11-10,global,low_support,0,0,others,Non-corridor,False
FKID005762,2023-11-10,global,low_support,0,0,accident,CBD 2,False
FKID005761,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005197,2023-11-10,global,low_support,0,0,water_logging,Non-corridor,False
FKID005763,2023-11-10,global,low_support,0,0,pot_holes,IRR(Thanisandra road),False
FKID005764,2023-11-10,global,low_support,0,0,others,Tumkur Road,False
FKID005765,2023-11-10,global,low_support,0,0,others,Mysore Road,False
FKID005766,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005767,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID004396,2023-11-10,global,low_support,0,0,accident,Non-corridor,False
FKID004399,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bellary Road 1,False
FKID005768,2023-11-10,global,low_support,0,0,vehicle_breakdown,ORR West 1,False
FKID005769,2023-11-10,global,low_support,0,0,vehicle_breakdown,Tumkur Road,False
FKID005770,2023-11-10,global,low_support,0,0,vehicle_breakdown,Mysore Road,False
FKID005771,2023-11-10,global,low_support,0,0,others,Old Airport Road,False
FKID005198,2023-11-10,global,low_support,0,0,vehicle_breakdown,ORR North 1,False
FKID005772,2023-11-10,global,low_support,0,0,others,Tumkur Road,False
FKID005773,2023-11-10,global,low_support,0,0,others,Tumkur Road,False
FKID005774,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID004401,2023-11-10,global,low_support,0,0,road_conditions,Non-corridor,False
FKID005775,2023-11-10,global,low_support,0,0,vehicle_breakdown,Mysore Road,False
FKID005777,2023-11-10,global,low_support,0,0,accident,Non-corridor,False
FKID005778,2023-11-10,global,low_support,0,0,vehicle_breakdown,Tumkur Road,False
FKID005199,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bellary Road 1,False
FKID005779,2023-11-10,global,low_support,0,0,vehicle_breakdown,Tumkur Road,False
FKID005780,2023-11-10,global,low_support,0,0,accident,Bellary Road 2,False
FKID005781,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005200,2023-11-10,global,low_support,0,0,vehicle_breakdown,Hennur Main Road,False
FKID005782,2023-11-10,global,low_support,0,0,debris,Non-corridor,False
FKID004410,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID004406,2023-11-10,global,low_support,0,0,pot_holes,Bannerghata Road,False
FKID005783,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005784,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005785,2023-11-10,global,low_support,0,0,vehicle_breakdown,Tumkur Road,False
FKID005786,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005787,2023-11-10,global,low_support,0,0,others,Non-corridor,False
FKID005788,2023-11-10,global,low_support,0,0,vehicle_breakdown,Hosur Road,False
FKID005201,2023-11-10,global,low_support,0,0,vehicle_breakdown,ORR North 2,False
FKID005789,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005790,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID004414,2023-11-10,global,low_support,0,0,accident,Non-corridor,False
FKID005776,2023-11-10,global,low_support,0,0,vehicle_breakdown,Mysore Road,False
FKID005791,2023-11-10,global,low_support,0,0,vehicle_breakdown,Mysore Road,False
FKID005792,2023-11-10,global,low_support,0,0,pot_holes,Non-corridor,False
FKID005793,2023-11-10,global,low_support,0,0,vehicle_breakdown,Old Madras Road,False
FKID005794,2023-11-10,global,low_support,0,0,pot_holes,ORR North 1,False
FKID005795,2023-11-10,global,low_support,0,0,pot_holes,Bannerghata Road,False
FKID004417,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bellary Road 1,False
FKID005796,2023-11-10,global,low_support,0,0,pot_holes,IRR(Thanisandra road),False
FKID005797,2023-11-10,global,low_support,0,0,pot_holes,IRR(Thanisandra road),False
FKID005798,2023-11-10,global,low_support,0,0,pot_holes,IRR(Thanisandra road),False
FKID005799,2023-11-10,global,low_support,0,0,pot_holes,IRR(Thanisandra road),False
FKID005800,2023-11-10,global,low_support,0,0,vehicle_breakdown,Hosur Road,False
FKID004420,2023-11-10,global,low_support,0,0,water_logging,Non-corridor,False
FKID005801,2023-11-10,global,low_support,0,0,vehicle_breakdown,Mysore Road,False
FKID005802,2023-11-10,global,low_support,0,0,road_conditions,IRR(Thanisandra road),False
FKID004423,2023-11-10,global,low_support,0,0,vehicle_breakdown,Hosur Road,False
FKID005807,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005808,2023-11-10,global,low_support,0,0,accident,Mysore Road,False
FKID004129,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005809,2023-11-10,global,low_support,0,0,vehicle_breakdown,Mysore Road,False
FKID005810,2023-11-10,global,low_support,0,0,vehicle_breakdown,Tumkur Road,False
FKID005811,2023-11-10,global,low_support,0,0,others,Non-corridor,False
FKID005202,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005812,2023-11-10,global,low_support,0,0,vehicle_breakdown,ORR North 1,False
FKID005813,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005803,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bannerghata Road,False
FKID005804,2023-11-10,global,low_support,0,0,water_logging,Magadi Road,False
FKID005814,2023-11-10,global,low_support,0,0,vehicle_breakdown,Tumkur Road,False
FKID005815,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bannerghata Road,False
FKID000002,2023-11-10,global,low_support,0,0,others,Non-corridor,False
FKID005816,2023-11-10,global,low_support,0,0,vehicle_breakdown,Old Madras Road,False
FKID005817,2023-11-10,global,low_support,0,0,vehicle_breakdown,Old Madras Road,False
FKID005818,2023-11-10,global,low_support,0,0,vehicle_breakdown,ORR West 1,False
FKID004432,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bellary Road 2,False
FKID004431,2023-11-10,global,low_support,0,0,water_logging,Non-corridor,False
FKID005819,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bellary Road 2,False
FKID004433,2023-11-10,global,low_support,0,0,vehicle_breakdown,ORR North 2,False
FKID005820,2023-11-10,global,low_support,0,0,vehicle_breakdown,Bellary Road 2,False
FKID004436,2023-11-10,global,low_support,0,0,vehicle_breakdown,ORR North 2,False
FKID005821,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005822,2023-11-10,global,low_support,0,0,vehicle_breakdown,Non-corridor,False
FKID005823,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Mysore Road,True
FKID005824,2023-11-11,global,low_support,21,0,pot_holes,IRR(Thanisandra road),True
FKID005825,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID004447,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Varthur Road,True
FKID005826,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Bellary Road 2,True
FKID005203,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Bellary Road 1,True
FKID004440,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Bellary Road 1,True
FKID005827,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005828,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Mysore Road,True
FKID005829,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005830,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005831,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Bellary Road 1,True
FKID004444,2023-11-11,corridor_only,low_support,9,0,road_conditions,Non-corridor,True
FKID005832,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005834,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005835,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005836,2023-11-11,global,low_support,21,0,construction,ORR North 1,True
FKID004453,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Bellary Road 1,True
FKID005837,2023-11-11,global,low_support,21,0,construction,ORR North 1,True
FKID005838,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Bellary Road 2,True
FKID005839,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005204,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005840,2023-11-11,global,low_support,21,0,accident,Old Madras Road,True
FKID005841,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Hosur Road,True
FKID005842,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005843,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Old Madras Road,True
FKID004130,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Non-corridor,True
FKID005844,2023-11-11,cause_only,low_support,6,0,others,Bellary Road 2,True
FKID004455,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Bellary Road 1,True
FKID005845,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Tumkur Road,True
FKID005846,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,Mysore Road,True
FKID005848,2023-11-11,cause_only,low_support,11,0,vehicle_breakdown,ORR East 1,True
FKID004459,2023-11-11,global,low_support,21,0,accident,Bellary Road 1,True
FKID004460,2023-11-11,corridor_only,low_support,9,0,accident,Non-corridor,True
FKID004462,2023-11-11,corridor_only,low_support,9,0,accident,Non-corridor,True
