event_id,start_local,duration_min,is_censored,event_cause,corridor,zone,junction,priority,requires_road_closure,event_type,hour_local,dow_local,month,is_weekend,trust_score,geo_valid,duration_anomaly,iso_flagged,mnar_predicted_prob,is_true_planned_event,snapshot_date,asof_p50_duration,asof_p80_duration,asof_p95_duration,asof_surv_prob_60,asof_surv_prob_120,asof_surv_prob_180,asof_rmst_180,asof_quantile_fallback_level,asof_quantile_support,asof_corridor_burden,asof_junction_burden,asof_obi_proxy,asof_corridor_event_rate,asof_nbr_mean_burden,asof_nbr_mean_duration,asof_fragility_proxy,asof_hawkes_intensity,asof_burstiness,asof_branching_ratio_proxy,asof_retrieval_confidence,asof_retrieval_n_eff,asof_retrieval_mean_sim,asof_retrieval_max_sim,asof_planned_support,asof_ims_proxy,asof_retrieval_fallback,obi_x_fragility,retrieval_x_risk,fragility_x_duration,trust_x_confidence,hotspot_x_duration,hawkes_x_obi,nbr_mean_obi,nbr_mean_fragility,nbr_mean_duration,nbr_mean_severity,coverage_flag
FKID005760,2023-11-10 00:54:48.154000+05:30,203.8280376,False,others,Non-corridor,Central Zone 1,D'SouzaCircle,Low,False,unplanned,0.0,4.0,11.0,0,1.0,True,False,False,0.34837270644684865,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,13.31125594131283,8.874170627541886,0.0,0.9999998873134258,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,798.6753564787698,0.0,0.0,0.0,0.0,13.31125594131283,60.0,0.0,False
FKID005197,2023-11-10 02:21:36.296000+05:30,5800.0067728,False,water_logging,Non-corridor,South Zone 1,,Low,False,unplanned,2.0,4.0,11.0,0,1.0,True,False,False,0.4758225813946053,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,13.31125594131283,8.874170627541886,0.0,0.9999998873134258,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,798.6753564787698,0.0,0.0,0.0,0.0,13.31125594131283,60.0,0.0,False
FKID005765,2023-11-10 03:40:51.914000+05:30,8589.098377216667,False,others,Mysore Road,Central Zone 2,TownhallJunction,High,False,unplanned,3.0,4.0,11.0,0,0.7,True,True,False,0.2707201125399316,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,3.5642704764323057,2.3761803176215373,0.0,0.9999995791566945,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,213.85622858593834,0.0,0.0,0.0,0.0,3.5642704764323057,60.0,0.0,False
FKID005767,2023-11-10 04:05:52.555000+05:30,97.63435158333333,False,vehicle_breakdown,Non-corridor,Central Zone 2,Shivashankara circle,Low,False,unplanned,4.0,4.0,11.0,0,1.0,True,False,False,0.6373564590576738,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,13.31125594131283,8.874170627541886,0.0,0.9999998873134258,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,798.6753564787698,0.0,0.0,0.0,0.0,13.31125594131283,60.0,0.0,False
FKID005770,2023-11-10 06:01:14.562000+05:30,29.369336083333334,False,vehicle_breakdown,Mysore Road,Central Zone 2,toll gate mysore road,High,False,unplanned,6.0,4.0,11.0,0,1.0,True,False,False,0.5496999579467076,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,3.5642704764323057,2.3761803176215373,0.0,0.9999995791566945,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,213.85622858593834,0.0,0.0,0.0,0.0,3.5642704764323057,60.0,0.0,False
FKID005771,2023-11-10 06:26:37.499000+05:30,8503.662806933333,False,others,Old Airport Road,Central Zone 1,ISRO Junction-Airport rd,High,False,unplanned,6.0,4.0,11.0,0,0.7,True,True,False,0.34400057455710703,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,0.4679349508165318,0.31195663387768785,0.0,0.9999967944365151,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,28.076097048991908,0.0,0.0,0.0,0.0,0.4679349508165318,60.0,0.0,False
FKID005198,2023-11-10 06:52:07.058000+05:30,62.70201386666667,False,vehicle_breakdown,ORR North 1,North Zone 1,,High,False,unplanned,6.0,4.0,11.0,0,1.0,True,False,False,0.7231031793288754,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,0.9756941527663854,0.6504627685109236,0.0,0.9999984626353559,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,58.541649165983124,0.0,0.0,0.0,0.0,0.9756941527663854,60.0,0.0,False
FKID005772,2023-11-10 07:03:08.127000+05:30,11599.248425666667,False,others,Tumkur Road,West Zone 2,TataInstituteCircle,High,False,unplanned,7.0,4.0,11.0,0,0.7,True,True,False,0.2475443188310136,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,2.3098065657326674,1.5398710438217782,0.0,0.9999993505953927,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,138.58839394396006,0.0,0.0,0.0,0.0,2.3098065657326674,60.0,0.0,False
FKID005773,2023-11-10 07:04:33.186000+05:30,11597.7934565,False,others,Tumkur Road,West Zone 2,TataInstituteCircle,High,False,unplanned,7.0,4.0,11.0,0,0.7,True,True,False,0.2475443188310136,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,2.3098065657326674,1.5398710438217782,0.0,0.9999993505953927,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,138.58839394396006,0.0,0.0,0.0,0.0,2.3098065657326674,60.0,0.0,False
FKID004401,2023-11-10 07:46:04.710000+05:30,152367.86955186666,False,road_conditions,Non-corridor,East Zone 1,,Low,False,unplanned,7.0,4.0,11.0,0,0.48999999999999994,True,True,True,0.4579217975157065,False,2023-11-10,60.0,120.0,180.0,0.5,0.5,0.5,90.0,global,0,0.0,0.0,0.0,0.0,0.0,60.0,13.31125594131283,8.874170627541886,0.0,0.9999998873134258,0.0,0.0,0.0,0.0,0,0.0,low_support,0.0,0.0,798.6753564787698,0.0,0.0,0.0,0.0,13.31125594131283,60.0,0.0,False
