event_id,quantile_crossing_flag,clamp_flag,fallback_blend_flag,tail_risk_flag,duration_sanity_flag,duration_guard_reason,duration_reliability
FKID005760,0,1,0,0,0,p95_clamped,0.5593393279950172
FKID005197,0,0,0,0,1,sanitized_ok,0.5534651376566655
FKID005765,0,0,0,0,1,sanitized_ok,0.5106876865779105
FKID005767,0,0,0,0,1,sanitized_ok,0.562204268087263
FKID005770,0,0,0,0,1,sanitized_ok,0.6088028852108622
FKID005771,0,0,0,0,1,sanitized_ok,0.49396544786960705
FKID005198,0,0,0,0,1,sanitized_ok,0.5787218946936925
FKID005772,0,0,0,0,1,sanitized_ok,0.5040595910571313
FKID005773,0,0,0,0,1,sanitized_ok,0.5040595910571313
FKID004401,0,0,0,1,0,tail_risk_high,0.4902531930496151
FKID005775,0,0,0,0,1,sanitized_ok,0.6085322147531662
FKID005778,0,0,0,0,1,sanitized_ok,0.6040106336620452
FKID005199,0,0,0,0,1,sanitized_ok,0.5958510355625153
FKID005779,0,0,0,0,1,sanitized_ok,0.603631777765584
FKID005781,0,0,0,0,1,sanitized_ok,0.5605495546178066
FKID005200,0,0,0,0,1,sanitized_ok,0.5811644745290853
FKID005782,0,0,0,1,0,tail_risk_high,0.4839204790370196
FKID004410,0,0,0,0,1,sanitized_ok,0.558491936311531
FKID004406,0,0,0,1,0,tail_risk_high,0.5003408960039692
FKID005786,0,0,0,0,1,sanitized_ok,0.5573110367200163
FKID005787,0,0,0,0,1,sanitized_ok,0.48722805479026093
FKID005788,0,0,0,0,1,sanitized_ok,0.5886910909494042
FKID005201,0,0,0,0,1,sanitized_ok,0.5850286710992064
FKID005791,0,0,0,0,1,sanitized_ok,0.6072572629660019
FKID005792,0,0,0,0,1,sanitized_ok,0.5432669482822748
FKID005795,0,1,0,0,0,p95_clamped,0.5290329001445587
FKID005807,0,0,0,0,1,sanitized_ok,0.5627697827155366
FKID005809,0,0,0,0,1,sanitized_ok,0.609649494109654
FKID005811,0,1,0,0,0,p95_clamped,0.5639304367296377
FKID005202,0,0,0,0,1,sanitized_ok,0.5497530149158025
FKID005812,0,0,0,0,1,sanitized_ok,0.5781508183754781
FKID005813,0,0,0,0,1,sanitized_ok,0.5618442558248107
FKID005814,0,0,0,0,1,sanitized_ok,0.6043225896506759
FKID000002,0,0,1,1,0,fallback_blended_low_reliability|tail_risk_high,0.2653355958091057
FKID004433,0,0,0,0,1,sanitized_ok,0.3493139820231905
FKID005823,0,0,0,0,1,sanitized_ok,0.6165477142416484
FKID005825,0,0,0,0,1,sanitized_ok,0.34964833715180044
FKID004440,0,0,0,0,1,sanitized_ok,0.6202273777384792
FKID005827,0,0,0,0,1,sanitized_ok,0.5855345805961718
FKID005828,0,0,0,0,1,sanitized_ok,0.5613845495730387
FKID005831,0,0,0,0,1,sanitized_ok,0.6211706129796123
FKID004444,0,1,1,0,0,p95_clamped|fallback_blended_low_reliability,0.270980463447862
FKID005836,0,1,0,0,0,p95_clamped,0.6021293557597138
FKID005837,0,1,0,0,0,p95_clamped,0.6026078187885522
FKID005838,0,0,0,0,1,sanitized_ok,0.6186129744519987
FKID005839,0,0,0,0,1,sanitized_ok,0.586917356965163
FKID005204,0,0,0,0,1,sanitized_ok,0.5863235644241709
FKID005842,0,0,0,0,1,sanitized_ok,0.5863017959589722
FKID005844,0,0,0,0,1,sanitized_ok,0.612832140013127
FKID005845,0,0,0,0,1,sanitized_ok,0.5948450001945074
FKID004467,0,1,0,0,0,p95_clamped,0.34807373659120594
FKID005852,0,1,0,0,0,p95_clamped,0.6114647287282505
FKID005855,0,0,0,0,1,sanitized_ok,0.5616568088773304
FKID005856,0,0,0,0,1,sanitized_ok,0.6091602084983991
FKID005857,0,0,0,0,1,sanitized_ok,0.6091602084983991
FKID005860,0,0,0,0,1,sanitized_ok,0.557334616481386
FKID004490,0,1,0,0,0,p95_clamped,0.5721831469305056
FKID004492,0,0,1,1,0,fallback_blended_low_reliability|tail_risk_high,0.2622460253795743
FKID005862,0,0,0,0,1,sanitized_ok,0.5785643088812882
FKID004495,1,0,1,1,0,raw_quantile_crossing|fallback_blended_low_reliability|tail_risk_high,0.29710506670923503
FKID005205,0,0,0,0,1,sanitized_ok,0.5901278860251171
FKID005206,0,0,0,0,1,sanitized_ok,0.5498261811985033
FKID004497,0,0,0,0,1,sanitized_ok,0.6150762971434923
FKID005865,0,0,0,0,1,sanitized_ok,0.5843697661474749
FKID004499,0,0,0,0,1,sanitized_ok,0.32801727688993576
FKID005867,0,1,0,0,0,p95_clamped,0.6047242709175703
FKID005868,0,1,0,0,0,p95_clamped,0.3655271815928799
FKID001592,0,0,0,1,0,tail_risk_high,0.3010238103000637
FKID005870,0,0,0,1,0,tail_risk_high,0.4979362569420981
FKID005872,0,0,0,0,1,sanitized_ok,0.5849519256204891
FKID005873,0,1,0,0,0,p95_clamped,0.34804096596968925
FKID005874,0,1,0,0,0,p95_clamped,0.32195509644013237
FKID005208,0,0,1,1,0,fallback_blended_low_reliability|tail_risk_high,0.25
FKID005875,0,1,0,0,0,p95_clamped,0.5539192635331175
FKID005876,0,0,1,0,0,fallback_blended_low_reliability,0.25492660534694905
FKID005877,0,1,0,0,0,p95_clamped,0.3658425121380392
FKID005209,0,0,0,0,1,sanitized_ok,0.5860731723724018
FKID005880,0,0,0,0,1,sanitized_ok,0.5855292174196824
FKID005881,0,0,0,0,1,sanitized_ok,0.5822446230327304
FKID005883,0,0,0,0,1,sanitized_ok,0.5823641497615453
FKID005210,0,0,0,0,1,sanitized_ok,0.5860789978117792
FKID005884,0,0,0,0,1,sanitized_ok,0.6112239617911567
FKID005886,0,0,0,0,1,sanitized_ok,0.5848340032662396
