slice,metric,value
overall,global_fallback_rate,0.028875565887678943
overall,cause_only_fallback_rate,0.16273094335005506
overall,exact_support_rate,0.7957910192095926
overall,low_retrieval_support_rate,0.03829683102899792
cause:accident,global_fallback_rate,0.038356164383561646
cause:congestion,global_fallback_rate,0.014705882352941176
cause:construction,global_fallback_rate,0.11041666666666666
cause:debris,global_fallback_rate,0.07692307692307693
cause:fog_low_visibility,global_fallback_rate,0.0
cause:others,global_fallback_rate,0.017241379310344827
cause:pot_holes,global_fallback_rate,0.027932960893854747
cause:procession,global_fallback_rate,0.1111111111111111
cause:protest,global_fallback_rate,0.06666666666666667
cause:public_event,global_fallback_rate,0.4880952380952381
cause:road_conditions,global_fallback_rate,0.03529411764705882
cause:test_demo,global_fallback_rate,0.0
cause:tree_fall,global_fallback_rate,0.0
cause:vehicle_breakdown,global_fallback_rate,0.012459150326797386
cause:vip_movement,global_fallback_rate,0.8
cause:water_logging,global_fallback_rate,0.015283842794759825
month:2023-11,global_fallback_rate,0.21015138023152272
month:2023-12,global_fallback_rate,0.0
month:2024-01,global_fallback_rate,0.0
month:2024-02,global_fallback_rate,0.0
month:2024-03,global_fallback_rate,0.0
month:2024-04,global_fallback_rate,0.0
