subset,task,metric,value
holdout,duration,rmse,6834.578243133849
holdout,duration,mae,2560.518378913335
holdout,duration,median_ae,84.99682606492483
holdout,duration,rmsle,1.7419183010733832
holdout,duration,mape,1159.6217263220062
holdout,high_impact,precision,0.9047619047619048
holdout,high_impact,recall,0.2714285714285714
holdout,high_impact,f1,0.4175824175824176
holdout,high_impact,brier,0.1087340469279489
holdout,high_impact,roc_auc,0.819195755225167
holdout,high_impact,pr_auc,0.5453498654823705
holdout,high_impact,ece,0.0
holdout,conformal,coverage_90,0.7239488117001828
holdout,conformal,mean_interval_width,10367.138825040185
holdout,novelty,novelty_rate,0.07586837294332724
holdout,novelty,drift_rate,0.22851919561243145
holdout_typical_le500,duration,rmse,718.579014288976
holdout_typical_le500,duration,mae,208.89756404135323
holdout_typical_le500,duration,median_ae,34.94528683829762
holdout_typical_le500,duration,rmsle,1.6329434669343998
holdout_typical_le500,duration,mape,1621.7681005303248
holdout_planned,duration,rmse,1121.9264929453686
holdout_planned,duration,mae,401.02334347658194
holdout_planned,duration,median_ae,89.20338016009794
holdout_planned,duration,rmsle,2.2581099170117076
holdout_planned,duration,mape,799.4025382852361
holdout_planned,high_impact,precision,1.0
holdout_planned,high_impact,recall,0.6666666666666666
holdout_planned,high_impact,f1,0.8
holdout_planned,high_impact,brier,0.05517723835197255
holdout_planned,high_impact,roc_auc,0.9888888888888889
holdout_planned,high_impact,pr_auc,0.9166666666666665
