event_id,event_cause,corridor,closure_binary,hour_of_day,day_of_week,duration_clean,priority_numeric,trust_score,month,event_cause_enc,corridor_enc,is_planned,row_idx
FKID000000,vehicle_breakdown,Tumkur Road,0,22,3,67.59724811666666,3.0,1.0,3,13,19,0,0
FKID000001,vehicle_breakdown,ORR East 1,0,9,1,10.37758925,3.0,1.0,1,13,12,0,1
FKID000002,others,Non-corridor,0,11,5,1440.0,1.0,0.48999999999999994,11,5,11,0,2
FKID000003,tree_fall,Non-corridor,1,23,3,1440.0,1.0,0.48999999999999994,3,12,11,0,3
FKID000004,vehicle_breakdown,Non-corridor,0,10,1,38.74983805,1.0,1.0,1,13,11,0,4
FKID000005,accident,Non-corridor,0,8,1,67.59724811666666,1.0,0.7,11,0,11,0,5
FKID000006,vehicle_breakdown,Non-corridor,0,12,1,67.59724811666666,1.0,1.0,1,13,11,0,6
FKID000007,others,Non-corridor,0,11,1,1440.0,1.0,0.7,1,5,11,0,7
FKID000008,public_event,CBD 2,0,7,3,67.59724811666666,3.0,1.0,1,9,5,1,8
FKID000009,vehicle_breakdown,Non-corridor,0,10,1,67.59724811666666,1.0,1.0,1,13,11,0,9
FKID000010,water_logging,ORR East 2,0,23,3,1440.0,3.0,1.0,3,15,13,0,10
FKID000011,vehicle_breakdown,ORR West 1,0,10,1,67.59724811666666,3.0,1.0,1,13,16,0,11
FKID000012,water_logging,ORR East 2,0,23,3,67.59724811666666,3.0,1.0,3,15,13,0,12
FKID000013,others,ORR North 1,0,0,2,1440.0,3.0,0.48999999999999994,12,5,14,0,13
FKID000014,pot_holes,Old Madras Road,0,0,4,67.59724811666666,3.0,0.7,3,6,18,0,14
FKID000015,others,Bellary Road 2,0,0,4,67.59724811666666,3.0,1.0,3,5,3,0,15
FKID000016,others,Bellary Road 2,0,0,4,67.59724811666666,3.0,1.0,3,5,3,0,16
FKID000017,others,ORR North 1,0,0,4,67.59724811666666,3.0,1.0,3,5,14,0,17
FKID000018,tree_fall,Non-corridor,0,1,4,293.3450075,1.0,1.0,3,12,11,0,18
FKID000019,vehicle_breakdown,Bellary Road 1,0,10,1,67.59724811666666,3.0,1.0,1,13,2,0,19
FKID000020,vehicle_breakdown,Hosur Road,0,0,4,27.2487523,3.0,1.0,3,13,7,0,20
FKID000021,tree_fall,Non-corridor,1,1,4,1440.0,1.0,1.0,3,12,11,0,21
FKID000022,pot_holes,Non-corridor,0,4,5,1440.0,1.0,0.48999999999999994,1,6,11,0,22
FKID000023,pot_holes,Non-corridor,0,14,1,67.59724811666666,1.0,1.0,1,6,11,0,23
FKID000024,water_logging,Non-corridor,0,1,4,67.59724811666666,1.0,1.0,3,15,11,0,24
FKID000025,tree_fall,Non-corridor,1,11,3,843.3240253,1.0,1.0,3,12,11,0,25
FKID000026,pot_holes,Non-corridor,0,14,1,67.59724811666666,3.0,0.7,1,6,11,0,26
FKID000027,vehicle_breakdown,Bannerghata Road,0,13,1,67.59724811666666,3.0,1.0,1,13,1,0,27
FKID000028,pot_holes,Non-corridor,0,13,1,9.079776783333333,1.0,1.0,1,6,11,0,28
FKID000029,pot_holes,Non-corridor,0,14,1,67.59724811666666,1.0,1.0,1,6,11,0,29
FKID000030,pot_holes,Non-corridor,0,14,1,67.59724811666666,1.0,1.0,1,6,11,0,30
FKID000031,vehicle_breakdown,Bannerghata Road,1,13,1,67.59724811666666,3.0,1.0,1,13,1,0,31
FKID000032,vehicle_breakdown,Bannerghata Road,0,11,1,67.59724811666666,3.0,1.0,1,13,1,0,32
FKID000033,tree_fall,Non-corridor,0,1,4,1440.0,1.0,1.0,3,12,11,0,33
FKID000034,congestion,ORR North 2,0,11,1,67.59724811666666,3.0,0.7,1,1,15,0,34
FKID000035,pot_holes,Non-corridor,0,14,1,67.59724811666666,1.0,1.0,1,6,11,0,35
FKID000036,vehicle_breakdown,Magadi Road,0,1,4,67.59724811666666,3.0,1.0,3,13,9,0,36
FKID000037,accident,Non-corridor,0,9,1,67.59724811666666,1.0,0.7,1,0,11,0,37
FKID000038,vehicle_breakdown,Bannerghata Road,0,20,1,67.59724811666666,3.0,1.0,1,13,1,0,38
FKID000039,pot_holes,Non-corridor,0,14,1,0.0,1.0,1.0,1,6,11,0,39
FKID000040,construction,ORR East 1,0,17,1,0.5525333333333333,3.0,1.0,1,2,12,0,40
FKID000041,others,Bellary Road 1,1,1,4,106.41915116666668,3.0,1.0,3,5,2,0,41
FKID000042,vehicle_breakdown,ORR East 1,0,2,2,67.59724811666666,3.0,1.0,1,13,12,0,42
FKID000043,vehicle_breakdown,Non-corridor,0,23,3,67.59724811666666,1.0,1.0,3,13,11,0,43
FKID000044,vehicle_breakdown,Non-corridor,0,11,3,67.59724811666666,1.0,1.0,12,13,11,0,44
FKID000045,construction,Non-corridor,1,2,2,0.0,1.0,1.0,1,2,11,0,45
FKID000046,vehicle_breakdown,Tumkur Road,0,1,2,67.59724811666666,3.0,1.0,1,13,19,0,46
FKID000047,others,Tumkur Road,0,1,4,133.52983253333335,3.0,1.0,3,5,19,0,47
FKID000048,tree_fall,Bellary Road 1,0,2,4,1440.0,3.0,1.0,3,12,2,0,48
FKID000049,vehicle_breakdown,ORR East 1,0,2,2,55.541728516666666,3.0,1.0,1,13,12,0,49
FKID000050,congestion,IRR(Thanisandra road),0,2,2,67.59724811666666,3.0,0.7,1,1,8,0,50
FKID000051,vehicle_breakdown,Mysore Road,0,2,2,67.59724811666666,3.0,1.0,1,13,10,0,51
FKID000052,construction,ORR East 2,0,2,2,729.7378,3.0,1.0,1,2,13,0,52
FKID000053,vehicle_breakdown,Bellary Road 1,0,3,2,69.32987603333332,3.0,1.0,1,13,2,0,53
FKID000054,vehicle_breakdown,West of Chord Road,0,2,4,67.59724811666666,3.0,1.0,3,13,21,0,54
FKID000055,road_conditions,Non-corridor,0,3,2,61.27697078333333,1.0,1.0,1,10,11,0,55
FKID000056,vehicle_breakdown,Non-corridor,1,1,2,67.59724811666666,1.0,0.7,1,13,11,0,56
FKID000057,vehicle_breakdown,Non-corridor,0,3,2,36.41233746666667,1.0,1.0,1,13,11,0,57
FKID000058,tree_fall,Bellary Road 1,0,2,4,1440.0,3.0,1.0,3,12,2,0,58
FKID000059,tree_fall,Bellary Road 1,0,2,4,1440.0,3.0,1.0,3,12,2,0,59
FKID000060,tree_fall,Bellary Road 1,0,2,4,1440.0,3.0,1.0,3,12,2,0,60
FKID000061,vehicle_breakdown,ORR East 1,0,4,2,10.513486133333334,3.0,1.0,1,13,12,0,61
FKID000062,tree_fall,Non-corridor,1,2,4,1440.0,1.0,0.48999999999999994,3,12,11,0,62
FKID000063,vehicle_breakdown,Non-corridor,0,4,2,83.22766023333334,1.0,1.0,1,13,11,0,63
FKID000064,vehicle_breakdown,Non-corridor,0,2,2,67.59724811666666,1.0,1.0,1,13,11,0,64
FKID000065,pot_holes,CBD 1,0,2,4,67.59724811666666,3.0,1.0,3,6,4,0,65
FKID000066,tree_fall,Non-corridor,0,2,4,321.23818236666665,1.0,1.0,3,12,11,0,66
FKID000067,pot_holes,Non-corridor,0,6,2,67.59724811666666,3.0,0.7,1,6,11,0,67
FKID000068,pot_holes,ORR North 1,0,6,2,67.59724811666666,3.0,0.7,1,6,14,0,68
FKID000069,vehicle_breakdown,West of Chord Road,0,6,2,44.18835605,3.0,1.0,1,13,21,0,69
FKID000070,vehicle_breakdown,West of Chord Road,0,6,2,41.797760616666665,3.0,1.0,1,13,21,0,70
FKID000071,vehicle_breakdown,Non-corridor,0,6,2,26.158530816666666,1.0,1.0,1,13,11,0,71
FKID000072,pot_holes,Magadi Road,0,5,2,1440.0,3.0,1.0,1,6,9,0,72
FKID000073,others,Non-corridor,0,4,2,1440.0,1.0,0.7,1,5,11,0,73
FKID000074,vehicle_breakdown,Non-corridor,0,4,2,67.59724811666666,1.0,1.0,1,13,11,0,74
FKID000075,vehicle_breakdown,Non-corridor,0,4,2,67.59724811666666,1.0,1.0,1,13,11,0,75
FKID000076,pot_holes,Non-corridor,0,2,4,1440.0,1.0,1.0,3,6,11,0,76
FKID000077,vehicle_breakdown,ORR East 1,1,4,2,67.59724811666666,3.0,0.7,1,13,12,0,77
FKID000078,vehicle_breakdown,Non-corridor,0,0,4,67.59724811666666,1.0,1.0,3,13,11,0,78
FKID000079,vehicle_breakdown,Non-corridor,0,0,4,67.59724811666666,1.0,0.7,3,13,11,0,79
FKID000080,others,Non-corridor,0,2,4,15.88912515,1.0,1.0,3,5,11,0,80
FKID000081,tree_fall,Non-corridor,0,2,4,116.8119772,1.0,1.0,3,12,11,0,81
FKID000082,construction,ORR East 2,0,2,4,762.4895166666666,3.0,1.0,3,2,13,0,82
FKID000083,others,Mysore Road,1,2,4,1440.0,3.0,0.48999999999999994,3,5,10,0,83
FKID000084,others,Non-corridor,0,2,4,1440.0,1.0,0.7,3,5,11,0,84
FKID000085,pot_holes,Non-corridor,0,2,4,1440.0,1.0,1.0,3,6,11,0,85
FKID000086,vehicle_breakdown,Non-corridor,0,8,2,83.47854003333333,1.0,1.0,1,13,11,0,86
FKID000087,vehicle_breakdown,Mysore Road,0,10,2,52.75157615,3.0,1.0,1,13,10,0,87
FKID000088,vehicle_breakdown,ORR North 1,0,3,4,74.82553706666666,3.0,1.0,3,13,14,0,88
FKID000089,vehicle_breakdown,Non-corridor,0,7,2,67.59724811666666,1.0,1.0,1,13,11,0,89
FKID000090,water_logging,Mysore Road,0,8,2,1440.0,3.0,1.0,1,15,10,0,90
FKID000091,vehicle_breakdown,Magadi Road,0,6,2,67.59724811666666,3.0,1.0,1,13,9,0,91
FKID000092,vehicle_breakdown,Mysore Road,0,7,2,67.59724811666666,3.0,1.0,1,13,10,0,92
FKID000093,vehicle_breakdown,Mysore Road,0,9,2,47.68990556666667,3.0,1.0,1,13,10,0,93
FKID000094,vehicle_breakdown,ORR East 1,0,9,2,67.59724811666666,3.0,1.0,1,13,12,0,94
FKID000095,tree_fall,Non-corridor,0,3,4,8.620181266666666,1.0,1.0,3,12,11,0,95
FKID000096,tree_fall,Non-corridor,1,3,4,67.59724811666666,1.0,1.0,3,12,11,0,96
FKID000097,others,CBD 2,0,3,4,67.59724811666666,3.0,1.0,3,5,5,0,97
FKID000098,tree_fall,Non-corridor,1,3,4,67.59724811666666,1.0,1.0,3,12,11,0,98
FKID000099,tree_fall,Non-corridor,1,3,4,1440.0,1.0,0.7,3,12,11,0,99
FKID000100,tree_fall,Mysore Road,1,3,4,1440.0,3.0,0.48999999999999994,3,12,10,0,100
FKID000101,vehicle_breakdown,Bellary Road 1,0,8,2,67.59724811666666,3.0,1.0,1,13,2,0,101
FKID000102,vehicle_breakdown,Non-corridor,0,8,2,67.59724811666666,1.0,1.0,1,13,11,0,102
FKID000103,pot_holes,Bannerghata Road,0,3,4,67.59724811666666,3.0,1.0,3,6,1,0,103
FKID000104,pot_holes,Bannerghata Road,0,3,4,67.59724811666666,3.0,1.0,3,6,1,0,104
FKID000105,water_logging,West of Chord Road,0,3,4,67.59724811666666,3.0,1.0,3,15,21,0,105
FKID000106,pot_holes,Bannerghata Road,0,3,4,67.59724811666666,3.0,1.0,3,6,1,0,106
FKID000107,vehicle_breakdown,ORR West 1,0,11,2,141.02791743333333,3.0,1.0,1,13,16,0,107
FKID000108,others,Non-corridor,0,12,2,67.59724811666666,1.0,1.0,1,5,11,0,108
FKID000109,tree_fall,Mysore Road,0,3,4,1440.0,3.0,0.7,3,12,10,0,109
FKID000110,tree_fall,Non-corridor,0,3,4,1440.0,1.0,0.7,3,12,11,0,110
FKID000111,vehicle_breakdown,Non-corridor,0,3,4,67.59724811666666,1.0,1.0,3,13,11,0,111
FKID000112,pot_holes,ORR East 1,0,7,5,1440.0,3.0,0.48999999999999994,12,6,12,0,112
FKID000113,construction,Bellary Road 1,0,4,4,545.3734030166667,3.0,1.0,3,2,2,0,113
FKID000114,vehicle_breakdown,Non-corridor,1,2,4,67.59724811666666,1.0,1.0,3,13,11,0,114
FKID000115,water_logging,Old Madras Road,0,4,4,67.59724811666666,3.0,1.0,3,15,18,0,115
FKID000116,pot_holes,Non-corridor,0,4,4,67.59724811666666,1.0,1.0,3,6,11,0,116
FKID000117,vehicle_breakdown,ORR North 1,0,4,4,67.59724811666666,3.0,0.7,3,13,14,0,117
FKID000118,congestion,ORR North 2,0,11,2,67.59724811666666,3.0,0.7,1,1,15,0,118
FKID000119,vehicle_breakdown,Hosur Road,0,11,2,67.59724811666666,3.0,1.0,1,13,7,0,119
FKID000120,vehicle_breakdown,Magadi Road,0,11,2,67.59724811666666,3.0,1.0,1,13,9,0,120
FKID000121,vehicle_breakdown,Tumkur Road,0,1,4,67.59724811666666,3.0,1.0,3,13,19,0,121
FKID000122,tree_fall,Non-corridor,1,4,4,61.79462865,1.0,1.0,3,12,11,0,122
FKID000123,vehicle_breakdown,Mysore Road,0,14,2,102.3569732,3.0,1.0,1,13,10,0,123
FKID000124,vehicle_breakdown,Hosur Road,0,13,2,67.59724811666666,3.0,1.0,1,13,7,0,124
FKID000125,construction,Non-corridor,0,16,2,67.59724811666666,1.0,1.0,1,2,11,0,125
FKID000126,accident,Non-corridor,0,21,2,67.59724811666666,1.0,0.7,1,0,11,0,126
FKID000127,accident,Tumkur Road,0,0,3,67.59724811666666,3.0,1.0,1,0,19,0,127
FKID000128,vehicle_breakdown,Bannerghata Road,0,0,3,67.59724811666666,3.0,1.0,1,13,1,0,128
FKID000129,others,Non-corridor,0,14,5,1440.0,1.0,0.48999999999999994,12,5,11,0,129
FKID000130,pot_holes,Non-corridor,0,1,3,67.59724811666666,1.0,1.0,1,6,11,0,130
FKID000131,vehicle_breakdown,Bellary Road 2,0,2,3,102.53794968333334,3.0,1.0,1,13,3,0,131
