row_idx,event_id,event_cause,corridor,duration_min,trust_score,is_true_planned_event,start_timestamp
0,FKID000000,vehicle_breakdown,Tumkur Road,,1.0,False,2024-03-07T17:01:48
1,FKID000001,vehicle_breakdown,ORR East 1,10.37758925,1.0,False,2024-01-30T04:07:24
2,FKID000002,others,Non-corridor,115117.99897515001,0.48999999999999994,False,2023-11-11T06:18:03
3,FKID000003,tree_fall,Non-corridor,9465.174807333333,0.48999999999999994,False,2024-03-07T17:56:55
4,FKID000004,vehicle_breakdown,Non-corridor,38.74983805,1.0,False,2024-01-30T04:56:32
5,FKID000005,accident,Non-corridor,,0.7,False,2023-11-28T03:07:27
6,FKID000006,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-30T07:26:26
7,FKID000007,others,Non-corridor,24202.316523816666,0.7,False,2024-01-30T06:05:59
8,FKID000008,public_event,CBD 2,,1.0,True,
9,FKID000009,vehicle_breakdown,Non-corridor,,1.0,False,2024-01-30T05:25:50
10,FKID000010,water_logging,ORR East 2,9348.299649083334,1.0,False,2024-03-07T18:01:40
11,FKID000011,vehicle_breakdown,ORR West 1,,1.0,False,2024-01-30T05:21:06
12,FKID000012,water_logging,ORR East 2,,1.0,False,2024-03-07T18:00:05
13,FKID000013,others,ORR North 1,103674.87131448333,0.48999999999999994,False,2023-12-26T19:15:28
14,FKID000014,pot_holes,Old Madras Road,,0.7,False,2024-03-07T19:26:15
15,FKID000015,others,Bellary Road 2,,1.0,False,2024-03-07T19:10:21
16,FKID000016,others,Bellary Road 2,,1.0,False,2024-03-07T19:11:15
17,FKID000017,others,ORR North 1,,1.0,False,2024-03-07T19:18:29
18,FKID000018,tree_fall,Non-corridor,293.3450075,1.0,False,2024-03-07T19:39:29
19,FKID000019,vehicle_breakdown,Bellary Road 1,,1.0,False,2024-01-30T04:49:17
20,FKID000020,vehicle_breakdown,Hosur Road,27.2487523,1.0,False,2024-03-07T19:25:04
21,FKID000021,tree_fall,Non-corridor,2928.5208131000004,1.0,False,2024-03-07T19:45:16
22,FKID000022,pot_holes,Non-corridor,89112.40243683333,0.48999999999999994,False,2024-01-05T22:35:41
23,FKID000023,pot_holes,Non-corridor,,1.0,False,2024-01-30T08:32:47
24,FKID000024,water_logging,Non-corridor,,1.0,False,2024-03-07T19:55:24
25,FKID000025,tree_fall,Non-corridor,843.3240253,1.0,False,2024-03-07T06:09:19
26,FKID000026,pot_holes,Non-corridor,,0.7,False,2024-01-30T08:35:04
27,FKID000027,vehicle_breakdown,Bannerghata Road,,1.0,False,2024-01-30T08:12:47
28,FKID000028,pot_holes,Non-corridor,9.079776783333333,1.0,False,2024-01-30T08:25:57
29,FKID000029,pot_holes,Non-corridor,,1.0,False,2024-01-30T08:31:37
30,FKID000030,pot_holes,Non-corridor,,1.0,False,2024-01-30T08:33:55
31,FKID000031,vehicle_breakdown,Bannerghata Road,,1.0,False,2024-01-30T08:08:05
32,FKID000032,vehicle_breakdown,Bannerghata Road,,1.0,False,2024-01-30T05:43:18
33,FKID000033,tree_fall,Non-corridor,2907.6902057166667,1.0,False,2024-03-07T20:06:03
34,FKID000034,congestion,ORR North 2,,0.7,False,2024-01-30T05:38:15
35,FKID000035,pot_holes,Non-corridor,,1.0,False,2024-01-30T08:35:57
36,FKID000036,vehicle_breakdown,Magadi Road,,1.0,False,2024-03-07T20:17:50
37,FKID000037,accident,Non-corridor,,0.7,False,2024-01-30T03:52:59
38,FKID000038,vehicle_breakdown,Bannerghata Road,,1.0,False,2024-01-30T15:15:10
39,FKID000039,pot_holes,Non-corridor,-178.50536666666667,1.0,False,2024-01-30T08:37:16
40,FKID000040,construction,ORR East 1,0.5525333333333333,1.0,False,2024-01-30T11:31:12
41,FKID000041,others,Bellary Road 1,106.41915116666668,1.0,False,2024-03-07T20:20:31
