event_id,event_cause,corridor,evidence_officers,evidence_tow,evidence_barricades,l3_officers,l3_tow,l3_barricades,final_officers,final_tow,final_barricades,evidence_weight,ims_score,confidence_level,impact_level
FKID000008,public_event,CBD 2,0.0,0.0,0.0,5,2,7,2,1,2,0.7,4.0722,Very High,Low
FKID000241,vip_movement,Mysore Road,10.0,4.0,16.0,10,4,16,10,4,16,0.7,4.3709,High,Moderate
FKID000361,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.3367,Very High,Low
FKID000378,protest,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5285,Very High,Moderate
FKID000433,public_event,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5551,Very High,Moderate
FKID000437,public_event,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5551,Very High,Moderate
FKID000439,public_event,CBD 2,0.0,0.0,0.0,5,2,7,2,1,2,0.7,4.0722,Very High,Low
FKID000468,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.3603,Very High,Moderate
FKID000478,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2821,Very High,Low
FKID000502,public_event,ORR East 1,0.0,0.0,0.0,0,0,0,2,0,0,0.7,3.322,High,Moderate
FKID000717,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2898,Very High,Low
FKID000737,public_event,Non-corridor,2.0,1.0,3.0,0,0,0,2,1,2,0.7,4.5551,Very High,Moderate
FKID000878,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.3225,Very High,Low
FKID000920,protest,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.4511,Very High,Moderate
FKID000921,protest,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.4383,High,Moderate
FKID000922,protest,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.4384,High,Moderate
FKID000946,public_event,CBD 2,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.0722,Very High,Low
FKID000949,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2576,Very High,Low
FKID000952,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2526,Very High,Low
FKID000956,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2222,Very High,Low
FKID000994,public_event,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5551,Very High,Moderate
FKID001047,procession,Hosur Road,4.0,2.0,5.0,0,0,0,3,1,4,0.7,4.1488,High,Low
FKID001064,public_event,Bellary Road 1,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.3689,Very High,Low
FKID001104,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2542,Very High,Low
FKID001167,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5547,Very High,Moderate
FKID001198,protest,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5048,High,Moderate
FKID001481,public_event,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5551,Very High,Moderate
FKID001492,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.329,Very High,Low
FKID001569,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2807,Very High,Low
FKID001573,public_event,Old Madras Road,0.0,0.0,0.0,0,0,0,2,0,0,0.7,3.4002,Very High,Moderate
FKID001578,public_event,Old Madras Road,0.0,0.0,0.0,0,0,0,2,0,0,0.7,3.4002,Very High,Moderate
FKID001581,public_event,Old Madras Road,0.0,0.0,0.0,0,0,0,2,0,0,0.7,3.4002,Very High,Moderate
FKID001641,vip_movement,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.4547,Very High,Moderate
FKID001647,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.2841,Very High,Low
FKID001648,procession,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,5.276,Very High,Low
FKID001676,vip_movement,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.4547,Very High,Moderate
FKID001680,public_event,CBD 2,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.0722,Very High,Low
FKID001683,public_event,CBD 2,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.0722,Very High,Low
FKID001685,vip_movement,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.4547,Very High,Moderate
FKID001687,vip_movement,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.5278,Very High,Moderate
FKID001691,public_event,Non-corridor,0.0,0.0,0.0,0,0,0,2,0,0,0.7,4.4426,Very High,Moderate
