planned_event_id,planned_cause,retrieved_event_id,retrieved_cause,retrieved_corridor,gower_score,hybrid_score,final_score,rank
FKID000008,public_event,FKID000946,public_event,CBD 2,1.0,1.0,1.0,1
FKID000008,public_event,FKID001683,public_event,CBD 2,1.0,1.0,1.0,2
FKID000008,public_event,FKID000439,public_event,CBD 2,1.0,1.0,1.0,3
FKID000008,public_event,FKID001988,public_event,CBD 2,1.0,1.0,1.0,4
FKID000008,public_event,FKID001680,public_event,CBD 2,1.0,1.0,1.0,5
FKID000008,public_event,FKID005754,public_event,Bellary Road 1,0.8889,0.75,0.8056,6
FKID000008,public_event,FKID001064,public_event,Bellary Road 1,0.8889,0.75,0.8056,7
FKID000008,public_event,FKID003577,public_event,Mysore Road,0.8204,0.7233,0.7622,8
FKID000008,public_event,FKID007917,vehicle_breakdown,CBD 2,0.8655,0.6457,0.7336,9
FKID000008,public_event,FKID007723,test_demo,CBD 2,0.8519,0.65,0.7307,10
FKID000241,vip_movement,FKID007967,vip_movement,Mysore Road,0.9513,0.9955,0.9778,1
FKID000241,vip_movement,FKID002008,vip_movement,Mysore Road,0.7992,0.8237,0.8139,2
FKID000241,vip_movement,FKID001970,vip_movement,Mysore Road,0.7992,0.8237,0.8139,3
FKID000241,vip_movement,FKID002057,vip_movement,Mysore Road,0.7992,0.8237,0.8139,4
FKID000241,vip_movement,FKID002015,vip_movement,Mysore Road,0.7992,0.8237,0.8139,5
FKID000241,vip_movement,FKID000245,vehicle_breakdown,Mysore Road,0.8861,0.65,0.7444,6
FKID000241,vip_movement,FKID001838,vehicle_breakdown,Mysore Road,0.8813,0.6457,0.7399,7
FKID000241,vip_movement,FKID000309,others,Mysore Road,0.8701,0.65,0.738,8
FKID000241,vip_movement,FKID002177,vehicle_breakdown,Mysore Road,0.8684,0.65,0.7374,9
FKID000241,vip_movement,FKID007903,vehicle_breakdown,Mysore Road,0.8752,0.6455,0.7373,10
FKID000361,procession,FKID001492,procession,Non-corridor,0.9521,0.9781,0.9677,1
FKID000361,procession,FKID001865,procession,Non-corridor,0.9034,1.0,0.9614,2
FKID000361,procession,FKID000717,procession,Non-corridor,0.9004,0.9957,0.9575,3
FKID000361,procession,FKID004092,procession,Non-corridor,0.8955,0.9955,0.9555,4
FKID000361,procession,FKID002110,procession,Non-corridor,0.9146,0.9824,0.9553,5
FKID000361,procession,FKID003783,procession,Non-corridor,0.9327,0.9607,0.9495,6
FKID000361,procession,FKID003153,procession,Non-corridor,0.8913,0.987,0.9487,7
FKID000361,procession,FKID002602,procession,Non-corridor,0.9105,0.9739,0.9485,8
FKID000361,procession,FKID000878,procession,Non-corridor,0.9416,0.952,0.9478,9
FKID000361,procession,FKID004449,procession,Non-corridor,0.9226,0.9561,0.9427,10
FKID000378,protest,FKID000920,protest,Non-corridor,0.9617,0.9868,0.9767,1
FKID000378,protest,FKID000922,protest,Non-corridor,0.9566,0.9868,0.9747,2
FKID000378,protest,FKID000921,protest,Non-corridor,0.9565,0.9868,0.9747,3
FKID000378,protest,FKID001198,protest,Non-corridor,0.9435,0.987,0.9696,4
FKID000378,protest,FKID002639,protest,Non-corridor,0.8889,0.85,0.8656,5
FKID000378,protest,FKID004535,protest,Non-corridor,0.7439,0.8093,0.7831,6
FKID000378,protest,FKID004161,protest,Non-corridor,0.7147,0.7962,0.7636,7
FKID000378,protest,FKID003341,tree_fall,Non-corridor,0.8811,0.6457,0.7398,8
FKID000378,protest,FKID000151,tree_fall,Non-corridor,0.8704,0.65,0.7381,9
FKID000378,protest,FKID000163,tree_fall,Non-corridor,0.8618,0.65,0.7347,10
FKID000433,public_event,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,1
FKID000433,public_event,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,2
FKID000433,public_event,FKID001481,public_event,Non-corridor,1.0,1.0,1.0,3
FKID000433,public_event,FKID008130,public_event,Non-corridor,1.0,1.0,1.0,4
FKID000433,public_event,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,5
FKID000433,public_event,FKID005805,public_event,Non-corridor,1.0,1.0,1.0,6
FKID000433,public_event,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,7
FKID000433,public_event,FKID001734,public_event,Non-corridor,1.0,1.0,1.0,8
FKID000433,public_event,FKID003755,public_event,Non-corridor,1.0,1.0,1.0,9
FKID000433,public_event,FKID004707,public_event,Non-corridor,1.0,1.0,1.0,10
FKID000437,public_event,FKID000737,public_event,Non-corridor,1.0,1.0,1.0,1
FKID000437,public_event,FKID001481,public_event,Non-corridor,1.0,1.0,1.0,2
FKID000437,public_event,FKID008130,public_event,Non-corridor,1.0,1.0,1.0,3
FKID000437,public_event,FKID000433,public_event,Non-corridor,1.0,1.0,1.0,4
FKID000437,public_event,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,5
FKID000437,public_event,FKID005805,public_event,Non-corridor,1.0,1.0,1.0,6
FKID000437,public_event,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,7
