event_id,event_cause,corridor,n_meaningful_matches,mean_similarity,ims_score,ims_interpretation,confidence_score,confidence_level,diversity_score,diversity_interpretation
FKID000008,public_event,CBD 2,2236,0.528,4.0722,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000241,vip_movement,Mysore Road,2130,0.5703,4.3709,Strong institutional memory -- high reliability,0.8467,High,0.0917,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000361,procession,Non-corridor,3094,0.664,5.3367,Strong institutional memory -- high reliability,0.9557,Very High,0.0725,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000378,protest,Non-corridor,2831,0.5697,4.5285,Strong institutional memory -- high reliability,0.887,Very High,0.1777,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000433,public_event,Non-corridor,2806,0.5737,4.5551,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000437,public_event,Non-corridor,2806,0.5737,4.5551,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000439,public_event,CBD 2,2236,0.528,4.0722,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000468,procession,Non-corridor,2315,0.5628,4.3603,Strong institutional memory -- high reliability,0.9575,Very High,0.0792,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000478,procession,Non-corridor,3080,0.6575,5.2821,Strong institutional memory -- high reliability,0.9674,Very High,0.0543,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000502,public_event,ORR East 1,355,0.5655,3.322,Strong institutional memory -- high reliability,0.7949,High,0.0578,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000717,procession,Non-corridor,3086,0.6584,5.2898,Strong institutional memory -- high reliability,0.9783,Very High,0.0506,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000737,public_event,Non-corridor,2806,0.5737,4.5551,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000878,procession,Non-corridor,3100,0.662,5.3225,Strong institutional memory -- high reliability,0.9607,Very High,0.0717,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000920,protest,Non-corridor,2545,0.5676,4.4511,Strong institutional memory -- high reliability,0.8914,Very High,0.1777,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000921,protest,Non-corridor,2512,0.5669,4.4383,Strong institutional memory -- high reliability,0.8359,High,0.2096,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000922,protest,Non-corridor,2512,0.5669,4.4384,Strong institutional memory -- high reliability,0.8359,High,0.2096,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000946,public_event,CBD 2,2236,0.528,4.0722,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000949,procession,Non-corridor,3074,0.6547,5.2576,Strong institutional memory -- high reliability,0.9571,Very High,0.0717,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000952,procession,Non-corridor,3073,0.6541,5.2526,Strong institutional memory -- high reliability,0.9578,Very High,0.0717,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000956,procession,Non-corridor,3068,0.6504,5.2222,Strong institutional memory -- high reliability,0.9399,Very High,0.0461,Low diversity -- retrieved events strongly agree; predictions reliable
FKID000994,public_event,Non-corridor,2806,0.5737,4.5551,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001047,procession,Hosur Road,2117,0.5417,4.1488,Strong institutional memory -- high reliability,0.7984,High,0.2122,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001064,public_event,Bellary Road 1,2518,0.5578,4.3689,Strong institutional memory -- high reliability,0.8564,Very High,0.1111,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001104,procession,Non-corridor,3077,0.6542,5.2542,Strong institutional memory -- high reliability,0.9658,Very High,0.0785,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001167,procession,Non-corridor,2798,0.5739,4.5547,Strong institutional memory -- high reliability,0.9591,Very High,0.0824,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001198,protest,Non-corridor,2707,0.5699,4.5048,Strong institutional memory -- high reliability,0.8346,High,0.2179,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001481,public_event,Non-corridor,2806,0.5737,4.5551,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001492,procession,Non-corridor,3094,0.663,5.329,Strong institutional memory -- high reliability,0.9509,Very High,0.1076,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001569,procession,Non-corridor,3081,0.6573,5.2807,Strong institutional memory -- high reliability,0.9733,Very High,0.0506,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001573,public_event,Old Madras Road,403,0.5666,3.4002,Strong institutional memory -- high reliability,0.9222,Very High,0.0778,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001578,public_event,Old Madras Road,403,0.5666,3.4002,Strong institutional memory -- high reliability,0.9222,Very High,0.0778,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001581,public_event,Old Madras Road,403,0.5666,3.4002,Strong institutional memory -- high reliability,0.9222,Very High,0.0778,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001641,vip_movement,Non-corridor,2497,0.5694,4.4547,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001647,procession,Non-corridor,3084,0.6577,5.2841,Strong institutional memory -- high reliability,0.9765,Very High,0.072,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001648,procession,Non-corridor,3082,0.6567,5.276,Strong institutional memory -- high reliability,0.9685,Very High,0.0806,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001676,vip_movement,Non-corridor,2497,0.5694,4.4547,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001680,public_event,CBD 2,2236,0.528,4.0722,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001683,public_event,CBD 2,2236,0.528,4.0722,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001685,vip_movement,Non-corridor,2497,0.5694,4.4547,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001687,vip_movement,Non-corridor,2784,0.5708,4.5278,Strong institutional memory -- high reliability,0.9893,Very High,0.0133,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001691,public_event,Non-corridor,2490,0.5681,4.4426,Strong institutional memory -- high reliability,0.9609,Very High,0.0463,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001734,public_event,Non-corridor,2806,0.5737,4.5551,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001801,public_event,Non-corridor,2521,0.5724,4.4838,Strong institutional memory -- high reliability,0.992,Very High,0.02,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001857,vip_movement,Old Airport Road,217,0.548,2.9505,Strong institutional memory -- high reliability,0.774,High,0.1022,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001865,procession,Non-corridor,3073,0.6557,5.2659,Strong institutional memory -- high reliability,0.9783,Very High,0.0507,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001896,vip_movement,Non-corridor,2497,0.5694,4.4547,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001925,vip_movement,Non-corridor,2784,0.5708,4.5278,Strong institutional memory -- high reliability,0.9893,Very High,0.0133,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001934,vip_movement,Non-corridor,2497,0.5694,4.4547,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001970,vip_movement,Mysore Road,673,0.5655,3.6835,Strong institutional memory -- high reliability,0.9238,Very High,0.1339,Low diversity -- retrieved events strongly agree; predictions reliable
FKID001979,vip_movement,Non-corridor,2497,0.5694,4.4547,Strong institutional memory -- high reliability,1.0,Very High,0.0,Low diversity -- retrieved events strongly agree; predictions reliable
