prototype_id,support_count,times_in_top1,times_in_top5,mean_similarity_retrieved,representative_cause,representative_corridor
0,3,2,11,0.856,procession,Hennur Main Road
1,22,32,53,0.8183,public_event,Non-corridor
2,1,0,9,0.4933,procession,Non-corridor
3,5,5,5,0.9133,public_event,Old Airport Road
4,4,4,28,0.8091,procession,Hosur Road
5,1,0,11,0.8001,procession,Magadi Road
6,3,4,40,0.8388,procession,Non-corridor
7,9,8,28,0.8577,procession,Non-corridor
8,7,17,67,0.8246,public_event,Old Madras Road
9,10,9,47,0.8446,procession,Non-corridor
10,1,0,0,0.0,public_event,Non-corridor
11,11,0,10,0.7545,vip_movement,Non-corridor
12,5,1,4,0.7195,procession,Non-corridor
13,4,6,15,0.5447,public_event,Non-corridor
14,4,7,40,0.8357,procession,Non-corridor
15,4,3,18,0.7879,public_event,West of Chord Road
16,4,5,24,0.748,procession,Mysore Road
17,3,3,23,0.7674,public_event,Non-corridor
18,2,1,9,0.5107,public_event,Bellary Road 2
19,2,2,8,0.7568,vip_movement,Mysore Road
20,10,12,36,0.8047,public_event,CBD 2
21,5,0,4,0.7505,vip_movement,Mysore Road
22,6,7,30,0.8424,procession,Non-corridor
23,4,2,21,0.7974,public_event,Non-corridor
24,2,4,12,0.82,procession,Magadi Road
25,5,1,4,0.7903,procession,Non-corridor
26,6,4,42,0.7632,protest,Non-corridor
27,2,0,35,0.7559,public_event,Bannerghata Road
28,2,2,10,0.528,protest,Mysore Road
29,5,8,37,0.7967,procession,Magadi Road
30,4,8,12,0.8279,procession,Magadi Road
31,1,1,4,0.7191,public_event,Old Airport Road
32,2,1,10,0.5446,vip_movement,Non-corridor
33,1,2,12,0.4807,public_event,Hennur Main Road
34,1,3,8,0.4732,public_event,Non-corridor
35,3,2,22,0.8101,procession,Bellary Road 2
36,2,5,20,0.8017,public_event,Bellary Road 2
37,4,0,13,0.8413,procession,Non-corridor
38,4,3,22,0.7654,public_event,Magadi Road
39,4,6,27,0.8648,procession,Non-corridor
40,1,0,1,0.4539,public_event,Non-corridor
41,2,1,23,0.835,procession,Non-corridor
42,1,1,5,0.5021,protest,Tumkur Road
43,3,4,24,0.8259,public_event,Non-corridor
44,1,1,4,0.7766,protest,Old Airport Road
45,1,0,1,0.4539,public_event,Non-corridor
46,4,4,66,0.8085,public_event,CBD 2
