query_event_id,cause,corridor,confidence,effective_sample_size,mean_similarity,abstain_flag,actual_duration,predicted_duration_median,abs_error,rel_error
FKID000008,public_event,CBD 2,0.8324,4.949,0.8324,0,67.6,67.6,0.0,0.0
FKID000241,vip_movement,Mysore Road,0.7646,4.91,0.7646,0,21.0,53.3,32.3,1.538095238095238
FKID000361,procession,Non-corridor,0.912,4.984,0.912,0,67.6,61.3,6.299999999999997,0.09319526627218931
FKID000378,protest,Non-corridor,0.749,4.915,0.749,0,67.6,59.4,8.199999999999996,0.12130177514792895
FKID000433,public_event,Non-corridor,0.7896,4.967,0.7896,0,67.6,61.4,6.199999999999996,0.09171597633136089
FKID000437,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID000439,public_event,CBD 2,0.8324,4.949,0.8324,0,67.6,67.6,0.0,0.0
FKID000468,procession,Non-corridor,0.6203,4.999,0.6203,0,340.3,42.7,297.6,0.8745224801645607
FKID000478,procession,Non-corridor,0.8915,4.993,0.8915,0,0.3,48.0,47.7,47.7
FKID000502,public_event,ORR East 1,0.8528,4.967,0.8528,0,67.6,67.6,0.0,0.0
FKID000717,procession,Non-corridor,0.9077,4.985,0.9077,0,39.3,48.1,8.800000000000004,0.22391857506361335
FKID000737,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID000878,procession,Non-corridor,0.8806,4.979,0.8806,0,67.6,49.1,18.499999999999993,0.27366863905325434
FKID000920,protest,Non-corridor,0.6781,4.998,0.6781,0,67.6,67.6,0.0,0.0
FKID000921,protest,Non-corridor,0.7096,4.841,0.7096,0,0.1,58.8,58.699999999999996,58.699999999999996
FKID000922,protest,Non-corridor,0.71,4.841,0.71,0,0.7,58.8,58.099999999999994,58.099999999999994
FKID000946,public_event,CBD 2,0.8324,4.949,0.8324,0,67.6,67.6,0.0,0.0
FKID000949,procession,Non-corridor,0.9062,4.973,0.9062,0,67.6,61.6,5.999999999999993,0.08875739644970404
FKID000952,procession,Non-corridor,0.8981,4.984,0.8981,0,36.5,49.3,12.799999999999997,0.35068493150684926
FKID000956,procession,Non-corridor,0.8921,4.986,0.8921,0,29.1,49.2,20.1,0.6907216494845361
FKID000994,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID001047,procession,Hosur Road,0.8843,4.985,0.8843,0,67.6,69.1,1.5,0.022189349112426038
FKID001064,public_event,Bellary Road 1,0.7759,4.997,0.7759,0,67.6,61.6,5.999999999999993,0.08875739644970404
FKID001104,procession,Non-corridor,0.9113,4.987,0.9113,0,59.9,61.2,1.3000000000000043,0.021702838063439138
FKID001167,procession,Non-corridor,0.7797,4.997,0.7797,0,67.6,67.6,0.0,0.0
FKID001198,protest,Non-corridor,0.7215,4.903,0.7215,0,2.7,53.6,50.9,18.85185185185185
FKID001481,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID001492,procession,Non-corridor,0.9077,4.979,0.9077,0,67.6,49.6,17.999999999999993,0.26627218934911234
FKID001569,procession,Non-corridor,0.9144,4.987,0.9144,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001573,public_event,Old Madras Road,0.8628,4.952,0.8628,0,67.6,67.6,0.0,0.0
FKID001578,public_event,Old Madras Road,0.8628,4.952,0.8628,0,67.6,67.6,0.0,0.0
FKID001581,public_event,Old Madras Road,0.8628,4.952,0.8628,0,67.6,67.6,0.0,0.0
FKID001641,vip_movement,Non-corridor,0.7364,4.992,0.7364,0,67.6,61.0,6.599999999999994,0.09763313609467449
FKID001647,procession,Non-corridor,0.8862,4.991,0.8862,0,67.6,48.6,18.999999999999993,0.2810650887573964
FKID001648,procession,Non-corridor,0.9027,4.993,0.9027,0,19.3,48.4,29.099999999999998,1.5077720207253884
FKID001676,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001680,public_event,CBD 2,0.8324,4.949,0.8324,0,67.6,67.6,0.0,0.0
FKID001683,public_event,CBD 2,0.8324,4.949,0.8324,0,67.6,67.6,0.0,0.0
FKID001685,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001687,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001691,public_event,Non-corridor,0.7233,4.969,0.7233,0,234.2,61.6,172.6,0.7369769427839453
FKID001734,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID001801,public_event,Non-corridor,0.8295,4.965,0.8295,0,67.6,61.7,5.8999999999999915,0.08727810650887562
FKID001857,vip_movement,Old Airport Road,0.7471,4.984,0.7471,0,67.6,67.6,0.0,0.0
FKID001865,procession,Non-corridor,0.8626,4.993,0.8626,0,15.7,54.2,38.5,2.4522292993630574
FKID001896,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001925,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001934,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001970,vip_movement,Mysore Road,0.7518,4.98,0.7518,0,67.6,57.0,10.599999999999994,0.1568047337278106
FKID001979,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID001980,procession,Magadi Road,0.8632,4.991,0.8632,0,67.6,74.7,7.1000000000000085,0.1050295857988167
FKID001988,public_event,CBD 2,0.8324,4.949,0.8324,0,67.6,67.6,0.0,0.0
FKID002005,protest,Tumkur Road,0.4825,4.957,0.4825,0,1440.0,1421.0,19.0,0.013194444444444444
FKID002008,vip_movement,Mysore Road,0.7671,4.991,0.7671,0,67.6,57.2,10.399999999999991,0.15384615384615374
FKID002015,vip_movement,Mysore Road,0.7671,4.991,0.7671,0,67.6,57.2,10.399999999999991,0.15384615384615374
FKID002017,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID002051,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID002054,vip_movement,Non-corridor,0.7497,4.997,0.7497,0,67.6,61.1,6.499999999999993,0.09615384615384606
FKID002057,vip_movement,Mysore Road,0.7671,4.991,0.7671,0,67.6,57.2,10.399999999999991,0.15384615384615374
FKID002071,procession,Mysore Road,0.8515,4.99,0.8515,0,120.2,69.4,50.8,0.42262895174708814
FKID002110,procession,Non-corridor,0.8817,4.992,0.8817,0,0.0,61.0,61.0,61.0
FKID002212,procession,Bannerghata Road,0.8275,4.993,0.8275,0,0.6,74.9,74.30000000000001,74.30000000000001
FKID002254,procession,Non-corridor,0.7613,4.999,0.7613,0,6.6,42.3,35.699999999999996,5.409090909090909
FKID002282,procession,Hennur Main Road,0.8638,4.987,0.8638,0,67.6,69.2,1.6000000000000085,0.023668639053254566
FKID002292,procession,Magadi Road,0.8491,4.994,0.8491,0,67.6,74.9,7.300000000000011,0.10798816568047355
FKID002408,public_event,Old Airport Road,0.6916,4.748,0.6916,0,410.3,181.5,228.8,0.5576407506702413
FKID002409,public_event,Old Airport Road,0.6923,4.748,0.6923,0,409.2,181.5,227.7,0.5564516129032258
FKID002410,public_event,Old Airport Road,0.6897,4.748,0.6897,0,413.9,181.5,232.39999999999998,0.5614882821937666
FKID002411,public_event,Old Airport Road,0.6958,4.785,0.6958,0,384.9,179.0,205.89999999999998,0.5349441413354118
FKID002416,public_event,Old Airport Road,0.6077,4.968,0.6077,0,400.5,85.1,315.4,0.7875156054931335
FKID002440,public_event,Non-corridor,0.78,4.997,0.78,0,0.2,58.3,58.099999999999994,58.099999999999994
FKID002445,public_event,Non-corridor,0.8219,4.993,0.8219,0,67.6,64.7,2.8999999999999915,0.04289940828402355
FKID002483,public_event,Old Madras Road,0.8628,4.952,0.8628,0,67.6,67.6,0.0,0.0
FKID002602,procession,Non-corridor,0.9013,4.998,0.9013,0,3.0,47.7,44.7,14.9
FKID002639,protest,Non-corridor,0.765,4.996,0.765,0,67.6,54.7,12.899999999999991,0.1908284023668638
FKID002684,procession,Hosur Road,0.8783,4.977,0.8783,0,67.6,68.7,1.1000000000000085,0.016272189349112554
FKID002883,public_event,Hennur Main Road,0.506,4.988,0.506,0,1440.0,1350.7,89.29999999999995,0.062013888888888855
FKID003127,public_event,Non-corridor,0.7876,4.973,0.7876,0,2.5,61.5,59.0,23.6
FKID003153,procession,Non-corridor,0.7211,4.993,0.7211,0,376.5,61.2,315.3,0.8374501992031873
FKID003180,procession,Non-corridor,0.7095,4.999,0.7095,0,165.0,67.6,97.4,0.5903030303030303
FKID003577,public_event,Mysore Road,0.7863,4.987,0.7863,0,0.6,37.0,36.4,36.4
