query_event_id,query_cause,query_corridor,query_is_planned,retrieved_event_id,retrieved_cause,retrieved_corridor,final_similarity_score,gower_component,hybrid_component,retrieved_duration_min,retrieved_closure,retrieved_priority,rank,retrieval_stage
FKID000008,public_event,CBD 2,True,FKID000439,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,1,stage1_only
FKID000008,public_event,CBD 2,True,FKID000946,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,2,stage1_only
FKID000008,public_event,CBD 2,True,FKID001680,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,3,stage1_only
FKID000008,public_event,CBD 2,True,FKID001683,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,4,stage1_only
FKID000008,public_event,CBD 2,True,FKID001988,public_event,CBD 2,1.0,1.0,1.0,67.6,0,High,5,stage1_only
FKID000241,vip_movement,Mysore Road,True,FKID007967,vip_movement,Mysore Road,0.9778,0.9513,0.9955,1.2,0,High,1,stage1_only
FKID000241,vip_movement,Mysore Road,True,FKID002015,vip_movement,Mysore Road,0.8139,0.7992,0.8237,67.6,1,High,2,stage1_only
FKID000241,vip_movement,Mysore Road,True,FKID002008,vip_movement,Mysore Road,0.8139,0.7992,0.8237,67.6,1,High,3,stage1_only
FKID000241,vip_movement,Mysore Road,True,FKID002057,vip_movement,Mysore Road,0.8139,0.7992,0.8237,67.6,1,High,4,stage1_only
FKID000241,vip_movement,Mysore Road,True,FKID001970,vip_movement,Mysore Road,0.8139,0.7992,0.8237,67.6,1,High,5,stage1_only
FKID000361,procession,Non-corridor,True,FKID001865,procession,Non-corridor,0.9614,0.9034,1.0,15.7,0,Low,1,stage1_only
FKID000361,procession,Non-corridor,True,FKID000717,procession,Non-corridor,0.9575,0.9004,0.9957,39.3,0,Low,2,stage1_only
FKID000361,procession,Non-corridor,True,FKID004092,procession,Non-corridor,0.9555,0.8955,0.9955,91.6,0,Low,3,stage1_only
FKID000361,procession,Non-corridor,True,FKID002110,procession,Non-corridor,0.9553,0.9146,0.9824,67.6,0,Low,4,stage1_only
FKID000361,procession,Non-corridor,True,FKID003153,procession,Non-corridor,0.9487,0.8913,0.987,376.5,0,Low,5,stage1_only
FKID000378,protest,Non-corridor,True,FKID000922,protest,Non-corridor,0.9747,0.9566,0.9868,0.7,1,Low,1,stage1_only
FKID000378,protest,Non-corridor,True,FKID000921,protest,Non-corridor,0.9747,0.9565,0.9868,0.1,1,Low,2,stage1_only
FKID000378,protest,Non-corridor,True,FKID001198,protest,Non-corridor,0.9696,0.9435,0.987,2.7,1,Low,3,stage1_only
FKID000378,protest,Non-corridor,True,FKID004535,protest,Non-corridor,0.7831,0.7439,0.8093,18.2,0,Low,4,stage1_only
FKID000378,protest,Non-corridor,True,FKID000355,construction,Non-corridor,0.733,0.8705,0.6413,180.5,1,Low,5,stage1_only
FKID000433,public_event,Non-corridor,True,FKID000437,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,1,stage1_only
FKID000433,public_event,Non-corridor,True,FKID007173,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,2,stage1_only
FKID000433,public_event,Non-corridor,True,FKID005806,public_event,Non-corridor,1.0,1.0,1.0,67.6,1,Low,3,stage1_only
