event_id,service_tier,composite_risk,required_satisfaction,required_epsilon,realized_satisfaction,chance_target_min,violation_flag,violation_margin,tail_risk_prob
FKID004401,normal,0.40349995492576185,0.6,0.4,1.0,326889.44101674866,0,0.4,1.0
FKID000002,normal,0.44841311330760214,0.6,0.4,0.94,155329.38257691008,0,0.33999999999999997,1.0
FKID004492,normal,0.508003868238378,0.6,0.4,1.0,232333.56248356344,0,0.4,1.0
FKID001592,normal,0.5334566801418911,0.6,0.4,1.0,417189.1994485605,0,0.4,1.0
FKID004531,normal,0.42614978666261893,0.6,0.4,0.96,120834.38041561001,0,0.36,1.0
FKID005996,elevated,0.5975920266386373,0.7,0.30000000000000004,1.0,135782.79983788,0,0.30000000000000004,1.0
FKID006015,critical,0.6414343929903443,0.8,0.19999999999999996,0.98,225717.16829325032,0,0.17999999999999994,0.8421052631578947
FKID003897,normal,0.5451668866608409,0.6,0.4,0.92,114047.28174767998,0,0.32000000000000006,1.0
FKID004806,normal,0.46878780471113496,0.6,0.4,0.98,183922.13918341845,0,0.38,1.0
FKID004829,normal,0.539377157132898,0.6,0.4,1.0,216352.26651446288,0,0.4,1.0
FKID005244,normal,0.44264267776147415,0.6,0.4,0.96,72855.34165358258,0,0.36,1.0
FKID000923,elevated,0.6246887346757998,0.7,0.30000000000000004,1.0,443302.25293442333,0,0.30000000000000004,1.0
FKID006340,elevated,0.5787666301929312,0.7,0.30000000000000004,0.92,42670.04888321906,0,0.22000000000000008,0.8421052631578947
FKID006361,emergency,0.7134072693542505,0.85,0.15000000000000002,0.98,201617.79430240125,0,0.13,1.0
FKID006514,elevated,0.5973488427747707,0.7,0.30000000000000004,0.96,81099.52797709667,0,0.26,1.0
FKID000316,critical,0.6435622690279952,0.8,0.19999999999999996,1.0,323278.0760535252,0,0.19999999999999996,1.0
FKID003911,elevated,0.6077309245954362,0.7,0.30000000000000004,1.0,437187.3688259326,0,0.30000000000000004,1.0
FKID004711,normal,0.522261135552871,0.6,0.4,0.84,29736.912495397373,0,0.24,1.0
FKID001133,elevated,0.6307626362431924,0.7,0.30000000000000004,1.0,385802.7804174271,0,0.30000000000000004,1.0
FKID005079,normal,0.49574963100538244,0.6,0.4,0.98,311013.9468411409,0,0.38,1.0
FKID000944,elevated,0.6329359804147943,0.7,0.30000000000000004,0.96,237341.1839738172,0,0.26,1.0
FKID006955,critical,0.6421137949381196,0.8,0.19999999999999996,0.88,33823.793881311154,0,0.07999999999999996,0.8421052631578947
FKID005137,normal,0.5120970890640543,0.6,0.4,0.98,261656.46046161297,0,0.38,1.0
FKID004125,critical,0.6720630770209911,0.8,0.19999999999999996,0.98,230137.79373422964,0,0.17999999999999994,1.0
FKID001125,critical,0.6931909132932951,0.8,0.19999999999999996,1.0,279954.2385607744,0,0.19999999999999996,1.0
FKID007137,normal,0.5451174106423202,0.6,0.4,0.88,53403.11357221602,0,0.28,1.0
FKID007189,normal,0.5437111143847076,0.6,0.4,0.94,33512.44935572109,0,0.33999999999999997,1.0
FKID001646,normal,0.5610664768017342,0.6,0.4,1.0,266743.61160620395,0,0.4,1.0
FKID005593,normal,0.5189032133407644,0.6,0.4,0.96,246650.25895787455,0,0.36,1.0
FKID000129,elevated,0.6184253799123379,0.7,0.30000000000000004,0.98,155120.08113890988,0,0.28,1.0
FKID005194,normal,0.4925126382704567,0.6,0.4,1.0,262907.11469021015,0,0.4,1.0
FKID001288,emergency,0.7110751887722334,0.85,0.15000000000000002,0.98,223488.84718325856,0,0.13,1.0
FKID001693,elevated,0.6299869577273649,0.7,0.30000000000000004,0.98,213615.79348120818,0,0.28,1.0
FKID000022,critical,0.6939257414395039,0.8,0.19999999999999996,1.0,292106.448415617,0,0.19999999999999996,1.0
FKID004519,normal,0.4946132213503681,0.6,0.4,1.0,325516.8613993892,0,0.4,1.0
FKID007660,emergency,0.8094806158791554,0.85,0.15000000000000002,0.96,88738.1522704128,0,0.10999999999999999,1.0
FKID004408,normal,0.5212054804105747,0.6,0.4,1.0,251950.96072152944,0,0.4,1.0
FKID000842,elevated,0.6005223105722481,0.7,0.30000000000000004,0.92,128424.2027622099,0,0.22000000000000008,1.0
FKID004694,normal,0.5076422817413637,0.6,0.4,1.0,304789.6751207397,0,0.4,1.0
FKID004967,normal,0.444603215274135,0.6,0.4,1.0,236489.6798243494,0,0.4,0.8421052631578947
FKID008103,normal,0.4841625631052752,0.6,0.4,0.94,150358.10329661623,0,0.33999999999999997,0.8421052631578947
FKID000164,normal,0.5129556632072514,0.6,0.4,0.98,271769.01865997975,0,0.38,1.0
FKID000346,normal,0.42203939558585063,0.6,0.4,0.98,220991.31199474202,0,0.38,0.8421052631578947
FKID003103,normal,0.5145538284708713,0.6,0.4,0.98,255523.89610825147,0,0.38,0.8421052631578947
FKID001931,normal,0.5035349321786646,0.6,0.4,0.98,64125.75613867514,0,0.38,1.0
FKID001932,normal,0.5035349321786646,0.6,0.4,0.92,64125.75613867514,0,0.32000000000000006,1.0
FKID000528,emergency,0.7124617567068043,0.85,0.15000000000000002,0.98,76196.89903754875,0,0.13,1.0
FKID000968,normal,0.5343656282575284,0.6,0.4,0.94,68852.55781686975,0,0.33999999999999997,1.0
FKID001489,normal,0.48820175087459194,0.6,0.4,0.84,79338.05926772344,0,0.24,1.0
FKID003235,normal,0.49568081880762566,0.6,0.4,0.96,83905.38505815864,0,0.36,1.0
