site_id,service_tier,scenario_label,current_p,current_b,current_t,current_q,delta_p,delta_b,delta_t,delta_q,e_current,e_counterfactual,delta_effectiveness,marginal_delay_reduction_pct,absolute_reduction_min,cost_per_pct_reduction,at_max_effectiveness,mean_duration_min
FKID000002,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,80606.4186
FKID000002,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,11684.5167,0.066154,False,80606.4186
FKID000002,normal,+5 officers,2,2,0,0,5,0,0,0,0.428791,0.767764,0.338973,59.343,22935.507,0.084256,False,80606.4186
FKID000002,normal,+3 barricades,2,2,0,0,0,3,0,0,0.428791,0.576838,0.148047,25.9182,10017.1244,0.115749,False,80606.4186
FKID000002,normal,+1 tow unit,2,2,0,0,0,0,1,0,0.428791,0.555142,0.126351,22.1199,8549.1352,0.045208,False,80606.4186
FKID000002,normal,+1 QRU,2,2,0,0,0,0,0,1,0.428791,0.576838,0.148047,25.9182,10017.1244,0.038583,False,80606.4186
FKID000002,normal,diversion activated,2,2,0,0,0,2,0,0,0.428791,0.532334,0.103543,18.1269,7005.8806,0.110333,False,80606.4186
FKID000002,normal,full surge (+5p +5b +1t),2,2,0,0,5,5,1,0,0.428791,0.890299,0.461508,80.795,31226.4873,0.136147,False,80606.4186
FKID000022,critical,baseline,3,2,1,1,0,0,0,0,0.724729,0.724729,0.0,0.0,0.0,inf,False,123567.6448
FKID000022,critical,+2 officers,3,2,1,1,2,0,0,0,0.724729,0.80795,0.083221,30.2324,9480.1984,0.066154,False,123567.6448
FKID000022,critical,+5 officers,3,2,1,1,5,0,0,0,0.724729,0.888083,0.163354,59.343,18608.6563,0.084256,False,123567.6448
FKID000022,critical,+3 barricades,3,2,1,1,0,3,0,0,0.724729,0.796074,0.071345,25.9182,8127.3645,0.115749,False,123567.6448
FKID000022,critical,+1 tow unit,3,2,1,1,0,0,1,0,0.724729,0.785619,0.06089,22.1199,6936.3157,0.045208,False,123567.6448
FKID000022,critical,+1 QRU,3,2,1,1,0,0,0,1,0.724729,0.796074,0.071345,25.9182,8127.3645,0.038583,False,123567.6448
FKID000022,critical,diversion activated,3,2,1,1,0,2,0,0,0.724729,0.774627,0.049898,18.1269,5684.2006,0.110333,False,123567.6448
FKID000022,critical,full surge (+5p +5b +1t),3,2,1,1,5,5,1,0,0.724729,0.9,0.175271,63.6721,19966.166,0.17276,False,123567.6448
FKID000129,elevated,baseline,3,2,1,0,0,0,0,0,0.628423,0.628423,0.0,0.0,0.0,inf,False,151848.6683
FKID000129,elevated,+2 officers,3,2,1,0,2,0,0,0,0.628423,0.74076,0.112336,30.2324,15478.3672,0.066154,False,151848.6683
FKID000129,elevated,+5 officers,3,2,1,0,5,0,0,0,0.628423,0.848928,0.220505,59.343,30382.4461,0.084256,False,151848.6683
FKID000129,elevated,+3 barricades,3,2,1,0,0,3,0,0,0.628423,0.724729,0.096306,25.9182,13269.5886,0.115749,False,151848.6683
FKID000129,elevated,+1 tow unit,3,2,1,0,0,0,1,0,0.628423,0.710616,0.082192,22.1199,11324.9573,0.045208,False,151848.6683
FKID000129,elevated,+1 QRU,3,2,1,0,0,0,0,1,0.628423,0.724729,0.096306,25.9182,13269.5886,0.038583,False,151848.6683
FKID000129,elevated,diversion activated,3,2,1,0,0,2,0,0,0.628423,0.695779,0.067355,18.1269,9280.6228,0.110333,False,151848.6683
FKID000129,elevated,full surge (+5p +5b +1t),3,2,1,0,5,5,1,0,0.628423,0.9,0.271577,73.0877,37419.4172,0.150504,False,151848.6683
FKID000164,normal,baseline,2,2,0,0,0,0,0,0,0.428791,0.428791,0.0,0.0,0.0,inf,False,123622.0177
FKID000164,normal,+2 officers,2,2,0,0,2,0,0,0,0.428791,0.601481,0.17269,30.2324,18058.6478,0.066154,False,123622.0177
