event_id,event_cause,service_tier,diversion_activated,route_rank,route_label,diversion_corridor,diversion_path,path_cost,estimated_additional_time_min,routing_method
FKID004401,road_conditions,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004401,road_conditions,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004401,road_conditions,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000002,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000002,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000002,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004492,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004492,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004492,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001592,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001592,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001592,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004531,construction,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004531,construction,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004531,construction,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID005996,tree_fall,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID005996,tree_fall,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID005996,tree_fall,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID006015,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID006015,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID006015,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID003897,debris,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID003897,debris,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID003897,debris,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004806,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004806,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004806,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004829,road_conditions,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004829,road_conditions,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004829,road_conditions,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID005244,construction,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID005244,construction,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID005244,construction,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000923,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000923,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000923,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID006340,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID006340,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID006340,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID006361,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID006361,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID006361,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID006514,tree_fall,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID006514,tree_fall,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID006514,tree_fall,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000316,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000316,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000316,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID003911,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID003911,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID003911,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004711,public_event,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004711,public_event,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004711,public_event,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001133,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001133,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001133,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID005079,road_conditions,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID005079,road_conditions,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID005079,road_conditions,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID000944,water_logging,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID000944,water_logging,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID000944,water_logging,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID006955,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID006955,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID006955,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID005137,pot_holes,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID005137,pot_holes,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID005137,pot_holes,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID004125,others,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID004125,others,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID004125,others,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID001125,water_logging,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID001125,water_logging,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID001125,water_logging,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
FKID007137,construction,critical,1,1,Route A (best),KHB Junction,YeshwanthpuraCircle|KHB Junction,0.4241,6.4,layer3_graph
FKID007137,construction,critical,1,2,Route B,QueensStatueCircle,YeshwanthpuraCircle|QueensStatueCircle,0.507,7.6,layer3_graph
FKID007137,construction,critical,1,3,Route C,KodigehalliCross,YeshwanthpuraCircle|KodigehalliCross,0.5581,8.4,layer3_graph
