event_id,event_cause,service_tier,is_critical,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,effectiveness,expected_delay_reduction_min,cvar_contribution,total_cvar,var_level,chance_constraint_satisfaction,robustness_score,duration_reliability,tail_risk_prob,safe_duration_p50,safe_duration_p80,safe_duration_p95,duration_sanity_flag,solver_status,used_fallback
FKID004401,road_conditions,critical,1,0,4,0,0,1,0.4000000000000003,38750.02026877047,58125.03040315564,6929193.924808556,4055272.1083304705,1.0,0.0,0.4902531930496151,1.0,108963.14700558288,117572.78160488002,152834.46296882667,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000002,others,critical,1,1,3,0,0,1,0.44082324941940787,29826.891854428446,37834.90205891972,6929193.924808556,4055272.1083304705,0.94,0.0,0.2653355958091057,1.0,51776.46085897002,56237.852777611326,95330.05303972177,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004492,pot_holes,critical,1,0,4,0,0,1,0.4000000000000003,32983.04945209573,49474.57417814353,6929193.924808556,4055272.1083304705,1.0,0.0,0.2622460253795743,1.0,77444.52082785447,109896.191663806,157053.3588888519,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001592,pot_holes,critical,1,1,3,0,0,1,0.44082324941940787,56163.05354867104,71241.87262670955,6929193.924808556,4055272.1083304705,1.0,0.0,0.3010238103000637,1.0,139063.0664828535,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004531,construction,critical,1,0,4,0,0,1,0.4,17803.105406893334,26704.658110339988,6929193.924808556,4055272.1083304705,0.98,0.0,0.5407883238853544,1.0,40278.12680520333,63829.58382194657,77456.8027075483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID005996,tree_fall,critical,1,0,4,0,0,1,0.4,16552.893453326233,24829.340179989344,6929193.924808556,4055272.1083304705,1.0,0.0,0.4188443483262486,1.0,45260.933279293335,50578.39314217833,51391.42795926152,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID006015,pot_holes,critical,1,6,0,0,1,1,0.7719147464737037,92896.53241916784,27449.05346779964,6929193.924808556,4055272.1083304705,0.98,1.0,0.3022843920176766,0.8421052631578947,75239.0560977501,146218.58393094112,164723.00423827942,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID003897,debris,critical,1,4,0,0,0,1,0.5291143153005538,38730.48604670026,34468.2253219387,6929193.924808556,4055272.1083304705,0.92,1.0,0.3918286586460587,1.0,38015.76058256,100588.43490669227,114244.41268999912,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004806,others,critical,1,4,0,0,0,1,0.5291143153005538,43785.75968339855,38967.169914672995,6929193.924808556,4055272.1083304705,0.96,1.0,0.5445576835139977,1.0,61307.37972780615,80288.36111087333,136108.64719960254,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004829,road_conditions,critical,1,6,0,0,1,1,0.7719147464737057,72945.39918347482,21553.895611328808,6929193.924808556,4055272.1083304705,1.0,1.0,0.3329688804415179,1.0,72117.42217148763,117572.78160488002,152834.46296882667,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID005244,construction,critical,1,0,4,0,0,1,0.4,11805.331072149964,17707.99660822494,6929193.924808556,4055272.1083304705,0.96,0.0,0.3825978948523327,1.0,24285.113884527527,40278.12680520333,77456.8027075483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000923,pot_holes,critical,1,1,3,0,0,1,0.44082324941940787,61464.4862119337,77966.64926671066,6929193.924808556,4055272.1083304705,1.0,0.0,0.4016234313853387,1.0,147767.41764480778,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID006340,others,critical,1,7,0,4,0,1,0.8998518904049065,1150300.9117829439,128021.58111679627,6929193.924808556,4055272.1083304705,0.92,1.0,0.3631455926852346,0.8421052631578947,14223.349627739688,72765.11161879213,120728.3565937095,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID006361,others,critical,1,4,0,0,0,1,0.5291143153005634,54846.69313884592,48810.856000965665,6929193.924808556,4055272.1083304705,0.98,1.0,0.3466379990473955,1.0,67205.93143413374,80288.36111087333,136108.64719960254,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID006514,tree_fall,critical,1,0,4,0,0,1,0.4,12341.237717751055,18511.856576626582,6929193.924808556,4055272.1083304705,0.98,0.0,0.4135059181148774,1.0,27033.175992365555,45260.933279293335,50578.39314217833,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000316,pot_holes,critical,1,6,0,0,1,1,0.7719147464737053,110429.48683922958,32629.688210474273,6929193.924808556,4055272.1083304705,1.0,1.0,0.3524201911652639,1.0,107759.3586845084,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID003911,pot_holes,critical,1,1,3,0,0,1,0.44082324941940787,59310.5431580911,75234.40935112172,6929193.924808556,4055272.1083304705,1.0,0.0,0.4185709547529487,1.0,145729.12294197755,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004711,public_event,critical,1,1,3,0,0,1,0.44082324941940765,18735.504246648074,23765.666622456334,6929193.924808556,4055272.1083304705,0.84,0.0,0.4327654454870332,1.0,9912.304165132458,12830.886843333334,37303.90337916664,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001133,pot_holes,critical,1,1,3,0,0,1,0.44082324941940787,55181.86411520341,69997.25061588534,6929193.924808556,4055272.1083304705,1.0,0.0,0.3941256402551067,1.0,128600.92680580902,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID005079,road_conditions,critical,1,1,3,0,0,1,0.44082324941940787,44403.304512189876,56324.83215181738,6929193.924808556,4055272.1083304705,0.98,0.0,0.4671576653580221,1.0,103671.31561371364,117572.78160488002,152834.46296882667,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000944,water_logging,critical,1,8,0,0,0,1,0.7888769581508843,141182.1497885656,37783.84526279758,6929193.924808556,4055272.1083304705,0.96,1.0,0.3772562198837524,1.0,79113.7279912724,111883.17702075667,225169.89284421463,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID006955,others,critical,1,7,0,4,0,1,0.8998518904049065,800173.8323786901,89054.54054680957,6929193.924808556,4055272.1083304705,0.88,1.0,0.3789497828116754,0.8421052631578947,11274.597960437051,71213.51506983537,112745.97960437051,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID005137,pot_holes,critical,1,6,0,0,1,1,0.7719147464737056,98606.42185536142,29136.210742110707,6929193.924808556,4055272.1083304705,0.98,1.0,0.4167469082739704,1.0,87218.82015387098,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004125,others,critical,1,1,3,0,0,1,0.44082324941940565,42423.9717972168,53814.08246396852,6929193.924808556,4055272.1083304705,0.98,0.0,0.4002600718973374,1.0,76712.59791140987,80288.36111087333,136108.64719960254,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001125,water_logging,critical,1,2,0,3,1,1,0.7829511297088488,122678.21641867433,34008.72324292871,6929193.924808556,4055272.1083304705,1.0,1.0,0.3985786904659371,1.0,93318.07952025814,111883.17702075667,225169.89284421463,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID007137,construction,critical,1,4,0,0,0,1,0.5291143153005538,30868.292424892683,27471.260167553268,6929193.924808556,4055272.1083304705,0.88,1.0,0.4296821102914695,1.0,17801.03785740534,40278.12680520333,77456.8027075483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID007189,tree_fall,critical,1,4,0,0,0,1,0.5291143153005538,29964.871854922527,26667.26034868555,6929193.924808556,4055272.1083304705,0.9,1.0,0.4443872985860647,1.0,11170.816451907029,45260.933279293335,50578.39314217833,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001646,pot_holes,critical,1,0,4,0,0,1,0.4000000000000003,37351.793434330604,56027.69015149582,6929193.924808556,4055272.1083304705,1.0,0.0,0.4056848994611063,1.0,88914.537202068,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID005593,water_logging,critical,1,1,3,0,0,1,0.44082324941940787,59608.637017318135,75612.53631196177,6929193.924808556,4055272.1083304705,0.96,0.0,0.4421280641843303,1.0,82216.75298595818,111883.17702075667,225169.89284421463,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000129,others,critical,1,3,0,0,3,1,0.7888769581508841,108696.05901001964,29089.761563066422,6929193.924808556,4055272.1083304705,0.98,1.0,0.4353287963476898,1.0,51706.69371296996,80288.36111087333,136108.64719960254,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID005194,pot_holes,critical,1,1,3,0,0,1,0.44082324941940787,40924.30909046803,51911.78597567908,6929193.924808556,4055272.1083304705,1.0,0.0,0.4076365503297062,1.0,87635.70489673672,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001288,water_logging,critical,1,6,0,0,1,1,0.7719147464737085,145406.49687888683,42964.6898915934,6929193.924808556,4055272.1083304705,0.98,1.0,0.3790771710749153,1.0,74496.28239441953,111883.17702075667,225169.89284421463,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID001693,others,critical,1,1,3,0,0,1,0.44082324941940787,40357.94830333309,51193.36700611818,6929193.924808556,4055272.1083304705,0.98,0.0,0.4000635926457191,1.0,71205.26449373606,80288.36111087333,136108.64719960254,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID000022,pot_holes,critical,1,0,4,0,0,1,0.4000000000000003,45566.44446078589,68349.66669117876,6929193.924808556,4055272.1083304705,1.0,0.0,0.4074174212838157,1.0,97368.816138539,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004519,road_conditions,critical,1,0,4,0,0,1,0.4000000000000003,38128.12464057187,57192.18696085773,6929193.924808556,4055272.1083304705,1.0,0.0,0.4945198487529509,1.0,108505.62046646306,117572.78160488002,152834.46296882667,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID007660,construction,critical,1,4,0,0,0,1,0.5291143153005538,32023.65596357057,28499.476821790027,6929193.924808556,4055272.1083304705,0.96,1.0,0.4221908168014643,1.0,29579.3840901376,40278.12680520333,77456.8027075483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
FKID004408,pot_holes,critical,1,1,3,0,0,1,0.44082324941940787,40804.78633142813,51760.17340055201,6929193.924808556,4055272.1083304705,1.0,0.0,0.4229049630681059,1.0,83983.65357384314,154508.84233138,175025.65599472413,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0
