metric,value
n_active_sites,50.0
n_scenarios,50.0
expected_total_delay_optimized,2252110.1320500644
expected_total_delay_raw,7108268.493020161
expected_delay_reduction_pct,68.31703621969984
cvar_90,6929193.924808556
chance_constraint_satisfaction_mean,0.9675999999999999
chance_constraint_satisfaction_critical,0.9675999999999999
total_officers_deployed,120.0
total_barricades_deployed,100.0
total_tow_trucks_deployed,15.0
total_qru_deployed,10.0
diversion_activations,50.0
sites_used_fallback,0.0
critical_sites,50.0
mean_effectiveness,0.5312624106307132
mean_robustness_score,0.4
alpha_cvar,0.9
n_scenarios_S,50.0
kappa_uncertainty_inflation,0.5
