event_id,event_cause,site_weight,officers_allocated,barricades_allocated,tow_trucks_allocated,qru_allocated,diversion_activated,diversion_reason,effectiveness,expected_delay_reduction_min,cvar_contribution,total_cvar,var_level,chance_constraint_satisfaction,required_epsilon,violation_flag,violation_margin,service_tier,robustness_score,is_critical,used_fallback,solver_status,safe_duration_p50,safe_duration_p80,safe_duration_p95,duration_reliability,tail_risk_prob,duration_sanity_flag
FKID004401,road_conditions,0.8332784364220864,2,2,0,0,0,not_activated,0.42879093615118513,41539.143667308694,55335.907004617424,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.6917314958749643,0,1,greedy_fallback,108963.14700558288,117572.78160488002,152834.46296882667,0.4902531930496151,1.0,0
FKID000002,others,0.8394095044717644,2,2,0,0,0,not_activated,0.42879093615118513,29012.763953773112,38649.02995957505,18055940.995759398,6181534.701191746,0.94,0.2,0,0.1399999999999999,normal,0.6709110911334648,0,1,greedy_fallback,51776.46085897002,56237.852777611326,95330.05303972177,0.2653355958091057,1.0,0
FKID004492,pot_holes,0.8472720634264459,2,2,0,0,0,not_activated,0.42879093615118513,35357.08162921238,47100.54200102688,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.6826415338933803,0,1,greedy_fallback,77444.52082785447,109896.191663806,157053.3588888519,0.2622460253795743,1.0,0
FKID001592,pot_holes,0.8653157888154451,2,2,0,0,0,not_activated,0.42879093615118513,54630.07756501407,72774.84861036652,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,normal,0.6709886318385415,0,1,greedy_fallback,139063.0664828535,154508.84233138,175025.65599472413,0.3010238103000637,1.0,0
FKID004531,construction,0.8348581067422761,2,2,0,0,0,not_activated,0.42879093615118513,19084.52558455004,25423.237932683274,18055940.995759398,6181534.701191746,0.98,0.2,0,0.17999999999999994,normal,0.6986795236708991,0,1,greedy_fallback,40278.12680520333,63829.58382194657,77456.8027075483,0.5407883238853544,1.0,0
FKID005996,tree_fall,0.8849988776420545,3,2,0,0,0,not_activated,0.5228860844789656,21638.194111518143,19744.039521797433,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,elevated,0.6752215159679494,0,1,greedy_fallback,45260.933279293335,50578.39314217833,51391.42795926152,0.4188443483262486,1.0,0
FKID006015,pot_holes,0.8880076436753829,2,2,0,0,0,not_activated,0.42879093615118513,51603.09643413564,68742.48945283184,18055940.995759398,6181534.701191746,0.96,0.2,0,0.15999999999999992,elevated,0.5883711828589915,0,1,greedy_fallback,75239.0560977501,146218.58393094112,164723.00423827942,0.3022843920176766,0.8421052631578947,0
FKID003897,debris,0.8882748087242428,3,2,0,0,0,not_activated,0.5228860844789656,38274.58757645357,34924.12379218539,18055940.995759398,6181534.701191746,0.92,0.2,0,0.12,elevated,0.6914644886976131,0,1,greedy_fallback,38015.76058256,100588.43490669227,114244.41268999912,0.3918286586460587,1.0,0
FKID004806,others,0.8379924608952438,2,2,0,0,0,not_activated,0.42879093615118513,35483.70615161021,47269.223446461336,18055940.995759398,6181534.701191746,0.96,0.2,0,0.15999999999999992,normal,0.6880040484949375,0,1,greedy_fallback,61307.37972780615,80288.36111087333,136108.64719960254,0.5445576835139977,1.0,0
FKID004829,road_conditions,0.856996235266813,2,2,0,0,0,not_activated,0.42879093615118513,40520.44108069066,53978.853714112964,18055940.995759398,6181534.701191746,0.96,0.2,0,0.15999999999999992,normal,0.6387857868281211,0,1,greedy_fallback,72117.42217148763,117572.78160488002,152834.46296882667,0.3329688804415179,1.0,0
FKID005244,construction,0.8391523172484343,2,2,0,0,0,not_activated,0.42879093615118513,12655.047405004643,16858.280275370264,18055940.995759398,6181534.701191746,0.96,0.2,0,0.15999999999999992,normal,0.6893124681097379,0,1,greedy_fallback,24285.113884527527,40278.12680520333,77456.8027075483,0.3825978948523327,1.0,0
FKID000923,pot_holes,0.9090888819295958,3,2,1,0,0,not_activated,0.6284233089779543,87621.77553204313,51809.35994660123,18055940.995759398,6181534.701191746,1.0,0.2,0,0.19999999999999996,elevated,0.6397455898466224,0,1,greedy_fallback,147767.41764480778,154508.84233138,175025.65599472413,0.4016234313853387,1.0,0
FKID006340,others,0.8717446333529554,2,2,0,0,0,not_activated,0.42879093615118513,548133.0984335963,730189.3944661438,18055940.995759398,6181534.701191746,0.82,0.2,0,0.019999999999999907,normal,0.3937542091984826,0,1,greedy_fallback,14223.349627739688,72765.11161879213,120728.3565937095,0.3631455926852346,0.8421052631578947,0
